MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
54000,SG,MALE GENITAL,1,$438.13 ,$350.50 
,OTHER,,38,"$3,741.69 ","$2,767.52 "
,TOTAL,,39,"$4,179.82 ","$3,118.02 "
54001,SG,,151,"$62,477.52 ","$49,016.06 "
,OTHER,,"2,081","$273,730.03 ","$211,942.49 "
,TOTAL,,"2,232","$336,207.55 ","$260,958.55 "
54015,SG,,4,"$2,511.20 ","$1,904.15 "
,OTHER,,106,"$28,373.50 ","$22,364.78 "
,TOTAL,,110,"$30,884.70 ","$24,268.93 "
54050,OTHER,,927,"$97,775.46 ","$71,052.73 "
,TOTAL,,927,"$97,775.46 ","$71,052.73 "
54055,OTHER,,719,"$70,357.94 ","$51,223.24 "
,TOTAL,,719,"$70,357.94 ","$51,223.24 "
54056,OTHER,,"3,119","$343,748.42 ","$256,798.44 "
,TOTAL,,"3,119","$343,748.42 ","$256,798.44 "
54057,SG,,34,"$9,704.64 ","$7,658.87 "
,OTHER,,272,"$19,179.99 ","$14,771.88 "
,TOTAL,,306,"$28,884.63 ","$22,430.75 "
54060,SG,,140,"$39,467.42 ","$30,796.80 "
,OTHER,,880,"$115,939.03 ","$89,302.79 "
,TOTAL,,"1,020","$155,406.45 ","$120,099.59 "
54065,SG,,55,"$16,344.42 ","$12,712.75 "
,OTHER,,"1,349","$241,293.28 ","$186,570.78 "
,TOTAL,,"1,404","$257,637.70 ","$199,283.53 "
54100,SG,,108,"$28,006.68 ","$21,938.76 "
,OTHER,,"2,653","$375,178.11 ","$288,609.45 "
,TOTAL,,"2,761","$403,184.79 ","$310,548.21 "
54105,SG,,36,"$9,439.20 ","$7,412.99 "
,OTHER,,283,"$56,236.09 ","$44,474.92 "
,TOTAL,,319,"$65,675.29 ","$51,887.91 "
54110,SG,,6,"$2,453.50 ","$1,962.79 "
,80'S,,6,$328.59 ,$262.88 
,OTHER,,44,"$18,736.05 ","$14,957.41 "
,TOTAL,,56,"$21,518.14 ","$17,183.08 "
54111,SG,,3,"$1,303.14 ","$1,042.51 "
,80'S,,5,$604.20 ,$483.36 
,OTHER,,45,"$30,196.72 ","$23,634.56 "
,TOTAL,,53,"$32,104.06 ","$25,160.43 "
54112,SG,,1,$427.93 ,$342.34 
,80'S,,10,"$1,078.64 ",$862.92 
,OTHER,,45,"$35,548.27 ","$28,438.59 "
,TOTAL,,56,"$37,054.84 ","$29,643.85 "
54115,SG,,2,$639.38 ,$511.51 
,80'S,,3,$195.68 ,$156.54 
,OTHER,,51,"$19,318.96 ","$14,630.47 "
,TOTAL,,56,"$20,154.02 ","$15,298.52 "
54120,SG,,14,"$5,982.27 ","$4,531.72 "
,80'S,,57,"$5,226.64 ","$4,149.99 "
,OTHER,,463,"$260,466.10 ","$205,854.67 "
,TOTAL,,534,"$271,675.01 ","$214,536.38 "
54125,80'S,,25,"$2,939.21 ","$2,351.37 "
,OTHER,,125,"$86,266.63 ","$68,655.57 "
,TOTAL,,150,"$89,205.84 ","$71,006.94 "
54130,OTHER,,13,"$11,587.33 ","$9,269.88 "
,TOTAL,,13,"$11,587.33 ","$9,269.88 "
54135,OTHER,,1,"$1,537.86 ","$1,230.29 "
,TOTAL,,1,"$1,537.86 ","$1,230.29 "
54150,SG,,79,"$24,661.87 ","$19,697.88 "
,OTHER,,163,"$16,374.34 ","$12,876.38 "
,TOTAL,,242,"$41,036.21 ","$32,574.26 "
54160,SG,,4,"$1,554.16 ","$1,243.34 "
,OTHER,,17,"$2,001.10 ","$1,461.54 "
,TOTAL,,21,"$3,555.26 ","$2,704.88 "
54161,SG,,"2,195","$939,154.48 ","$737,455.63 "
,80'S,,2,$45.60 ,$36.48 
,OTHER,,"11,917","$2,046,272.49 ","$1,586,626.39 "
,TOTAL,,"14,114","$2,985,472.57 ","$2,324,118.50 "
54162,SG,,34,"$13,824.48 ","$10,803.43 "
,OTHER,,287,"$55,197.10 ","$43,044.31 "
,TOTAL,,321,"$69,021.58 ","$53,847.74 "
54163,SG,,43,"$18,033.70 ","$13,978.29 "
,OTHER,,181,"$32,740.37 ","$25,464.72 "
,TOTAL,,224,"$50,774.07 ","$39,443.01 "
54164,SG,,10,"$3,611.16 ","$2,833.68 "
,OTHER,,110,"$16,315.77 ","$12,723.83 "
,TOTAL,,120,"$19,926.93 ","$15,557.51 "
54200,OTHER,,"2,478","$254,125.83 ","$190,527.08 "
,TOTAL,,"2,478","$254,125.83 ","$190,527.08 "
54205,SG,,1,$604.48 ,$483.58 
,OTHER,,9,"$3,400.69 ","$2,720.57 "
,TOTAL,,10,"$4,005.17 ","$3,204.15 "
54220,OTHER,,371,"$54,118.79 ","$42,008.40 "
,TOTAL,,371,"$54,118.79 ","$42,008.40 "
54230,OTHER,,111,"$8,577.41 ","$6,694.61 "
,TOTAL,,111,"$8,577.41 ","$6,694.61 "
54231,OTHER,,335,"$44,409.27 ","$33,744.93 "
,TOTAL,,335,"$44,409.27 ","$33,744.93 "
54235,OTHER,,"10,340","$846,298.19 ","$636,403.50 "
,TOTAL,,"10,340","$846,298.19 ","$636,403.50 "
54240,OTHER,,749,"$56,552.63 ","$44,557.64 "
,TOTAL,,749,"$56,552.63 ","$44,557.64 "
54250,OTHER,,692,"$71,136.27 ","$55,862.95 "
,TOTAL,,692,"$71,136.27 ","$55,862.95 "
54300,SG,,6,"$2,621.62 ","$1,992.51 "
,80'S,,4,$244.62 ,$195.69 
,OTHER,,125,"$55,372.94 ","$43,651.88 "
,TOTAL,,135,"$58,239.18 ","$45,840.08 "
54304,OTHER,,14,"$10,279.73 ","$8,223.79 "
,TOTAL,,14,"$10,279.73 ","$8,223.79 "
54308,OTHER,,1,$657.92 ,$526.34 
,TOTAL,,1,$657.92 ,$526.34 
54312,OTHER,,2,"$1,664.46 ","$1,331.57 "
,TOTAL,,2,"$1,664.46 ","$1,331.57 "
54316,OTHER,,1,$922.66 ,$738.13 
,TOTAL,,1,$922.66 ,$738.13 
54318,OTHER,,2,"$1,386.41 ","$1,109.13 "
,TOTAL,,2,"$1,386.41 ","$1,109.13 "
54322,SG,,2,"$1,002.87 ",$802.30 
,OTHER,,14,"$9,513.76 ","$7,001.34 "
,TOTAL,,16,"$10,516.63 ","$7,803.64 "
54324,SG,,1,$490.15 ,$392.12 
,OTHER,,7,"$6,388.44 ","$4,699.00 "
,TOTAL,,8,"$6,878.59 ","$5,091.12 "
54326,SG,,2,"$1,013.54 ",$810.84 
,OTHER,,3,"$1,817.23 ","$1,429.78 "
,TOTAL,,5,"$2,830.77 ","$2,240.62 "
54328,OTHER,,3,"$2,602.88 ","$2,082.31 "
,TOTAL,,3,"$2,602.88 ","$2,082.31 "
54332,OTHER,,3,"$2,377.40 ","$1,901.92 "
,TOTAL,,3,"$2,377.40 ","$1,901.92 "
54340,SG,,1,$506.77 ,$405.42 
,OTHER,,11,"$5,133.80 ","$4,107.06 "
,TOTAL,,12,"$5,640.57 ","$4,512.48 "
54344,80'S,,1,$143.08 ,$114.46 
,OTHER,,3,"$2,756.80 ","$2,205.45 "
,TOTAL,,4,"$2,899.88 ","$2,319.91 "
54348,80'S,,1,$146.38 ,$12.30 
,OTHER,,5,"$4,944.40 ","$3,955.53 "
,TOTAL,,6,"$5,090.78 ","$3,967.83 "
54352,OTHER,,4,"$4,950.75 ","$3,960.60 "
,TOTAL,,4,"$4,950.75 ","$3,960.60 "
54360,SG,,29,"$12,321.32 ","$9,550.04 "
,80'S,,40,"$3,171.99 ","$2,453.86 "
,OTHER,,599,"$286,330.86 ","$225,482.66 "
,TOTAL,,668,"$301,824.17 ","$237,486.56 "
54380,OTHER,,1,$874.75 ,$699.80 
,TOTAL,,1,$874.75 ,$699.80 
54385,OTHER,,1,$800.00 ,$640.00 
,TOTAL,,1,$800.00 ,$640.00 
54400,SG,,7,"$3,336.72 ","$2,669.38 "
,OTHER,,339,"$162,574.10 ","$128,015.58 "
,TOTAL,,346,"$165,910.82 ","$130,684.96 "
54401,SG,,1,$465.50 ,$372.40 
,80'S,,1,$112.64 ,$90.11 
,OTHER,,158,"$96,432.18 ","$75,405.12 "
,TOTAL,,160,"$97,010.32 ","$75,867.63 "
54405,SG,,33,"$16,210.87 ","$12,968.66 "
,80'S,,844,"$101,734.86 ","$80,025.33 "
,OTHER,,"4,591","$3,329,304.33 ","$2,626,743.71 "
,TOTAL,,"5,468","$3,447,250.06 ","$2,719,737.70 "
54406,SG,,28,"$13,773.95 ","$10,614.19 "
,80'S,,78,"$8,308.53 ","$6,638.06 "
