MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
59000,OTHER,MATERNITY,738,"$75,179.53 ","$57,411.30 "
,TOTAL,,738,"$75,179.53 ","$57,411.30 "
59001,OTHER,,14,"$2,001.52 ","$1,496.40 "
,TOTAL,,14,"$2,001.52 ","$1,496.40 "
59012,OTHER,,1,$197.91 ,$91.02 
,TOTAL,,1,$197.91 ,$91.02 
59015,OTHER,,42,"$5,819.12 ","$4,273.66 "
,TOTAL,,42,"$5,819.12 ","$4,273.66 "
59020,OTHER,,106,"$4,203.30 ","$3,285.41 "
,TOTAL,,106,"$4,203.30 ","$3,285.41 "
59025,OTHER,,"15,840","$526,010.64 ","$397,626.38 "
,TOTAL,,"15,840","$526,010.64 ","$397,626.38 "
59030,OTHER,,1,$110.42 ,
,TOTAL,,1,$110.42 ,
59050,OTHER,,11,$550.77 ,$440.62 
,TOTAL,,11,$550.77 ,$440.62 
59051,OTHER,,73,"$2,864.24 ","$2,218.79 "
,TOTAL,,73,"$2,864.24 ","$2,218.79 "
59070,OTHER,,2,$268.45 ,$214.76 
,TOTAL,,2,$268.45 ,$214.76 
59074,OTHER,,3,$787.88 ,$630.30 
,TOTAL,,3,$787.88 ,$630.30 
59076,OTHER,,1,$416.48 ,$333.18 
,TOTAL,,1,$416.48 ,$333.18 
59100,80'S,,3,$369.73 ,$295.79 
,OTHER,,10,"$7,174.88 ","$5,739.90 "
,TOTAL,,13,"$7,544.61 ","$6,035.69 "
59120,80'S,,8,$963.33 ,$770.67 
,OTHER,,69,"$48,120.60 ","$38,297.48 "
,TOTAL,,77,"$49,083.93 ","$39,068.15 "
59121,80'S,,2,$225.38 ,$180.30 
,OTHER,,9,"$6,087.32 ","$4,853.92 "
,TOTAL,,11,"$6,312.70 ","$5,034.22 "
59136,OTHER,,2,$262.00 ,$209.60 
,TOTAL,,2,$262.00 ,$209.60 
59150,80'S,,6,$737.52 ,$474.22 
,OTHER,,26,"$17,719.78 ","$14,114.93 "
,TOTAL,,32,"$18,457.30 ","$14,589.15 "
59151,80'S,,8,$920.08 ,$637.61 
,OTHER,,100,"$69,135.03 ","$54,780.83 "
,TOTAL,,108,"$70,055.11 ","$55,418.44 "
59160,OTHER,,88,"$13,996.64 ","$11,090.98 "
,TOTAL,,88,"$13,996.64 ","$11,090.98 "
59200,OTHER,,267,"$15,853.35 ","$11,836.82 "
,TOTAL,,267,"$15,853.35 ","$11,836.82 "
59300,OTHER,,28,"$3,043.82 ","$2,187.41 "
,TOTAL,,28,"$3,043.82 ","$2,187.41 "
59320,SG,,2,$652.63 ,$417.30 
,80'S,,3,$75.96 ,$60.77 
,OTHER,,123,"$18,229.12 ","$14,014.10 "
,TOTAL,,128,"$18,957.71 ","$14,492.17 "
59325,OTHER,,2,$363.90 ,$291.12 
,TOTAL,,2,$363.90 ,$291.12 
59350,80'S,,1,$20.23 ,$16.18 
,OTHER,,3,$528.97 ,$423.17 
,TOTAL,,4,$549.20 ,$439.35 
59400,OTHER,,"3,720","$6,037,688.28 ","$4,716,588.95 "
,TOTAL,,"3,720","$6,037,688.28 ","$4,716,588.95 "
59409,OTHER,,"1,448","$1,089,715.62 ","$859,822.93 "
,TOTAL,,"1,448","$1,089,715.62 ","$859,822.93 "
59410,OTHER,,"1,180","$1,002,968.00 ","$787,509.42 "
,TOTAL,,"1,180","$1,002,968.00 ","$787,509.42 "
59412,OTHER,,25,"$2,589.80 ","$2,062.05 "
,TOTAL,,25,"$2,589.80 ","$2,062.05 "
59414,OTHER,,33,"$2,767.14 ","$1,980.66 "
,TOTAL,,33,"$2,767.14 ","$1,980.66 "
59425,OTHER,,"1,216","$263,437.65 ","$203,480.61 "
,TOTAL,,"1,216","$263,437.65 ","$203,480.61 "
59426,OTHER,,"1,664","$556,569.22 ","$432,253.26 "
,TOTAL,,"1,664","$556,569.22 ","$432,253.26 "
59430,OTHER,,"1,208","$143,547.43 ","$104,519.64 "
,TOTAL,,"1,208","$143,547.43 ","$104,519.64 "
59510,80'S,,4,"$1,083.73 ",$866.98 
,OTHER,,"2,927","$5,449,105.55 ","$4,261,703.38 "
,TOTAL,,"2,931","$5,450,189.28 ","$4,262,570.36 "
59514,80'S,,"1,176","$164,945.16 ","$128,360.61 "
,OTHER,,"1,124","$937,486.43 ","$740,680.40 "
,TOTAL,,"2,300","$1,102,431.59 ","$869,041.01 "
59515,OTHER,,"1,051","$1,084,082.58 ","$857,189.03 "
,TOTAL,,"1,051","$1,084,082.58 ","$857,189.03 "
59525,80'S,,3,$214.23 ,$165.69 
,OTHER,,12,"$5,634.83 ","$4,233.82 "
,TOTAL,,15,"$5,849.06 ","$4,399.51 "
59610,OTHER,,56,"$95,307.30 ","$74,089.46 "
,TOTAL,,56,"$95,307.30 ","$74,089.46 "
59612,OTHER,,44,"$37,792.97 ","$29,591.88 "
,TOTAL,,44,"$37,792.97 ","$29,591.88 "
59614,OTHER,,32,"$30,018.62 ","$23,647.61 "
,TOTAL,,32,"$30,018.62 ","$23,647.61 "
59618,OTHER,,14,"$27,650.57 ","$22,113.30 "
,TOTAL,,14,"$27,650.57 ","$22,113.30 "
59620,80'S,,5,$758.40 ,$606.71 
,OTHER,,6,"$5,879.03 ","$4,703.22 "
,TOTAL,,11,"$6,637.43 ","$5,309.93 "
59622,80'S,,1,$185.21 ,$43.37 
,OTHER,,5,"$5,532.87 ","$4,426.30 "
,TOTAL,,6,"$5,718.08 ","$4,469.67 "
59812,SG,,16,"$11,259.45 ","$9,007.58 "
,OTHER,,406,"$109,068.04 ","$85,452.53 "
,TOTAL,,422,"$120,327.49 ","$94,460.11 "
59820,SG,,28,"$20,097.98 ","$15,410.09 "
,OTHER,,627,"$199,511.64 ","$155,634.90 "
,TOTAL,,655,"$219,609.62 ","$171,044.99 "
