MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
39000,80'S,MEDIASTINUM,74,"$3,725.73 ","$2,919.40 "
,OTHER,,848,"$304,683.05 ","$242,128.73 "
,TOTAL,,922,"$308,408.78 ","$245,048.13 "
39010,80'S,,225,"$23,181.61 ","$18,394.09 "
,OTHER,,"2,130","$1,170,210.31 ","$930,360.75 "
,TOTAL,,"2,355","$1,193,391.92 ","$948,754.84 "
39200,80'S,,12,"$1,271.50 ",$951.89 
,OTHER,,78,"$48,265.91 ","$37,050.73 "
,TOTAL,,90,"$49,537.41 ","$38,002.62 "
39220,80'S,,91,"$12,945.73 ","$10,206.18 "
,OTHER,,555,"$459,922.42 ","$366,122.44 "
,TOTAL,,646,"$472,868.15 ","$376,328.62 "
39400,80'S,,3,$141.30 ,$113.03 
,OTHER,,"13,224","$5,616,125.00 ","$4,446,681.02 "
,TOTAL,,"13,227","$5,616,266.30 ","$4,446,794.05 "
39499,80'S,,4,$362.68 ,$290.15 
,OTHER,,33,"$14,618.59 ","$11,694.87 "
,TOTAL,,37,"$14,981.27 ","$11,985.02 "
39501,80'S,,36,"$2,884.14 ","$2,307.33 "
,OTHER,,292,"$136,395.42 ","$108,044.77 "
,TOTAL,,328,"$139,279.56 ","$110,352.10 "
39502,80'S,,751,"$93,799.12 ","$74,319.74 "
,OTHER,,"2,673","$1,984,025.04 ","$1,572,966.73 "
,TOTAL,,"3,424","$2,077,824.16 ","$1,647,286.47 "
39503,80'S,,4,"$3,495.41 ","$2,796.34 "
,OTHER,,7,"$30,907.50 ","$24,726.00 "
,TOTAL,,11,"$34,402.91 ","$27,522.34 "
39520,80'S,,99,"$11,063.50 ","$8,793.71 "
,OTHER,,415,"$252,787.74 ","$200,195.64 "
,TOTAL,,514,"$263,851.24 ","$208,989.35 "
39530,80'S,,16,"$1,610.71 ","$1,288.57 "
,OTHER,,98,"$57,263.02 ","$45,501.55 "
,TOTAL,,114,"$58,873.73 ","$46,790.12 "
39531,80'S,,4,$497.99 ,$398.40 
,OTHER,,9,"$6,348.13 ","$5,078.50 "
,TOTAL,,13,"$6,846.12 ","$5,476.90 "
39540,80'S,,26,"$2,488.32 ","$1,990.65 "
,OTHER,,101,"$59,478.37 ","$47,552.73 "
,TOTAL,,127,"$61,966.69 ","$49,543.38 "
39541,80'S,,82,"$7,723.75 ","$6,140.30 "
,OTHER,,245,"$130,457.27 ","$102,917.76 "
,TOTAL,,327,"$138,181.02 ","$109,058.06 "
39545,80'S,,20,"$2,307.00 ","$1,845.62 "
,OTHER,,119,"$75,613.77 ","$60,082.93 "
,TOTAL,,139,"$77,920.77 ","$61,928.55 "
39560,80'S,,73,"$4,720.93 ","$3,772.05 "
,OTHER,,412,"$165,574.93 ","$131,663.61 "
,TOTAL,,485,"$170,295.86 ","$135,435.66 "
39561,80'S,,61,"$8,169.04 ","$6,535.27 "
,OTHER,,237,"$180,469.13 ","$143,692.88 "
,TOTAL,,298,"$188,638.17 ","$150,228.15 "
39599,80'S,,131,"$17,220.25 ","$13,764.88 "
,OTHER,,546,"$408,512.36 ","$326,300.26 "
,TOTAL,,677,"$425,732.61 ","$340,065.14 "
