MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
90296,TOTAL,MEDICINE,1,$1.00 ,$0.80 
90371,TOTAL,,683,"$82,879.64 ","$53,335.77 "
90375,TOTAL,,"1,358","$49,570.44 ","$38,847.53 "
90376,TOTAL,,475,"$28,276.42 ","$22,219.24 "
90378,TOTAL,,5,"$3,228.45 ","$2,582.75 "
90385,TOTAL,,7,$59.06 ,$40.14 
90396,TOTAL,,47,"$6,677.43 ","$5,131.41 "
90465,TOTAL,,"1,033","$14,638.72 ","$10,763.44 "
90466,TOTAL,,38,$354.70 ,$232.61 
90467,TOTAL,,3,$33.54 ,$18.83 
90468,TOTAL,,1,$9.01 ,$7.21 
90471,TOTAL,,"1,076,382","$19,756,140.14 ","$14,135,900.65 "
90472,TOTAL,,"57,124","$581,990.24 ","$412,814.83 "
90473,TOTAL,,131,"$1,489.28 ",$950.41 
90474,TOTAL,,47,$404.76 ,$288.40 
90585,TOTAL,,63,"$3,420.64 ","$2,633.64 "
90586,TOTAL,,706,"$80,110.43 ","$61,701.50 "
90632,TOTAL,,340,"$14,830.65 ","$10,308.50 "
90633,TOTAL,,15,$371.55 ,$248.90 
90634,TOTAL,,1,$24.28 ,$19.42 
90636,TOTAL,,61,"$5,422.53 ","$4,183.27 "
90645,TOTAL,,17,$375.46 ,$300.35 
90647,TOTAL,,23,$489.49 ,$357.78 
90648,TOTAL,,13,$277.36 ,$187.00 
90655,TOTAL,,201,"$3,136.63 ","$3,136.63 "
90656,TOTAL,,"661,326","$11,239,306.15 ","$11,221,623.31 "
90657,TOTAL,,"2,999","$19,178.52 ","$19,129.65 "
90658,TOTAL,,"12,122,068","$157,119,330.60 ","$156,743,502.87 "
90660,TOTAL,,"12,037","$207,928.00 ","$207,738.60 "
90669,TOTAL,,28,$49.48 ,$37.74 
90675,TOTAL,,"1,344","$194,435.95 ","$151,820.60 "
90676,TOTAL,,7,$912.52 ,$730.03 
90691,TOTAL,,57,"$3,032.20 ","$1,695.96 "
90698,TOTAL,,3,$58.35 ,$46.68 
90700,TOTAL,,2,$62.16 ,$49.72 
90701,TOTAL,,23,$442.06 ,$337.80 
90702,TOTAL,,189,"$3,485.64 ","$2,478.42 "
90703,TOTAL,,"53,086","$989,642.98 ","$713,276.79 "
90707,TOTAL,,2,$80.91 ,$64.73 
90713,TOTAL,,3,$50.50 ,$40.40 
90714,TOTAL,,"37,659","$712,102.62 ","$502,976.64 "
90715,TOTAL,,"7,149","$231,223.20 ","$163,482.89 "
90716,TOTAL,,1,$37.00 ,
90718,TOTAL,,"75,268","$1,192,824.32 ","$841,593.00 "
90721,TOTAL,,7,$300.23 ,$240.17 
90732,TOTAL,,"1,500,554","$42,010,132.75 ","$41,834,312.02 "
90733,TOTAL,,18,"$1,541.55 ","$1,164.35 "
90734,TOTAL,,20,$20.00 ,$12.00 
90736,TOTAL,,"3,436","$525,105.14 ","$380,258.34 "
90740,TOTAL,,"3,085","$255,545.86 ","$194,159.72 "
90743,TOTAL,,112,"$2,728.32 ","$1,904.16 "
90744,TOTAL,,376,"$9,446.57 ","$6,663.06 "
90746,TOTAL,,"40,797","$2,266,728.52 ","$1,600,741.75 "
90747,TOTAL,,948,"$103,077.09 ","$78,408.67 "
90749,TOTAL,,40,"$1,013.57 ",$799.31 
90760,TOTAL,,"258,745","$15,822,005.39 ","$12,362,653.54 "
90761,TOTAL,,"639,558","$12,176,423.61 ","$9,622,455.83 "
90765,TOTAL,,"1,237,128","$92,149,736.42 ","$72,041,896.37 "
90766,TOTAL,,"799,691","$19,485,332.24 ","$15,353,513.85 "
90767,TOTAL,,"2,079,956","$81,312,190.75 ","$64,431,482.00 "
90768,TOTAL,,"374,118","$8,321,951.74 ","$6,590,666.99 "
90772,TOTAL,,"8,500,348","$156,536,609.22 ","$116,320,677.39 "
90773,TOTAL,,"2,414","$43,527.72 ","$32,934.38 "
90774,TOTAL,,"346,861","$19,178,123.84 ","$14,976,396.18 "
90775,TOTAL,,"1,931,932","$48,882,180.38 ","$38,704,719.78 "
90779,TOTAL,,926,"$23,427.51 ","$17,752.03 "
90801,TOTAL,,"1,348,627","$177,067,092.48 ","$133,624,594.32 "
90802,TOTAL,,"2,166","$301,201.88 ","$230,657.67 "
90804,TOTAL,,"684,910","$36,498,683.17 ","$17,282,372.50 "
90805,TOTAL,,"1,550,589","$101,835,653.91 ","$45,175,421.13 "
90806,TOTAL,,"5,515,789","$438,047,815.82 ","$209,973,795.10 "
90807,TOTAL,,"1,042,012","$103,324,858.97 ","$48,554,006.42 "
90808,TOTAL,,"309,211","$35,335,078.96 ","$17,359,791.82 "
90809,TOTAL,,"35,521","$4,911,678.08 ","$2,352,762.90 "
90810,TOTAL,,"2,805","$193,921.78 ","$93,452.27 "
90811,TOTAL,,"9,132","$679,207.40 ","$308,542.23 "
90812,TOTAL,,"15,569","$1,423,747.08 ","$695,806.42 "
90813,TOTAL,,"4,589","$489,593.18 ","$222,017.93 "
90814,TOTAL,,"4,546","$523,200.37 ","$256,968.26 "
90815,TOTAL,,321,"$46,538.57 ","$21,634.37 "
90816,TOTAL,,"1,282,512","$73,040,359.44 ","$38,696,362.01 "
90817,TOTAL,,"550,557","$36,488,947.04 ","$26,282,601.48 "
90818,TOTAL,,"1,400,715","$121,742,161.75 ","$63,642,731.18 "
90819,TOTAL,,"143,802","$13,808,100.00 ","$9,805,326.78 "
90821,TOTAL,,"24,537","$2,942,557.75 ","$1,640,311.53 "
90822,TOTAL,,"5,646","$744,369.02 ","$534,192.68 "
90823,TOTAL,,"3,098","$207,247.64 ","$101,502.75 "
90824,TOTAL,,"4,118","$304,582.81 ","$160,870.41 "
90826,TOTAL,,"2,827","$232,863.73 ","$122,863.12 "
90827,TOTAL,,627,"$64,849.20 ","$34,185.50 "
90828,TOTAL,,32,"$3,999.90 ","$2,475.82 "
90829,TOTAL,,48,"$6,662.54 ","$3,536.84 "
90845,TOTAL,,"4,746","$413,300.71 ","$201,224.36 "
90846,TOTAL,,"16,324","$1,358,474.96 ","$742,036.44 "
90847,TOTAL,,"169,173","$16,661,311.17 ","$8,254,028.33 "
90849,TOTAL,,422,"$12,059.23 ","$5,593.67 "
90853,TOTAL,,"1,507,613","$41,819,360.01 ","$20,845,079.76 "
90857,TOTAL,,"19,992","$567,583.21 ","$280,091.53 "
90862,TOTAL,,"5,263,874","$248,133,200.53 ","$123,082,399.51 "
90865,TOTAL,,146,"$12,527.94 ","$6,635.38 "
90870,TOTAL,,"136,857","$11,952,427.16 ","$7,537,296.42 "
