MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
20000,OTHER,MUSCULOSKELETAL,"4,452","$716,354.83 ","$548,298.62 "
,TOTAL,,"4,452","$716,354.83 ","$548,298.62 "
20005,SG,,95,"$41,323.57 ","$32,613.33 "
,OTHER,,"3,960","$867,026.95 ","$681,219.61 "
,TOTAL,,"4,055","$908,350.52 ","$713,832.94 "
20100,AS,,5,$306.97 ,$245.57 
,80'S,,17,"$1,362.26 ",$974.67 
,OTHER,,446,"$228,024.23 ","$180,872.46 "
,TOTAL,,468,"$229,693.46 ","$182,092.70 "
20101,80'S,,1,$15.99 ,$12.79 
,OTHER,,97,"$14,853.12 ","$11,882.52 "
,TOTAL,,98,"$14,869.11 ","$11,895.31 "
20102,AS,,13,$372.64 ,$295.63 
,80'S,,12,$348.32 ,$278.66 
,OTHER,,400,"$82,547.53 ","$64,931.79 "
,TOTAL,,425,"$83,268.49 ","$65,506.08 "
20103,AS,,16,$767.61 ,$614.11 
,80'S,,3,$129.12 ,$103.30 
,OTHER,,"1,452","$434,328.87 ","$341,363.06 "
,TOTAL,,"1,471","$435,225.60 ","$342,080.47 "
20150,OTHER,,8,"$4,416.83 ","$3,533.47 "
,TOTAL,,8,"$4,416.83 ","$3,533.47 "
2019F,OTHER,,50,$0.50 ,$0.49 
,TOTAL,,50,$0.50 ,$0.49 
2020F,OTHER,,20,$0.20 ,$0.20 
,TOTAL,,20,$0.20 ,$0.20 
20200,SG,,76,"$30,525.00 ","$23,570.64 "
,OTHER,,"1,067","$91,030.09 ","$70,225.95 "
,TOTAL,,"1,143","$121,555.09 ","$93,796.59 "
20205,SG,,210,"$103,474.47 ","$81,357.82 "
,OTHER,,"3,382","$457,123.98 ","$358,727.85 "
,TOTAL,,"3,592","$560,598.45 ","$440,085.67 "
20206,SG,,37,"$7,727.96 ","$6,182.36 "
,OTHER,,"7,698","$665,327.83 ","$524,269.33 "
,TOTAL,,"7,735","$673,055.79 ","$530,451.69 "
2021F,OTHER,,75,$0.75 ,$0.75 
,TOTAL,,75,$0.75 ,$0.75 
20220,SG,,46,"$9,778.10 ","$7,783.73 "
,OTHER,,"6,689","$568,174.63 ","$448,585.83 "
,TOTAL,,"6,735","$577,952.73 ","$456,369.56 "
20225,SG,,92,"$29,908.34 ","$23,717.11 "
,OTHER,,"15,468","$2,163,672.74 ","$1,717,096.52 "
,TOTAL,,"15,560","$2,193,581.08 ","$1,740,813.63 "
20240,SG,,97,"$35,935.68 ","$28,500.95 "
,OTHER,,"1,706","$289,484.46 ","$227,946.26 "
,TOTAL,,"1,803","$325,420.14 ","$256,447.21 "
20245,SG,,72,"$31,848.69 ","$25,479.00 "
,OTHER,,"2,105","$955,407.91 ","$756,411.49 "
,TOTAL,,"2,177","$987,256.60 ","$781,890.49 "
20250,AS,,1,$23.84 ,$19.07 
,SG,,2,"$1,063.49 ",$850.79 
,OTHER,,311,"$71,109.41 ","$56,520.37 "
,TOTAL,,314,"$72,196.74 ","$57,390.23 "
20251,AS,,97,"$3,544.19 ","$2,833.34 "
,SG,,1,$502.32 ,$401.86 
,80'S,,31,"$1,447.03 ","$1,157.65 "
,OTHER,,710,"$180,411.23 ","$143,602.71 "
,TOTAL,,839,"$185,904.77 ","$147,995.56 "
2027F,OTHER,,8,$1.07 ,$0.87 
,TOTAL,,8,$1.07 ,$0.87 
20500,OTHER,,737,"$72,280.22 ","$56,133.49 "
,TOTAL,,737,"$72,280.22 ","$56,133.49 "
20501,OTHER,,"5,995","$214,070.06 ","$168,273.36 "
,TOTAL,,"5,995","$214,070.06 ","$168,273.36 "
20520,OTHER,,"2,479","$365,172.12 ","$276,303.93 "
,TOTAL,,"2,479","$365,172.12 ","$276,303.93 "
20525,SG,,311,"$145,028.52 ","$113,661.46 "
,80'S,,1,$15.06 ,$12.05 
,OTHER,,"1,812","$442,086.01 ","$345,985.58 "
,TOTAL,,"2,124","$587,129.59 ","$459,659.09 "
20526,OTHER,,"50,698","$3,512,402.98 ","$2,654,693.40 "
,TOTAL,,"50,698","$3,512,402.98 ","$2,654,693.40 "
20550,80'S,,1,$3.18 ,$2.54 
,OTHER,,"786,861","$38,420,060.63 ","$28,673,466.06 "
,TOTAL,,"786,862","$38,420,063.81 ","$28,673,468.60 "
20551,OTHER,,"197,353","$7,051,301.37 ","$5,369,079.77 "
,TOTAL,,"197,353","$7,051,301.37 ","$5,369,079.77 "
20552,SG,,1,$46.57 ,$37.26 
,OTHER,,"295,883","$12,873,160.18 ","$9,688,817.37 "
,TOTAL,,"295,884","$12,873,206.75 ","$9,688,854.63 "
20553,SG,,1,$52.38 ,$41.90 
,OTHER,,"133,461","$6,515,055.94 ","$4,943,556.86 "
,TOTAL,,"133,462","$6,515,108.32 ","$4,943,598.76 "
20600,OTHER,,"373,092","$17,021,432.82 ","$12,709,585.18 "
,TOTAL,,"373,092","$17,021,432.82 ","$12,709,585.18 "
20605,SG,,2,$26.53 ,$21.22 
,OTHER,,"472,562","$23,670,992.53 ","$17,647,551.52 "
,TOTAL,,"472,564","$23,671,019.06 ","$17,647,572.74 "
20610,AS,,3,$16.26 ,$13.01 
,80'S,,2,$16.64 ,$13.31 
,OTHER,,"5,079,340","$326,515,732.89 ","$246,769,398.07 "
,TOTAL,,"5,079,345","$326,515,765.79 ","$246,769,424.39 "
20612,OTHER,,"18,808","$941,042.27 ","$690,675.48 "
,TOTAL,,"18,808","$941,042.27 ","$690,675.48 "
20615,OTHER,,802,"$137,691.97 ","$106,802.52 "
,TOTAL,,802,"$137,691.97 ","$106,802.52 "
20650,AS,,1,$19.07 ,$15.26 
,SG,,424,"$121,860.20 ","$97,072.98 "
,OTHER,,"3,246","$301,916.34 ","$238,761.72 "
,TOTAL,,"3,671","$423,795.61 ","$335,849.96 "
20660,OTHER,,"3,210","$544,249.72 ","$431,330.18 "
,TOTAL,,"3,210","$544,249.72 ","$431,330.18 "
20661,80'S,,1,$65.42 ,$52.34 
,OTHER,,"1,328","$432,927.43 ","$343,635.33 "
,TOTAL,,"1,329","$432,992.85 ","$343,687.67 "
20662,OTHER,,22,"$7,806.22 ","$6,244.94 "
,TOTAL,,22,"$7,806.22 ","$6,244.94 "
20663,OTHER,,12,"$4,864.89 ","$3,713.47 "
,TOTAL,,12,"$4,864.89 ","$3,713.47 "
20664,OTHER,,42,"$22,665.25 ","$18,102.96 "
,TOTAL,,42,"$22,665.25 ","$18,102.96 "
20665,AS,,2,$19.93 ,$15.95 
,OTHER,,"1,126","$114,771.03 ","$90,846.46 "
,TOTAL,,"1,128","$114,790.96 ","$90,862.41 "
20670,AS,,1,$19.70 ,$15.76 
,SG,,860,"$239,363.86 ","$187,962.27 "
,OTHER,,"14,097","$4,174,408.76 ","$3,273,020.89 "
,TOTAL,,"14,958","$4,413,792.32 ","$3,460,998.92 "
20680,AS,,"1,251","$46,257.01 ","$36,844.19 "
,SG,,"9,578","$4,229,884.93 ","$3,327,433.56 "
,80'S,,458,"$18,658.97 ","$14,796.93 "
,OTHER,,"52,019","$15,223,287.96 ","$12,002,119.43 "
,TOTAL,,"63,306","$19,518,088.87 ","$15,381,194.11 "
20690,AS,,2,$49.83 ,$39.86 
,SG,,247,"$83,213.16 ","$66,288.94 "
,OTHER,,"5,373","$707,996.09 ","$562,029.68 "
,TOTAL,,"5,622","$791,259.08 ","$628,358.48 "
20692,AS,,164,"$6,570.46 ","$5,221.23 "
,SG,,27,"$9,531.17 ","$7,520.13 "
,80'S,,131,"$5,044.75 ","$4,035.89 "
,OTHER,,"1,788","$424,436.15 ","$336,575.06 "
,TOTAL,,"2,110","$445,582.53 ","$353,352.31 "
20693,SG,,39,"$18,744.41 ","$14,995.55 "
,OTHER,,682,"$217,792.15 ","$172,440.09 "
,TOTAL,,721,"$236,536.56 ","$187,435.64 "
20694,AS,,2,$71.47 ,$57.18 
,SG,,673,"$208,992.80 ","$164,563.68 "
,OTHER,,"5,045","$1,242,101.01 ","$981,315.78 "
,TOTAL,,"5,720","$1,451,165.28 ","$1,145,936.64 "
20802,OTHER,,1,$823.00 ,$658.40 
,TOTAL,,1,$823.00 ,$658.40 
20805,OTHER,,14,"$7,755.84 ","$6,013.27 "
,TOTAL,,14,"$7,755.84 ","$6,013.27 "
20808,80'S,,1,$779.56 ,$623.65 
,OTHER,,2,"$6,375.28 ","$5,100.23 "
,TOTAL,,3,"$7,154.84 ","$5,723.88 "
20816,OTHER,,18,"$37,718.33 ","$30,174.67 "
,TOTAL,,18,"$37,718.33 ","$30,174.67 "
20822,AS,,1,$395.48 ,$316.38 
,OTHER,,12,"$24,632.84 ","$19,706.29 "
,TOTAL,,13,"$25,028.32 ","$20,022.67 "
20824,OTHER,,6,"$13,675.72 ","$10,940.58 "
,TOTAL,,6,"$13,675.72 ","$10,940.58 "
20827,OTHER,,10,"$20,474.94 ","$15,904.56 "
,TOTAL,,10,"$20,474.94 ","$15,904.56 "
20900,AS,,347,"$12,406.90 ","$9,863.82 "
,SG,,230,"$63,624.43 ","$49,731.18 "
,80'S,,177,"$6,771.77 ","$5,417.47 "
,OTHER,,"2,360","$577,459.66 ","$457,909.95 "
,TOTAL,,"3,114","$660,262.76 ","$522,922.42 "
20902,AS,,823,"$35,175.48 ","$27,953.70 "
,SG,,141,"$57,255.83 ","$45,725.64 "
,80'S,,428,"$21,616.04 ","$17,188.45 "
,OTHER,,"3,973","$1,268,047.43 ","$1,005,397.53 "
,TOTAL,,"5,365","$1,382,094.78 ","$1,096,265.32 "
20910,SG,,11,"$2,740.05 ","$2,192.04 "
,80'S,,1,$29.72 ,$23.78 
,OTHER,,71,"$15,870.28 ","$12,696.19 "
,TOTAL,,83,"$18,640.05 ","$14,912.01 "
20912,AS,,3,$121.96 ,$97.57 
,SG,,146,"$42,950.37 ","$34,032.51 "
,80'S,,4,$208.30 ,$166.64 
,OTHER,,555,"$131,872.78 ","$104,251.92 "
,TOTAL,,708,"$175,153.41 ","$138,548.64 "
20920,SG,,10,"$3,681.89 ","$2,945.49 "
,OTHER,,102,"$18,901.15 ","$15,121.00 "
,TOTAL,,112,"$22,583.04 ","$18,066.49 "
20922,AS,,18,$636.73 ,$475.74 
,SG,,5,"$1,239.25 ",$991.39 
,80'S,,21,$777.66 ,$622.14 
,OTHER,,316,"$74,533.88 ","$58,863.29 "
,TOTAL,,360,"$77,187.52 ","$60,952.56 "
20924,AS,,86,"$2,813.59 ","$2,238.66 "
,SG,,171,"$59,839.79 ","$47,451.99 "
,80'S,,23,$927.21 ,$741.77 
,OTHER,,699,"$171,400.09 ","$135,355.51 "
,TOTAL,,979,"$234,980.68 ","$185,787.93 "
20926,AS,,4,$253.21 ,$202.56 
,SG,,427,"$209,746.64 ","$166,780.72 "
,80'S,,1,$75.80 ,$60.64 
,OTHER,,"10,632","$4,244,702.55 ","$3,361,726.65 "
,TOTAL,,"11,064","$4,454,778.20 ","$3,528,770.57 "
20930,OTHER,,1,$142.23 ,$113.78 
,TOTAL,,1,$142.23 ,$113.78 
20931,AS,,7,$103.00 ,$82.40 
,80'S,,1,$18.52 ,$14.82 
,OTHER,,"22,354","$2,412,848.63 ","$1,903,345.59 "
,TOTAL,,"22,362","$2,412,970.15 ","$1,903,442.81 "
20936,OTHER,,1,$963.00 ,$770.40 
,TOTAL,,1,$963.00 ,$770.40 
20937,AS,,"3,295","$72,575.51 ","$57,749.52 "
,80'S,,"1,813","$48,054.17 ","$38,208.44 "
,OTHER,,"12,782","$2,117,669.17 ","$1,677,328.60 "
,TOTAL,,"17,890","$2,238,298.85 ","$1,773,286.56 "
20938,AS,,730,"$17,691.77 ","$14,053.87 "
,80'S,,651,"$18,620.85 ","$14,653.90 "
,OTHER,,"3,525","$633,215.16 ","$498,185.13 "
,TOTAL,,"4,906","$669,527.78 ","$526,892.90 "
20950,AS,,12,$74.45 ,$59.57 
,80'S,,1,$11.83 ,$9.46 
,OTHER,,418,"$43,573.53 ","$34,407.39 "
,TOTAL,,431,"$43,659.81 ","$34,476.42 "
20955,AS,,2,$641.19 ,$512.96 
,80'S,,8,"$3,056.72 ","$2,445.38 "
,OTHER,,124,"$250,447.27 ","$200,357.70 "
,TOTAL,,134,"$254,145.18 ","$203,316.04 "
20956,AS,,1,$320.25 ,$256.20 
,OTHER,,24,"$56,199.99 ","$44,959.98 "
,TOTAL,,25,"$56,520.24 ","$45,216.18 "
20957,AS,,1,$294.27 ,$235.42 
,OTHER,,4,"$9,592.67 ","$7,674.13 "
,TOTAL,,5,"$9,886.94 ","$7,909.55 "
20962,AS,,3,"$1,114.58 ",$858.24 
,80'S,,4,"$1,744.09 ","$1,395.27 "
,OTHER,,29,"$57,047.48 ","$45,533.20 "
,TOTAL,,36,"$59,906.15 ","$47,786.71 "
20969,AS,,1,$356.03 ,$284.82 
,80'S,,32,"$13,799.79 ","$10,999.40 "
,OTHER,,303,"$768,017.69 ","$605,105.55 "
,TOTAL,,336,"$782,173.51 ","$616,389.77 "
20970,AS,,3,"$1,069.42 ",$855.53 
,80'S,,1,$199.00 ,$159.20 
,OTHER,,19,"$49,909.69 ","$39,927.73 "
