MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
P3000,TOTAL,TESTS,"93,742","$1,376,109.72 ","$1,375,287.81 "
P3001,TOTAL,,"14,215","$317,779.24 ","$251,580.65 "
P9010,TOTAL,,11,$1.10 ,
P9012,TOTAL,,3,$111.00 ,$88.80 
P9016,TOTAL,,"3,649","$386,655.50 ","$308,623.51 "
P9017,TOTAL,,238,"$13,641.93 ","$10,913.54 "
P9019,TOTAL,,198,"$14,194.47 ","$11,355.58 "
P9021,TOTAL,,321,"$21,864.15 ","$17,477.46 "
P9022,TOTAL,,50,"$10,528.54 ","$8,422.26 "
P9023,TOTAL,,3,"$1,000.00 ",$800.00 
P9031,TOTAL,,3,"$1,500.00 ","$1,200.00 "
P9033,TOTAL,,87,"$156,600.00 ","$125,280.00 "
P9034,TOTAL,,10,"$5,200.00 ","$4,160.00 "
P9035,TOTAL,,277,"$144,418.57 ","$114,891.11 "
P9036,TOTAL,,5,"$1,535.20 ","$1,228.16 "
P9037,TOTAL,,566,"$366,836.45 ","$289,959.95 "
P9038,TOTAL,,38,"$4,361.10 ","$3,488.64 "
P9039,TOTAL,,1,$15.00 ,$12.00 
P9040,TOTAL,,"1,590","$265,232.60 ","$208,154.60 "
P9041,TOTAL,,"2,355","$40,607.82 ","$32,425.51 "
P9043,TOTAL,,8,$116.36 ,$93.08 
P9044,TOTAL,,43,"$2,913.00 ","$2,330.40 "
P9045,TOTAL,,"3,177","$154,764.00 ","$120,679.52 "
P9046,TOTAL,,53,$818.96 ,$655.13 
P9047,TOTAL,,"4,142","$181,949.68 ","$142,480.86 "
P9052,TOTAL,,34,"$19,101.66 ","$15,281.35 "
P9053,TOTAL,,225,"$174,332.30 ","$134,919.75 "
P9057,TOTAL,,28,"$11,965.80 ","$9,025.60 "
P9058,TOTAL,,674,"$170,549.00 ","$134,810.70 "
P9059,TOTAL,,2,$132.00 ,$105.60 
P9603,TOTAL,,"53,651,832","$40,394,699.70 ","$40,390,413.50 "
P9604,TOTAL,,"3,674,072","$19,206,460.89 ","$19,196,321.73 "
P9612,TOTAL,,"48,255","$144,760.39 ","$144,109.11 "
P9615,TOTAL,,"24,861","$74,583.00 ","$74,576.70 "
