MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
80048,GLOBL,PATH/LAB,"9,809,841","$96,470,549.08 ","$96,259,785.18 "
,TOTAL,,"9,809,841","$96,470,549.08 ","$96,259,785.18 "
80050,GLOBL,,5,$4.01 ,$4.01 
,TOTAL,,5,$4.01 ,$4.01 
80051,GLOBL,,"1,025,913","$5,069,588.31 ","$5,062,409.39 "
,TOTAL,,"1,025,913","$5,069,588.31 ","$5,062,409.39 "
80053,GLOBL,,"24,660,513","$285,424,913.31 ","$284,852,552.54 "
,TOTAL,,"24,660,513","$285,424,913.31 ","$284,852,552.54 "
80061,GLOBL,,"20,440,298","$291,262,444.52 ","$290,669,109.32 "
,TOTAL,,"20,440,298","$291,262,444.52 ","$290,669,109.32 "
80069,GLOBL,,"782,582","$8,235,418.76 ","$8,213,743.40 "
,TOTAL,,"782,582","$8,235,418.76 ","$8,213,743.40 "
80074,GLOBL,,"122,031","$8,048,378.55 ","$8,030,453.37 "
,TOTAL,,"122,031","$8,048,378.55 ","$8,030,453.37 "
80076,GLOBL,,"3,677,087","$29,231,120.38 ","$29,146,421.97 "
,TOTAL,,"3,677,087","$29,231,120.38 ","$29,146,421.97 "
80100,GLOBL,,"81,809","$1,357,315.48 ","$1,355,501.18 "
,TOTAL,,"81,809","$1,357,315.48 ","$1,355,501.18 "
80101,GLOBL,,"2,850,708","$49,395,668.74 ","$49,208,385.36 "
,TOTAL,,"2,850,708","$49,395,668.74 ","$49,208,385.36 "
80102,GLOBL,,"52,196","$960,877.88 ","$959,990.72 "
,TOTAL,,"52,196","$960,877.88 ","$959,990.72 "
80150,GLOBL,,"3,993","$81,934.03 ","$81,884.93 "
,TOTAL,,"3,993","$81,934.03 ","$81,884.93 "
80152,GLOBL,,"2,206","$54,219.89 ","$54,174.85 "
,TOTAL,,"2,206","$54,219.89 ","$54,174.85 "
80154,GLOBL,,"113,007","$2,901,879.78 ","$2,880,053.64 "
,TOTAL,,"113,007","$2,901,879.78 ","$2,880,053.64 "
80156,GLOBL,,"144,182","$2,906,011.27 ","$2,903,112.05 "
,TOTAL,,"144,182","$2,906,011.27 ","$2,903,112.05 "
80157,GLOBL,,"1,773","$32,577.28 ","$32,511.83 "
,TOTAL,,"1,773","$32,577.28 ","$32,511.83 "
80158,GLOBL,,"57,301","$1,386,340.24 ","$1,380,312.50 "
