MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
Q0035,TOTAL,NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,40,$481.54 ,$385.11 
Q0091,TOTAL,,"970,779","$35,824,720.57 ","$28,595,739.17 "
Q0092,TOTAL,,"1,763,229","$24,028,801.78 ","$18,580,860.58 "
Q0111,TOTAL,,"68,910","$405,152.50 ","$402,742.67 "
Q0112,TOTAL,,"39,169","$226,311.99 ","$225,104.47 "
Q0113,TOTAL,,6,$43.80 ,$43.80 
Q0114,TOTAL,,39,$383.88 ,$382.88 
Q0115,TOTAL,,169,"$2,329.48 ","$2,329.48 "
Q0163,TOTAL,,"1,235",$37.13 ,$24.83 
Q0164,TOTAL,,899,$24.62 ,$19.42 
Q0165,TOTAL,,"28,787","$1,769.29 ","$1,405.67 "
Q0166,TOTAL,,"27,903","$1,253,747.62 ","$999,685.49 "
Q0167,TOTAL,,"2,863","$59,284.38 ","$47,113.55 "
Q0168,TOTAL,,"7,585","$63,612.36 ","$50,697.94 "
Q0169,TOTAL,,60,$14.70 ,$11.76 
Q0170,TOTAL,,"1,202",$405.37 ,$311.95 
Q0173,TOTAL,,76,$24.78 ,$19.82 
Q0175,TOTAL,,2,$0.38 ,$0.30 
Q0177,TOTAL,,155,$8.77 ,$7.18 
Q0179,TOTAL,,"162,368","$4,193,201.01 ","$3,331,509.05 "
Q0180,TOTAL,,"17,726","$271,016.74 ","$215,048.82 "
Q0181,TOTAL,,78,$72.00 ,$57.60 
Q0482,TOTAL,,1,"$3,849.84 ","$3,079.87 "
Q0496,TOTAL,,22,"$26,853.92 ","$21,483.06 "
Q0497,TOTAL,,1,$379.66 ,$303.73 
Q0499,TOTAL,,1,$140.40 ,$112.32 
Q0500,TOTAL,,67,"$1,719.34 ","$1,375.52 "
Q0510,TOTAL,,"12,604","$615,080.00 ","$478,085.42 "
Q0511,TOTAL,,"597,906","$14,337,357.24 ","$11,184,759.53 "
Q0512,TOTAL,,"728,395","$11,638,832.44 ","$9,100,250.18 "
Q0513,TOTAL,,"4,357,848","$143,649,174.51 ","$111,565,549.02 "
Q0514,TOTAL,,"158,752","$10,442,677.03 ","$8,178,425.80 "
