MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
70010,26,RADIOLOGY,55,"$2,967.06 ","$2,373.67 "
,GLOBL,,7,$969.40 ,$775.52 
,TOTAL,,62,"$3,936.46 ","$3,149.19 "
70015,26,,205,"$11,753.96 ","$9,308.28 "
,GLOBL,,26,"$3,167.13 ","$2,533.78 "
,TOTAL,,231,"$14,921.09 ","$11,842.06 "
70030,TC,,"1,247","$20,593.08 ","$15,494.73 "
,26,,"24,158","$201,135.20 ","$153,264.19 "
,GLOBL,,"6,391","$160,799.71 ","$119,822.93 "
,TOTAL,,"31,796","$382,527.99 ","$288,581.85 "
70100,TC,,817,"$16,929.48 ","$12,801.77 "
,26,,"5,244","$45,709.05 ","$34,434.60 "
,GLOBL,,"1,812","$50,883.32 ","$38,183.33 "
,TOTAL,,"7,873","$113,521.85 ","$85,419.70 "
70110,TC,,644,"$15,438.06 ","$11,146.05 "
,26,,"11,932","$140,301.44 ","$104,314.87 "
,GLOBL,,"2,872","$99,083.42 ","$71,463.57 "
,TOTAL,,"15,448","$254,822.92 ","$186,924.49 "
70120,TC,,310,"$6,574.16 ","$4,146.71 "
,26,,253,"$2,179.86 ","$1,660.69 "
,GLOBL,,377,"$12,415.72 ","$9,228.95 "
,TOTAL,,940,"$21,169.74 ","$15,036.35 "
70130,TC,,63,"$1,884.93 ","$1,250.93 "
,26,,385,"$6,309.45 ","$4,751.23 "
,GLOBL,,391,"$19,960.45 ","$15,371.90 "
,TOTAL,,839,"$28,154.83 ","$21,374.06 "
70134,TC,,3,$85.64 ,$65.23 
,26,,62,"$1,007.76 ",$781.33 
,GLOBL,,85,"$4,298.73 ","$3,325.23 "
,TOTAL,,150,"$5,392.13 ","$4,171.79 "
70140,TC,,"1,951","$46,954.41 ","$36,075.66 "
,26,,"7,252","$66,404.37 ","$49,941.65 "
,GLOBL,,"4,198","$118,211.64 ","$89,324.85 "
,TOTAL,,"13,401","$231,570.42 ","$175,342.16 "
70150,TC,,"2,449","$74,205.08 ","$54,789.89 "
,26,,"21,113","$255,197.03 ","$189,805.61 "
,GLOBL,,"7,555","$298,714.02 ","$217,922.13 "
,TOTAL,,"31,117","$628,116.13 ","$462,517.63 "
70160,TC,,"1,885","$38,311.36 ","$27,908.35 "
,26,,"27,296","$228,571.74 ","$169,692.63 "
,GLOBL,,"6,311","$173,707.00 ","$128,537.19 "
,TOTAL,,"35,492","$440,590.10 ","$326,138.17 "
70170,TC,,3,$118.38 ,$94.71 
,26,,258,"$3,698.69 ","$2,830.51 "
,GLOBL,,32,"$1,722.96 ","$1,301.32 "
,TOTAL,,293,"$5,540.03 ","$4,226.54 "
70190,TC,,36,$908.45 ,$664.90 
,26,,439,"$4,470.22 ","$3,496.83 "
,GLOBL,,544,"$20,309.02 ","$15,402.33 "
,TOTAL,,"1,019","$25,687.69 ","$19,564.06 "
70200,TC,,989,"$30,158.64 ","$22,761.22 "
,26,,"10,036","$134,102.42 ","$100,399.70 "
,GLOBL,,"4,018","$174,122.61 ","$129,532.77 "
,TOTAL,,"15,043","$338,383.67 ","$252,693.69 "
70210,TC,,"12,525","$263,381.39 ","$182,437.67 "
,26,,"24,884","$201,400.13 ","$145,737.19 "
,GLOBL,,"55,356","$1,638,741.95 ","$1,167,194.67 "
,TOTAL,,"92,765","$2,103,523.47 ","$1,495,369.53 "
70220,TC,,"17,056","$460,065.13 ","$324,815.82 "
,26,,"58,603","$677,267.33 ","$496,847.75 "
,GLOBL,,"64,196","$2,504,052.98 ","$1,800,445.69 "
,TOTAL,,"139,855","$3,641,385.44 ","$2,622,109.26 "
70240,TC,,22,$371.49 ,$264.78 
,26,,205,"$1,841.86 ","$1,413.07 "
,GLOBL,,218,"$5,746.77 ","$4,312.11 "
,TOTAL,,445,"$7,960.12 ","$5,989.96 "
70250,TC,,"6,093","$155,260.43 ","$118,684.25 "
,26,,"36,592","$430,705.22 ","$330,345.06 "
,GLOBL,,"14,602","$487,678.09 ","$367,694.78 "
,TOTAL,,"57,287","$1,073,643.74 ","$816,724.09 "
70260,TC,,"3,356","$119,303.99 ","$91,269.71 "
,26,,"17,830","$297,263.19 ","$225,089.87 "
,GLOBL,,"8,700","$428,015.67 ","$318,109.44 "
,TOTAL,,"29,886","$844,582.85 ","$634,469.02 "
70300,TC,,12,$121.32 ,$91.73 
,26,,145,$826.75 ,$637.44 
,GLOBL,,722,"$11,331.85 ","$8,454.49 "
,TOTAL,,879,"$12,279.92 ","$9,183.66 "
70310,26,,88,$719.14 ,$560.52 
,GLOBL,,227,"$5,920.46 ","$4,553.19 "
,TOTAL,,315,"$6,639.60 ","$5,113.71 "
70320,TC,,1,$15.00 ,$12.00 
,26,,581,"$6,406.86 ","$4,654.26 "
,GLOBL,,682,"$27,107.24 ","$20,300.15 "
,TOTAL,,"1,264","$33,529.10 ","$24,966.41 "
70328,TC,,98,"$1,759.42 ","$1,212.16 "
,26,,471,"$4,073.13 ","$3,021.21 "
,GLOBL,,485,"$13,402.65 ","$9,634.75 "
,TOTAL,,"1,054","$19,235.20 ","$13,868.12 "
70330,TC,,351,"$10,969.85 ","$8,002.49 "
,26,,"2,550","$29,885.53 ","$21,975.77 "
,GLOBL,,"2,927","$129,189.77 ","$96,478.31 "
,TOTAL,,"5,828","$170,045.15 ","$126,456.57 "
70332,26,,30,$842.37 ,$640.03 
,GLOBL,,100,"$9,373.01 ","$7,130.48 "
,TOTAL,,130,"$10,215.38 ","$7,770.51 "
70336,TC,,223,"$62,063.30 ","$48,344.35 "
,26,,"1,446","$102,317.10 ","$79,039.66 "
,GLOBL,,"1,831","$667,809.20 ","$520,022.19 "
,TOTAL,,"3,500","$832,189.60 ","$647,406.20 "
70350,TC,,55,$811.34 ,$641.64 
,26,,68,$591.80 ,$460.29 
,GLOBL,,730,"$16,275.92 ","$12,694.88 "
,TOTAL,,853,"$17,679.06 ","$13,796.81 "
70355,TC,,269,"$5,337.09 ","$4,119.62 "
,26,,"11,294","$110,849.01 ","$84,030.89 "
,GLOBL,,"18,502","$537,488.69 ","$401,477.29 "
,TOTAL,,"30,065","$653,674.79 ","$489,627.80 "
70360,TC,,"1,608","$24,404.43 ","$18,413.08 "
,26,,"55,221","$458,671.30 ","$348,915.91 "
,GLOBL,,"13,313","$296,230.96 ","$229,432.70 "
,TOTAL,,"70,142","$779,306.69 ","$596,761.69 "
70370,TC,,197,"$9,626.53 ","$7,643.49 "
,26,,"3,043","$47,015.06 ","$37,369.02 "
,GLOBL,,"1,961","$129,075.24 ","$102,946.47 "
,TOTAL,,"5,201","$185,716.83 ","$147,958.98 "
70371,TC,,"1,680","$118,899.33 ","$94,991.58 "
,26,,"29,899","$1,216,813.09 ","$958,081.86 "
,GLOBL,,"10,730","$1,159,697.64 ","$917,429.45 "
,TOTAL,,"42,309","$2,495,410.06 ","$1,970,502.89 "
70373,TC,,591,"$36,566.46 ","$29,249.76 "
,26,,"10,602","$219,339.50 ","$174,362.46 "
,GLOBL,,"7,143","$564,104.10 ","$448,188.83 "
,TOTAL,,"18,336","$820,010.06 ","$651,801.05 "
70380,TC,,18,$502.01 ,$382.07 
,26,,51,$431.56 ,$328.32 
,GLOBL,,307,"$10,385.10 ","$7,565.71 "
,TOTAL,,376,"$11,318.67 ","$8,276.10 "
70390,TC,,15,"$1,115.94 ",$836.39 
,26,,419,"$7,528.38 ","$5,857.79 "
,GLOBL,,55,"$4,964.32 ","$3,800.06 "
,TOTAL,,489,"$13,608.64 ","$10,494.24 "
70450,TC,,"39,318","$6,582,818.43 ","$5,061,041.68 "
,26,,"4,436,245","$180,475,318.77 ","$139,030,760.81 "
,GLOBL,,"240,812","$39,708,898.89 ","$30,727,204.58 "
,TOTAL,,"4,716,375","$226,767,036.09 ","$174,819,007.07 "
70460,TC,,"2,450","$480,660.79 ","$377,797.07 "
,26,,"39,862","$2,176,756.03 ","$1,691,468.98 "
,GLOBL,,"7,968","$2,040,193.91 ","$1,597,254.61 "
,TOTAL,,"50,280","$4,697,610.73 ","$3,666,520.66 "
70470,TC,,"18,100","$4,575,381.63 ","$3,567,064.02 "
,26,,"246,364","$14,830,839.05 ","$11,428,798.35 "
,GLOBL,,"55,945","$17,047,226.16 ","$13,292,803.03 "
,TOTAL,,"320,409","$36,453,446.84 ","$28,288,665.40 "
70480,TC,,"2,838","$517,784.41 ","$405,253.50 "
,26,,"39,153","$2,424,111.71 ","$1,876,082.24 "
,GLOBL,,"15,070","$3,749,466.90 ","$2,926,204.33 "
,TOTAL,,"57,061","$6,691,363.02 ","$5,207,540.07 "
70481,TC,,275,"$64,328.35 ","$50,631.89 "
,26,,"5,957","$396,340.19 ","$306,346.72 "
,GLOBL,,"1,693","$522,976.37 ","$410,564.74 "
,TOTAL,,"7,925","$983,644.91 ","$767,543.35 "
70482,TC,,338,"$92,693.09 ","$73,503.61 "
,26,,"4,466","$306,273.19 ","$237,619.75 "
,GLOBL,,"2,006","$720,922.87 ","$566,397.65 "
,TOTAL,,"6,810","$1,119,889.15 ","$877,521.01 "
70486,TC,,"23,396","$4,149,357.30 ","$3,208,035.50 "
,26,,"314,564","$17,057,452.89 ","$13,116,566.07 "
,GLOBL,,"128,574","$29,937,082.08 ","$23,178,814.81 "
,TOTAL,,"466,534","$51,143,892.27 ","$39,503,416.38 "
70487,TC,,343,"$75,838.63 ","$59,305.95 "
,26,,"10,175","$641,379.57 ","$491,654.97 "
,GLOBL,,"1,556","$451,030.16 ","$355,050.45 "
,TOTAL,,"12,074","$1,168,248.36 ","$906,011.37 "
70488,TC,,294,"$78,936.78 ","$61,824.32 "
,26,,"3,269","$218,873.11 ","$167,932.97 "
,GLOBL,,"1,284","$439,480.63 ","$344,407.59 "
,TOTAL,,"4,847","$737,290.52 ","$574,164.88 "
70490,TC,,"3,032","$529,340.47 ","$414,067.86 "
,26,,"47,048","$2,900,137.54 ","$2,266,628.05 "
,GLOBL,,"14,067","$3,503,875.42 ","$2,743,872.96 "
,TOTAL,,"64,147","$6,933,353.43 ","$5,424,568.87 "
70491,TC,,"15,310","$3,331,997.36 ","$2,607,578.49 "
,26,,"167,866","$11,044,371.01 ","$8,535,114.03 "
,GLOBL,,"45,098","$13,260,098.19 ","$10,373,647.54 "
,TOTAL,,"228,274","$27,636,466.56 ","$21,516,340.06 "
70492,TC,,"2,364","$638,203.74 ","$499,928.34 "
,26,,"19,518","$1,331,716.79 ","$1,033,656.28 "
,GLOBL,,"12,765","$4,593,846.68 ","$3,601,468.56 "
,TOTAL,,"34,647","$6,563,767.21 ","$5,135,053.18 "
70496,TC,,"3,606","$979,207.04 ","$771,768.88 "
,26,,"73,785","$6,161,371.14 ","$4,818,257.33 "
,GLOBL,,"9,510","$3,527,243.10 ","$2,776,155.33 "
,TOTAL,,"86,901","$10,667,821.28 ","$8,366,181.54 "
70498,TC,,"7,624","$2,089,749.41 ","$1,650,255.92 "
,26,,"92,130","$7,663,057.07 ","$6,016,893.56 "
,GLOBL,,"22,895","$8,429,223.25 ","$6,638,814.63 "
,TOTAL,,"122,649","$18,182,029.73 ","$14,305,964.11 "
70540,TC,,933,"$304,381.74 ","$240,015.49 "
,26,,"6,440","$416,357.20 ","$326,179.92 "
,GLOBL,,"5,836","$2,474,343.58 ","$1,950,520.27 "
,TOTAL,,"13,209","$3,195,082.52 ","$2,516,715.68 "
70542,TC,,121,"$44,739.62 ","$35,651.13 "
,26,,"1,273","$99,500.09 ","$77,855.58 "
,GLOBL,,962,"$443,778.24 ","$350,818.14 "
,TOTAL,,"2,356","$588,017.95 ","$464,324.85 "
70543,TC,,"4,209","$2,011,950.54 ","$1,591,920.11 "
,26,,"31,965","$3,321,964.17 ","$2,588,394.99 "
,GLOBL,,"24,057","$14,837,908.35 ","$11,713,761.96 "
,TOTAL,,"60,231","$20,171,823.06 ","$15,894,077.06 "
70544,TC,,"15,929","$5,274,600.95 ","$4,177,596.43 "
,26,,"291,034","$16,827,728.62 ","$13,212,432.30 "
,GLOBL,,"64,374","$25,790,811.21 ","$20,394,956.25 "
,TOTAL,,"371,337","$47,893,140.78 ","$37,784,984.98 "
70545,TC,,252,"$84,522.02 ","$66,505.04 "
,26,,"5,158","$297,317.25 ","$233,822.69 "
,GLOBL,,"1,043","$420,047.57 ","$331,627.08 "
,TOTAL,,"6,453","$801,886.84 ","$631,954.81 "
70546,TC,,"1,276","$635,269.61 ","$503,309.04 "
,26,,"12,442","$1,083,696.07 ","$850,420.84 "
,GLOBL,,"3,773","$2,160,485.63 ","$1,710,465.14 "
,TOTAL,,"17,491","$3,879,451.31 ","$3,064,195.02 "
70547,TC,,"4,713","$1,605,940.01 ","$1,273,621.45 "
,26,,"70,198","$4,067,765.58 ","$3,213,680.95 "
,GLOBL,,"23,293","$9,738,514.98 ","$7,718,443.43 "
,TOTAL,,"98,204","$15,412,220.57 ","$12,205,745.83 "
70548,TC,,"1,842","$644,329.02 ","$508,404.21 "
,26,,"43,777","$2,502,114.99 ","$1,968,019.68 "
,GLOBL,,"7,003","$2,919,730.98 ","$2,306,589.36 "
