MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
50010,80'S,URINARY,42,"$2,979.49 ","$2,383.62 "
,OTHER,,179,"$87,237.76 ","$69,533.39 "
,TOTAL,,221,"$90,217.25 ","$71,917.01 "
50020,80'S,,1,$73.95 ,$59.16 
,OTHER,,198,"$102,783.91 ","$81,836.07 "
,TOTAL,,199,"$102,857.86 ","$81,895.23 "
50021,80'S,,2,$24.72 ,$19.78 
,OTHER,,791,"$129,165.75 ","$102,218.89 "
,TOTAL,,793,"$129,190.47 ","$102,238.67 "
50040,80'S,,2,$235.18 ,$188.14 
,OTHER,,184,"$122,049.04 ","$97,558.12 "
,TOTAL,,186,"$122,284.22 ","$97,746.26 "
50045,80'S,,2,$200.07 ,$160.05 
,OTHER,,16,"$11,229.77 ","$8,924.66 "
,TOTAL,,18,"$11,429.84 ","$9,084.71 "
50060,80'S,,13,"$1,939.41 ","$1,551.52 "
,OTHER,,61,"$57,725.78 ","$45,659.71 "
,TOTAL,,74,"$59,665.19 ","$47,211.23 "
50065,OTHER,,11,"$11,627.82 ","$9,302.26 "
,TOTAL,,11,"$11,627.82 ","$9,302.26 "
50070,80'S,,1,$171.21 ,$136.97 
,OTHER,,3,"$3,254.33 ","$2,603.47 "
,TOTAL,,4,"$3,425.54 ","$2,740.44 "
50075,80'S,,9,"$1,879.26 ","$1,503.40 "
,OTHER,,45,"$60,704.31 ","$48,563.42 "
,TOTAL,,54,"$62,583.57 ","$50,066.82 "
50080,OTHER,,"1,407","$1,122,528.86 ","$889,732.84 "
,TOTAL,,"1,407","$1,122,528.86 ","$889,732.84 "
50081,80'S,,257,"$50,501.92 ","$39,835.70 "
,OTHER,,"2,581","$3,071,943.15 ","$2,432,753.03 "
,TOTAL,,"2,838","$3,122,445.07 ","$2,472,588.73 "
5010F,OTHER,,6,$0.06 ,$0.06 
,TOTAL,,6,$0.06 ,$0.06 
50100,80'S,,1,$85.47 ,$68.38 
,OTHER,,10,"$7,209.07 ","$5,767.25 "
,TOTAL,,11,"$7,294.54 ","$5,835.63 "
50120,80'S,,3,$210.29 ,$168.22 
,OTHER,,16,"$9,674.89 ","$7,739.90 "
,TOTAL,,19,"$9,885.18 ","$7,908.12 "
50125,OTHER,,6,"$4,509.28 ","$3,607.43 "
,TOTAL,,6,"$4,509.28 ","$3,607.43 "
50130,80'S,,27,"$3,317.42 ","$2,653.95 "
,OTHER,,69,"$53,249.35 ","$42,463.75 "
,TOTAL,,96,"$56,566.77 ","$45,117.70 "
50135,80'S,,4,$666.26 ,$533.01 
,OTHER,,16,"$13,635.81 ","$10,810.89 "
,TOTAL,,20,"$14,302.07 ","$11,343.90 "
50200,SG,,22,"$7,115.74 ","$5,692.52 "
,80'S,,1,$11.76 ,$9.41 
,OTHER,,"25,709","$3,599,939.13 ","$2,816,335.83 "
,TOTAL,,"25,732","$3,607,066.63 ","$2,822,037.76 "
50205,80'S,,89,"$6,205.65 ","$4,884.02 "
,OTHER,,865,"$383,675.52 ","$305,163.25 "
,TOTAL,,954,"$389,881.17 ","$310,047.27 "
50220,80'S,,895,"$136,329.76 ","$107,908.63 "
,OTHER,,"1,973","$1,783,068.09 ","$1,408,977.35 "
,TOTAL,,"2,868","$1,919,397.85 ","$1,516,885.98 "
50225,80'S,,105,"$18,860.70 ","$14,744.43 "
,OTHER,,266,"$277,490.71 ","$215,927.54 "
,TOTAL,,371,"$296,351.41 ","$230,671.97 "
50230,80'S,,"2,963","$570,358.44 ","$452,247.28 "
,OTHER,,"5,685","$6,518,191.62 ","$5,170,181.95 "
,TOTAL,,"8,648","$7,088,550.06 ","$5,622,429.23 "
50234,80'S,,384,"$73,243.49 ","$58,290.83 "
,OTHER,,847,"$942,163.20 ","$745,457.91 "
,TOTAL,,"1,231","$1,015,406.69 ","$803,748.74 "
50236,80'S,,306,"$68,142.29 ","$53,952.47 "
,OTHER,,559,"$737,499.95 ","$587,534.66 "
,TOTAL,,865,"$805,642.24 ","$641,487.13 "
50240,80'S,,"1,116","$221,198.21 ","$173,507.87 "
,OTHER,,"2,610","$3,140,761.19 ","$2,479,894.82 "
