MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
V5008,TOTAL,HEARING,1,$0.01 ,$0.01 
V5010,TOTAL,,6,$6.60 ,$5.28 
V5011,TOTAL,,2,$2.20 ,$1.76 
V5014,TOTAL,,2,$2.20 ,$1.76 
V5020,TOTAL,,3,$3.30 ,$2.64 
V5050,TOTAL,,4,$4.40 ,$2.64 
V5060,TOTAL,,2,$2.20 ,$1.76 
V5090,TOTAL,,3,$2.21 ,$1.77 
V5130,TOTAL,,1,$1.10 ,$0.88 
V5140,TOTAL,,1,$1.10 ,$0.88 
V5160,TOTAL,,7,$7.70 ,$6.16 
V5256,TOTAL,,1,$0.01 ,$0.01 
V5260,TOTAL,,1,$0.01 ,$0.01 
