MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
WW002,TOTAL,MISC.,"135,411","$1,008,626.07 ","$803,654.37 "
WW003,TOTAL,,"10,033","$4,127,494.18 ","$3,270,751.65 "
WW005,TOTAL,,"133,372","$17,371,215.34 ","$13,781,931.22 "
WW006,TOTAL,,"119,043","$3,441,064.83 ","$2,727,183.33 "
WW010,TOTAL,,"34,297","$33,363.50 ","$26,458.53 "
WW011,TOTAL,,"157,676","$295,162.59 ","$229,317.05 "
WW014,TOTAL,,515,$503.75 ,$402.98 
WW015,TOTAL,,540,$526.14 ,$420.91 
WW020,TOTAL,,"10,116","$22,315.52 ","$17,380.36 "
WW030,TOTAL,,"74,593","$2,128,888.42 ","$1,695,512.88 "
WW040,TOTAL,,"18,354","$4,429.56 ","$3,176.19 "
WW080,TOTAL,,30,$130.08 ,$104.06 
WW090,TOTAL,,"444,242","$1,822,419.71 ","$1,450,104.40 "
WW093,TOTAL,,"6,234,366","$84,637,855.14 ","$67,353,176.52 "
WW096,TOTAL,,154,$997.00 ,$797.60 
WW100,TOTAL,,40,$18.12 ,$11.70 
10021,TOTAL,,"44,265","$4,775,208.88 ","$3,707,607.56 "
10022,TOTAL,,"124,054","$12,077,117.83 ","$9,471,676.77 "
WW999,TOTAL,,"13,859,074","$49,561,644.68 ","$38,084,001.67 "
X7648,TOTAL,,4,"$2,600.00 ","$2,080.00 "
Z5220,TOTAL,,1,$25.00 ,$20.00 
Z7900,TOTAL,,184,$470.22 ,$372.25 
