MEDICARE PART B PHYSICIAN/SUPPLIER BESS DATA,,,,,
FOR CALENDAR YEAR 2007,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
_____,________,___________,________________,_______________,_______
40490,OTHER,DIGESTIVE,"34,467","$3,475,012.96 ","$2,616,491.62 "
,TOTAL,,"34,467","$3,475,012.96 ","$2,616,491.62 "
40500,SG,,68,"$27,216.39 ","$21,668.35 "
,OTHER,,568,"$187,365.17 ","$146,439.62 "
,TOTAL,,636,"$214,581.56 ","$168,107.97 "
40510,SG,,183,"$74,102.72 ","$58,738.03 "
,OTHER,,"1,324","$457,175.85 ","$357,866.39 "
,TOTAL,,"1,507","$531,278.57 ","$416,604.42 "
40520,SG,,181,"$77,054.73 ","$61,046.27 "
,OTHER,,"1,514","$530,495.15 ","$418,052.02 "
,TOTAL,,"1,695","$607,549.88 ","$479,098.29 "
40525,SG,,105,"$41,721.45 ","$32,928.02 "
,OTHER,,318,"$143,488.71 ","$113,770.92 "
,TOTAL,,423,"$185,210.16 ","$146,698.94 "
40527,SG,,12,"$5,014.64 ","$3,951.56 "
,80'S,,1,$106.95 ,$85.56 
,OTHER,,94,"$48,434.77 ","$38,643.05 "
,TOTAL,,107,"$53,556.36 ","$42,680.17 "
40530,SG,,40,"$14,436.54 ","$11,314.51 "
,OTHER,,224,"$64,287.28 ","$51,205.88 "
,TOTAL,,264,"$78,723.82 ","$62,520.39 "
40650,SG,,12,"$5,117.37 ","$4,093.88 "
,OTHER,,293,"$75,903.34 ","$59,443.07 "
,TOTAL,,305,"$81,020.71 ","$63,536.95 "
40652,SG,,8,"$2,978.75 ","$2,383.00 "
,OTHER,,214,"$72,705.83 ","$57,609.40 "
,TOTAL,,222,"$75,684.58 ","$59,992.40 "
40654,SG,,59,"$24,607.95 ","$19,276.83 "
,OTHER,,568,"$216,748.78 ","$170,058.01 "
,TOTAL,,627,"$241,356.73 ","$189,334.84 "
40700,OTHER,,11,"$8,304.50 ","$6,643.61 "
,TOTAL,,11,"$8,304.50 ","$6,643.61 "
40701,OTHER,,4,"$3,210.89 ","$2,568.71 "
,TOTAL,,4,"$3,210.89 ","$2,568.71 "
40720,SG,,1,$971.97 ,$672.78 
,OTHER,,11,"$9,010.65 ","$7,208.52 "
,TOTAL,,12,"$9,982.62 ","$7,881.30 "
40761,SG,,1,$489.27 ,$391.42 
