,,,Medicare Part B Physician/Supplier BESS Data,,,,,,,,
,,,For Calendar Year 2008,,,,,,,,
,,,Code Ranges 00100 - 01999,,,,,,,,
,,,,,,,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,,,,
00100,AA,ANESTHESIA,"3,040","$907,843.11 ","$717,576.56 ",,,,,,
,AD,,63,"$6,494.04 ","$5,128.91 ",,,,,,
,QK,,"3,801","$625,025.81 ","$493,153.49 ",,,,,,
,QZ,,"1,213","$336,677.88 ","$266,642.18 ",,,,,,
,OTHER,,"4,306","$635,643.71 ","$505,267.26 ",,,,,,
,TOTAL,,"12,423","$2,511,684.55 ","$1,987,768.40 ",,,,,,
00102,AA,,10,"$2,869.83 ","$2,295.88 ",,,,,,
,QK,,8,"$1,027.07 ",$821.65 ,,,,,,
,QZ,,7,"$1,429.03 ","$1,143.22 ",,,,,,
,OTHER,,21,"$2,856.03 ","$2,284.84 ",,,,,,
,TOTAL,,46,"$8,181.96 ","$6,545.59 ",,,,,,
00103,AA,,"29,993","$5,589,896.90 ","$4,403,879.25 ",,,,,,
,AD,,268,"$19,374.05 ","$15,237.80 ",,,,,,
,QK,,"20,562","$1,998,485.69 ","$1,566,315.81 ",,,,,,
,QZ,,"26,239","$4,535,562.35 ","$3,565,680.90 ",,,,,,
,OTHER,,"25,964","$2,465,262.34 ","$1,944,267.21 ",,,,,,
,TOTAL,,"103,026","$14,608,581.33 ","$11,495,380.97 ",,,,,,
00104,AA,,"83,927","$8,804,446.73 ","$5,401,871.40 ",,,,,,
,AD,,381,"$25,252.03 ","$16,032.00 ",,,,,,
,QK,,"22,978","$1,222,496.45 ","$757,536.99 ",,,,,,
,QZ,,"13,142","$1,352,035.66 ","$810,875.38 ",,,,,,
,OTHER,,"52,537","$2,674,023.55 ","$1,664,589.72 ",,,,,,
,TOTAL,,"172,965","$14,078,254.42 ","$8,650,905.49 ",,,,,,
00120,AA,,"5,782","$1,402,895.46 ","$1,105,280.08 ",,,,,,
,AD,,76,"$6,781.02 ","$5,195.80 ",,,,,,
,QK,,"6,349","$864,879.52 ","$680,592.80 ",,,,,,
,QZ,,"2,444","$523,123.81 ","$411,713.82 ",,,,,,
,OTHER,,"6,837","$871,445.28 ","$689,316.84 ",,,,,,
,TOTAL,,"21,488","$3,669,125.09 ","$2,892,099.34 ",,,,,,
00124,AA,,247,"$31,639.74 ","$24,615.46 ",,,,,,
,AD,,6,$429.96 ,$343.96 ,,,,,,
,QK,,215,"$14,136.83 ","$10,885.91 ",,,,,,
,QZ,,144,"$17,750.15 ","$13,707.15 ",,,,,,
,OTHER,,264,"$17,518.84 ","$13,748.95 ",,,,,,
,TOTAL,,876,"$81,475.52 ","$63,301.43 ",,,,,,
00126,AA,,"2,704","$328,101.38 ","$256,151.16 ",,,,,,
,AD,,46,"$3,596.23 ","$2,848.16 ",,,,,,
,QK,,"2,870","$179,728.45 ","$140,599.00 ",,,,,,
,QZ,,"1,538","$183,828.14 ","$144,438.30 ",,,,,,
,OTHER,,"3,400","$210,785.89 ","$166,475.81 ",,,,,,
,TOTAL,,"10,558","$906,040.09 ","$710,512.43 ",,,,,,
00140,AA,,"44,231","$7,804,725.51 ","$6,181,539.56 ",,,,,,
,AD,,334,"$25,407.22 ","$19,831.15 ",,,,,,
,QK,,"24,399","$2,419,327.33 ","$1,899,354.89 ",,,,,,
,QZ,,"35,314","$5,612,965.31 ","$4,421,282.72 ",,,,,,
,OTHER,,"30,687","$2,971,970.26 ","$2,353,293.00 ",,,,,,
,TOTAL,,"134,965","$18,834,395.63 ","$14,875,301.32 ",,,,,,
00142,AA,,"586,372","$73,781,279.31 ","$58,364,051.78 ",,,,,,
,AD,,"7,730","$576,795.53 ","$450,675.76 ",,,,,,
,QK,,"363,695","$23,764,005.73 ","$18,723,833.79 ",,,,,,
,QZ,,"593,573","$69,328,557.09 ","$54,722,559.43 ",,,,,,
,OTHER,,"476,956","$30,679,124.65 ","$24,279,471.28 ",,,,,,
,TOTAL,,"2,028,326","$198,129,762.31 ","$156,540,592.04 ",,,,,,
00144,AA,,"5,664","$1,344,320.68 ","$1,063,813.83 ",,,,,,
,AD,,113,"$7,949.06 ","$6,359.34 ",,,,,,
,QK,,"6,428","$788,647.68 ","$618,917.72 ",,,,,,
,QZ,,"4,903","$1,025,134.33 ","$808,118.92 ",,,,,,
,OTHER,,"7,141","$858,116.80 ","$678,949.91 ",,,,,,
,TOTAL,,"24,249","$4,024,168.55 ","$3,176,159.72 ",,,,,,
00145,AA,,"37,133","$8,439,361.66 ","$6,663,398.39 ",,,,,,
,AD,,456,"$34,403.71 ","$26,763.66 ",,,,,,
,QK,,"33,070","$3,993,908.91 ","$3,141,785.23 ",,,,,,
,QZ,,"16,469","$3,545,668.69 ","$2,795,822.99 ",,,,,,
,OTHER,,"37,674","$4,500,735.70 ","$3,569,209.27 ",,,,,,
,TOTAL,,"124,802","$20,514,078.67 ","$16,196,979.54 ",,,,,,
00147,AA,,197,"$33,522.70 ","$26,468.34 ",,,,,,
,AD,,2,$144.39 ,$115.51 ,,,,,,
,QK,,234,"$18,686.16 ","$14,840.96 ",,,,,,
,QZ,,118,"$15,889.51 ","$12,532.77 ",,,,,,
,OTHER,,220,"$18,369.38 ","$14,585.92 ",,,,,,
,TOTAL,,771,"$86,612.14 ","$68,543.50 ",,,,,,
00148,AA,,168,"$22,886.53 ","$17,890.38 ",,,,,,
,AD,,2,$145.79 ,$116.63 ,,,,,,
,QK,,303,"$21,841.59 ","$16,512.30 ",,,,,,
,QZ,,79,"$9,719.71 ","$7,347.02 ",,,,,,
,OTHER,,318,"$23,332.48 ","$18,051.70 ",,,,,,
,TOTAL,,870,"$77,926.10 ","$59,918.03 ",,,,,,
0016T,OTHER,,73,"$48,152.57 ","$38,490.71 ",,,,,,
,TOTAL,,73,"$48,152.57 ","$38,490.71 ",,,,,,
00160,AA,,"19,180","$4,120,191.91 ","$3,236,286.58 ",,,,,,
,AD,,269,"$24,055.89 ","$18,898.65 ",,,,,,
,QK,,"18,499","$2,111,088.82 ","$1,659,963.19 ",,,,,,
,QZ,,"8,601","$1,776,059.29 ","$1,396,639.08 ",,,,,,
,OTHER,,"20,869","$2,295,599.85 ","$1,817,435.47 ",,,,,,
,TOTAL,,"67,418","$10,326,995.76 ","$8,129,222.97 ",,,,,,
00162,AA,,317,"$115,353.57 ","$91,059.92 ",,,,,,
,AD,,3,$189.09 ,$115.42 ,,,,,,
,QK,,482,"$119,392.88 ","$94,830.63 ",,,,,,
,QZ,,93,"$33,814.45 ","$26,673.25 ",,,,,,
,OTHER,,382,"$87,952.56 ","$70,301.14 ",,,,,,
,TOTAL,,"1,277","$356,702.55 ","$282,980.36 ",,,,,,
00164,AA,,93,"$14,293.91 ","$11,396.23 ",,,,,,
,QK,,97,"$7,806.33 ","$6,195.10 ",,,,,,
,QZ,,118,"$18,235.44 ","$14,325.06 ",,,,,,
,OTHER,,270,"$22,092.77 ","$17,493.07 ",,,,,,
,TOTAL,,578,"$62,428.45 ","$49,409.46 ",,,,,,
00170,AA,,"8,795","$1,730,896.56 ","$1,345,833.33 ",,,,,,
,AD,,115,"$9,415.47 ","$7,321.88 ",,,,,,
,QK,,"10,038","$1,126,404.88 ","$864,718.52 ",,,,,,
,QZ,,"4,097","$780,809.74 ","$605,456.30 ",,,,,,
,OTHER,,"11,074","$1,179,820.76 ","$921,049.22 ",,,,,,
,TOTAL,,"34,119","$4,827,347.41 ","$3,744,379.25 ",,,,,,
00172,AA,,14,"$3,211.94 ","$2,515.50 ",,,,,,
,AD,,1,$56.73 ,$45.38 ,,,,,,
,QK,,25,"$4,341.99 ","$3,432.78 ",,,,,,
,QZ,,7,"$1,678.96 ","$1,343.17 ",,,,,,
,OTHER,,32,"$4,474.62 ","$3,464.98 ",,,,,,
,TOTAL,,79,"$13,764.24 ","$10,801.81 ",,,,,,
00174,AA,,17,"$3,929.10 ","$2,927.28 ",,,,,,
,QK,,19,"$2,888.22 ","$2,237.13 ",,,,,,
,QZ,,7,"$1,252.43 ","$1,001.95 ",,,,,,
,OTHER,,34,"$4,919.19 ","$3,900.82 ",,,,,,
,TOTAL,,77,"$12,988.94 ","$10,067.18 ",,,,,,
00176,AA,,281,"$160,672.71 ","$126,479.48 ",,,,,,
,AD,,9,"$1,209.21 ",$967.37 ,,,,,,
,QK,,747,"$275,232.58 ","$219,233.66 ",,,,,,
,QZ,,83,"$42,686.93 ","$34,078.58 ",,,,,,
,OTHER,,582,"$186,066.64 ","$148,653.14 ",,,,,,
,TOTAL,,"1,702","$665,868.07 ","$529,412.23 ",,,,,,
0019T,OTHER,,50,"$10,569.69 ","$7,591.48 ",,,,,,
,TOTAL,,50,"$10,569.69 ","$7,591.48 ",,,,,,
00190,AA,,"2,695","$660,141.51 ","$520,349.02 ",,,,,,
,AD,,75,"$6,572.08 ","$5,257.49 ",,,,,,
,QK,,"3,929","$589,457.64 ","$459,614.81 ",,,,,,
,QZ,,863,"$216,616.52 ","$170,575.01 ",,,,,,
,OTHER,,"3,712","$512,599.68 ","$405,006.46 ",,,,,,
,TOTAL,,"11,274","$1,985,387.43 ","$1,560,802.79 ",,,,,,
00192,AA,,523,"$201,287.96 ","$157,975.93 ",,,,,,
,AD,,22,"$1,712.86 ","$1,370.25 ",,,,,,
,QK,,925,"$213,828.71 ","$168,164.54 ",,,,,,
,QZ,,222,"$73,902.47 ","$57,868.32 ",,,,,,
,OTHER,,848,"$179,572.52 ","$142,455.87 ",,,,,,
,TOTAL,,"2,540","$670,304.52 ","$527,834.91 ",,,,,,
00210,AA,,"13,043","$6,398,748.34 ","$5,068,474.88 ",,,,,,
,AD,,207,"$19,258.65 ","$15,166.48 ",,,,,,
,QK,,"15,795","$4,238,005.09 ","$3,365,420.37 ",,,,,,
,QZ,,"2,952","$1,356,947.96 ","$1,077,670.36 ",,,,,,
,OTHER,,"13,543","$3,354,524.75 ","$2,670,552.74 ",,,,,,
,TOTAL,,"45,540","$15,367,484.79 ","$12,197,284.83 ",,,,,,
00212,AA,,64,"$13,799.86 ","$11,003.88 ",,,,,,
,QK,,41,"$5,033.39 ","$3,941.70 ",,,,,,
,QZ,,18,"$2,935.97 ","$2,333.13 ",,,,,,
,OTHER,,62,"$7,064.42 ","$5,651.58 ",,,,,,
,TOTAL,,185,"$28,833.64 ","$22,930.29 ",,,,,,
00214,AA,,"3,156","$1,007,583.88 ","$798,042.99 ",,,,,,
,AD,,36,"$2,732.49 ","$2,185.94 ",,,,,,
,QK,,"3,212","$536,495.40 ","$424,659.59 ",,,,,,
,QZ,,859,"$262,263.78 ","$208,065.82 ",,,,,,
,OTHER,,"3,643","$595,638.88 ","$472,690.82 ",,,,,,
,TOTAL,,"10,906","$2,404,714.43 ","$1,905,645.16 ",,,,,,
00215,AA,,300,"$121,201.38 ","$95,865.59 ",,,,,,
,AD,,5,$330.76 ,$264.60 ,,,,,,
,QK,,516,"$108,928.73 ","$86,069.77 ",,,,,,
,QZ,,64,"$23,722.48 ","$18,813.05 ",,,,,,
,OTHER,,390,"$78,091.06 ","$61,912.05 ",,,,,,
,TOTAL,,"1,275","$332,274.41 ","$262,925.06 ",,,,,,
00216,AA,,958,"$645,743.55 ","$512,627.40 ",,,,,,
,AD,,20,"$1,915.61 ","$1,532.46 ",,,,,,
,QK,,"1,290","$489,325.35 ","$388,000.60 ",,,,,,
,QZ,,166,"$100,799.15 ","$79,860.44 ",,,,,,
,OTHER,,893,"$296,515.70 ","$235,505.51 ",,,,,,
,TOTAL,,"3,327","$1,534,299.36 ","$1,217,526.41 ",,,,,,
00218,AA,,513,"$296,531.23 ","$234,399.54 ",,,,,,
,AD,,10,$767.55 ,$551.24 ,,,,,,
,QK,,612,"$200,096.63 ","$159,118.61 ",,,,,,
,QZ,,93,"$47,736.29 ","$38,142.82 ",,,,,,
,OTHER,,500,"$142,981.84 ","$113,736.77 ",,,,,,
,TOTAL,,"1,728","$688,113.54 ","$545,948.98 ",,,,,,
00220,AA,,"3,883","$1,418,255.49 ","$1,123,305.38 ",,,,,,
,AD,,76,"$6,839.84 ","$5,384.44 ",,,,,,
,QK,,"5,022","$944,568.34 ","$748,431.03 ",,,,,,
,QZ,,"1,033","$363,081.17 ","$287,259.67 ",,,,,,
,OTHER,,"4,366","$789,229.10 ","$628,332.25 ",,,,,,
,TOTAL,,"14,380","$3,521,973.94 ","$2,792,712.77 ",,,,,,
00222,AA,,183,"$39,909.09 ","$31,334.25 ",,,,,,
,AD,,2,$121.98 ,$97.58 ,,,,,,
,QK,,299,"$31,489.03 ","$24,451.53 ",,,,,,
,QZ,,13,"$3,005.15 ","$2,404.12 ",,,,,,
,OTHER,,433,"$51,776.23 ","$41,023.48 ",,,,,,
,TOTAL,,930,"$126,301.48 ","$99,310.96 ",,,,,,
0028T,OTHER,,8,$175.30 ,$140.24 ,,,,,,
,TOTAL,,8,$175.30 ,$140.24 ,,,,,,
0029T,OTHER,,990,"$51,444.78 ","$39,639.60 ",,,,,,
,TOTAL,,990,"$51,444.78 ","$39,639.60 ",,,,,,
0030T,OTHER,,65,"$2,076.02 ","$2,076.02 ",,,,,,
,TOTAL,,65,"$2,076.02 ","$2,076.02 ",,,,,,
00300,AA,,"59,964","$12,572,661.46 ","$9,904,367.18 ",,,,,,
,AD,,"1,121","$91,173.84 ","$71,077.77 ",,,,,,
,QK,,"65,035","$7,167,883.10 ","$5,623,433.29 ",,,,,,
,QZ,,"35,498","$6,898,377.96 ","$5,435,137.09 ",,,,,,
,OTHER,,"72,280","$7,719,422.08 ","$6,099,727.01 ",,,,,,
,TOTAL,,"233,898","$34,449,518.44 ","$27,133,742.34 ",,,,,,
0031T,OTHER,,1,$28.00 ,$22.40 ,,,,,,
,TOTAL,,1,$28.00 ,$22.40 ,,,,,,
0032T,OTHER,,1,$58.77 ,$47.02 ,,,,,,
,TOTAL,,1,$58.77 ,$47.02 ,,,,,,
00320,AA,,"46,710","$11,716,233.36 ","$9,273,159.53 ",,,,,,
,AD,,858,"$72,386.87 ","$56,811.68 ",,,,,,
,QK,,"53,154","$7,496,900.31 ","$5,933,254.22 ",,,,,,
,QZ,,"16,615","$4,041,913.76 ","$3,203,858.29 ",,,,,,
,OTHER,,"54,463","$7,240,392.03 ","$5,752,734.99 ",,,,,,
,TOTAL,,"171,800","$30,567,826.33 ","$24,219,818.71 ",,,,,,
00322,AA,,36,"$4,968.45 ","$3,974.77 ",,,,,,
,QK,,30,"$2,577.05 ","$2,017.13 ",,,,,,
,QZ,,27,"$3,408.36 ","$2,726.71 ",,,,,,
,OTHER,,34,"$2,878.87 ","$2,258.59 ",,,,,,
,TOTAL,,127,"$13,832.73 ","$10,977.20 ",,,,,,
00326,AA,,7,"$1,839.93 ","$1,471.94 ",,,,,,
,QK,,8,$910.52 ,$728.43 ,,,,,,
,QZ,,2,$402.74 ,$322.19 ,,,,,,
,OTHER,,7,$810.78 ,$648.63 ,,,,,,
,TOTAL,,24,"$3,963.97 ","$3,171.19 ",,,,,,
00350,AA,,"29,566","$11,838,451.69 ","$9,396,167.31 ",,,,,,
,AD,,426,"$42,490.53 ","$33,444.45 ",,,,,,
,QK,,"25,783","$5,375,506.15 ","$4,257,589.05 ",,,,,,
,QZ,,"8,653","$3,366,615.65 ","$2,675,725.27 ",,,,,,
,OTHER,,"27,506","$5,564,508.56 ","$4,426,489.21 ",,,,,,
,TOTAL,,"91,934","$26,187,572.58 ","$20,789,415.29 ",,,,,,
00352,AA,,"3,559","$673,936.48 ","$534,188.74 ",,,,,,
,AD,,76,"$5,637.75 ","$4,469.49 ",,,,,,
,QK,,"4,054","$387,895.29 ","$307,505.28 ",,,,,,
,QZ,,"1,855","$335,465.43 ","$266,248.86 ",,,,,,
,OTHER,,"4,627","$438,256.32 ","$349,021.64 ",,,,,,
,TOTAL,,"14,171","$1,841,191.27 ","$1,461,434.01 ",,,,,,
00400,AA,,"104,218","$15,781,373.21 ","$12,422,946.95 ",,,,,,
,AD,,"2,351","$185,495.73 ","$144,871.88 ",,,,,,
,QK,,"115,795","$9,138,103.71 ","$7,177,722.21 ",,,,,,
,QZ,,"53,584","$7,660,744.97 ","$6,034,587.43 ",,,,,,
,OTHER,,"136,761","$10,484,856.28 ","$8,285,603.29 ",,,,,,
,TOTAL,,"412,709","$43,250,573.90 ","$34,065,731.76 ",,,,,,
00402,AA,,"6,385","$1,961,628.08 ","$1,534,261.11 ",,,,,,
,AD,,113,"$10,866.37 ","$8,196.23 ",,,,,,
,QK,,"6,959","$1,133,872.20 ","$881,766.29 ",,,,,,
,QZ,,"2,175","$638,528.06 ","$497,901.47 ",,,,,,
,OTHER,,"7,108","$1,124,906.13 ","$886,378.78 ",,,,,,
,TOTAL,,"22,740","$4,869,800.84 ","$3,808,503.88 ",,,,,,
00404,AA,,"10,938","$2,948,694.03 ","$2,338,068.36 ",,,,,,
,AD,,202,"$15,694.82 ","$12,465.11 ",,,,,,
,QK,,"9,564","$1,340,278.51 ","$1,061,928.53 ",,,,,,
,QZ,,"4,862","$1,272,892.68 ","$1,010,377.40 ",,,,,,
,OTHER,,"11,000","$1,513,602.21 ","$1,201,907.05 ",,,,,,
,TOTAL,,"36,566","$7,091,162.25 ","$5,624,746.45 ",,,,,,
00406,AA,,207,"$99,036.49 ","$78,960.25 ",,,,,,
,QK,,212,"$46,485.36 ","$36,780.49 ",,,,,,
