,,Medicare Part B Physician/Supplier BESS Data,,,
,,For Calendar Year 2008,,,
,,Code Ranges 20000 - 29999,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
20000,SG,MUSCULOSKELETAL,5,$201.33 ,$161.07 
,OTHER,,"4,628","$751,669.11 ","$578,695.65 "
,TOTAL,,"4,633","$751,870.44 ","$578,856.72 "
20005,SG,,20,"$9,146.50 ","$7,306.13 "
,OTHER,,"4,146","$929,097.20 ","$730,492.78 "
,TOTAL,,"4,166","$938,243.70 ","$737,798.91 "
2001F,OTHER,,320,$3.20 ,$3.03 
,TOTAL,,320,$3.20 ,$3.03 
2010F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
20100,AS,,3,$218.61 ,$174.89 
,80'S,,17,"$1,440.51 ","$1,152.39 "
,OTHER,,283,"$134,016.85 ","$106,052.73 "
,TOTAL,,303,"$135,675.97 ","$107,380.01 "
20101,OTHER,,125,"$16,652.03 ","$12,931.61 "
,TOTAL,,125,"$16,652.03 ","$12,931.61 "
20102,OTHER,,456,"$88,927.25 ","$70,294.10 "
,TOTAL,,456,"$88,927.25 ","$70,294.10 "
20103,AS,,16,$603.02 ,$482.41 
,SG,,15,"$4,338.60 ","$3,470.90 "
,80'S,,7,$356.33 ,$285.07 
,OTHER,,"1,661","$461,512.39 ","$362,951.75 "
,TOTAL,,"1,699","$466,810.34 ","$367,190.13 "
2014F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
20150,OTHER,,4,"$3,168.02 ","$2,534.42 "
,TOTAL,,4,"$3,168.02 ","$2,534.42 "
2019F,OTHER,,6,$0.06 ,$0.06 
,TOTAL,,6,$0.06 ,$0.06 
2020F,OTHER,,2,$0.02 ,$0.02 
,TOTAL,,2,$0.02 ,$0.02 
20200,SG,,8,"$3,430.64 ","$2,600.51 "
,OTHER,,"1,097","$113,754.32 ","$89,552.91 "
,TOTAL,,"1,105","$117,184.96 ","$92,153.42 "
20205,SG,,50,"$27,312.68 ","$21,557.07 "
,OTHER,,"3,475","$521,640.88 ","$408,892.72 "
,TOTAL,,"3,525","$548,953.56 ","$430,449.79 "
20206,SG,,5,$993.81 ,$795.04 
,OTHER,,"8,151","$672,851.47 ","$528,463.21 "
,TOTAL,,"8,156","$673,845.28 ","$529,258.25 "
2021F,OTHER,,24,$0.24 ,$0.21 
,TOTAL,,24,$0.24 ,$0.21 
2022F,OTHER,,53,$0.53 ,$0.50 
,TOTAL,,53,$0.53 ,$0.50 
20220,SG,,10,"$2,236.56 ","$1,789.24 "
,OTHER,,"7,240","$595,432.02 ","$470,753.57 "
,TOTAL,,"7,250","$597,668.58 ","$472,542.81 "
20225,SG,,16,"$4,106.43 ","$3,285.15 "
,80'S,,1,$8.83 ,$7.06 
,OTHER,,"15,362","$2,135,831.41 ","$1,695,334.90 "
,TOTAL,,"15,379","$2,139,946.67 ","$1,698,627.11 "
20240,SG,,23,"$12,176.73 ","$9,714.79 "
,OTHER,,"1,832","$336,218.21 ","$264,669.76 "
,TOTAL,,"1,855","$348,394.94 ","$274,384.55 "
20245,SG,,25,"$13,343.05 ","$10,674.42 "
,OTHER,,"2,258","$1,008,029.54 ","$801,655.09 "
,TOTAL,,"2,283","$1,021,372.59 ","$812,329.51 "
20250,OTHER,,273,"$64,428.48 ","$51,238.13 "
,TOTAL,,273,"$64,428.48 ","$51,238.13 "
20251,AS,,72,"$2,832.93 ","$2,264.20 "
,SG,,1,$280.05 ,$224.04 
,80'S,,46,"$1,850.00 ","$1,480.04 "
,OTHER,,693,"$178,533.42 ","$142,188.52 "
,TOTAL,,812,"$183,496.40 ","$146,156.80 "
2027F,OTHER,,1,$0.01 ,$0.01 
,TOTAL,,1,$0.01 ,$0.01 
20500,OTHER,,752,"$68,693.83 ","$53,479.87 "
,TOTAL,,752,"$68,693.83 ","$53,479.87 "
20501,OTHER,,"4,902","$183,597.16 ","$144,327.60 "
,TOTAL,,"4,902","$183,597.16 ","$144,327.60 "
20520,SG,,46,"$3,931.39 ","$3,094.41 "
,OTHER,,"2,473","$348,641.93 ","$264,341.96 "
,TOTAL,,"2,519","$352,573.32 ","$267,436.37 "
20525,SG,,71,"$40,099.18 ","$31,817.13 "
,OTHER,,"1,983","$536,223.41 ","$420,024.49 "
,TOTAL,,"2,054","$576,322.59 ","$451,841.62 "
20526,SG,,94,"$1,740.30 ","$1,392.24 "
,OTHER,,"51,977","$3,492,845.14 ","$2,639,680.41 "
,TOTAL,,"52,071","$3,494,585.44 ","$2,641,072.65 "
20550,SG,,400,"$5,805.07 ","$4,479.45 "
,80'S,,3,$15.30 ,$12.24 
,OTHER,,"775,347","$37,184,847.70 ","$27,756,996.27 "
,TOTAL,,"775,750","$37,190,668.07 ","$27,761,487.96 "
20551,SG,,137,"$1,764.24 ","$1,411.40 "
,OTHER,,"201,531","$7,095,061.65 ","$5,405,024.19 "
,TOTAL,,"201,668","$7,096,825.89 ","$5,406,435.59 "
20552,SG,,903,"$14,146.72 ","$11,005.90 "
,OTHER,,"294,696","$12,287,832.74 ","$9,255,759.52 "
,TOTAL,,"295,599","$12,301,979.46 ","$9,266,765.42 "
20553,SG,,"1,577","$24,254.11 ","$18,814.09 "
,OTHER,,"146,653","$6,784,488.71 ","$5,146,446.40 "
,TOTAL,,"148,230","$6,808,742.82 ","$5,165,260.49 "
20555,80'S,,1,$23.79 ,$19.03 
,OTHER,,223,"$41,086.19 ","$32,853.36 "
,TOTAL,,224,"$41,109.98 ","$32,872.39 "
20600,AS,,6,$30.12 ,$24.12 
,SG,,397,"$5,404.30 ","$4,241.29 "
,OTHER,,"375,112","$16,926,327.26 ","$12,622,552.92 "
,TOTAL,,"375,515","$16,931,761.68 ","$12,626,818.33 "
20605,AS,,2,$6.44 ,$5.15 
,SG,,354,"$6,703.88 ","$5,137.03 "
,OTHER,,"470,361","$23,308,192.80 ","$17,378,326.12 "
,TOTAL,,"470,717","$23,314,903.12 ","$17,383,468.30 "
20610,AS,,2,$12.43 ,$9.94 
,SG,,"3,502","$108,063.65 ","$82,747.89 "
,OTHER,,"5,240,034","$340,683,362.07 ","$257,388,241.30 "
,TOTAL,,"5,243,538","$340,791,438.15 ","$257,470,999.13 "
20612,SG,,22,$376.97 ,$299.62 
,OTHER,,"19,428","$970,981.82 ","$715,858.10 "
,TOTAL,,"19,450","$971,358.79 ","$716,157.72 "
20615,SG,,7,$560.34 ,$448.27 
,OTHER,,754,"$125,240.18 ","$96,393.03 "
,TOTAL,,761,"$125,800.52 ","$96,841.30 "
20650,AS,,1,$19.33 ,$15.46 
,SG,,300,"$102,817.41 ","$82,012.12 "
,OTHER,,"3,537","$347,731.12 ","$274,530.05 "
,TOTAL,,"3,838","$450,567.86 ","$356,557.63 "
20660,AS,,1,$15.99 ,$12.79 
,OTHER,,"3,282","$442,364.52 ","$349,861.21 "
,TOTAL,,"3,283","$442,380.51 ","$349,874.00 "
20661,80'S,,1,$55.62 ,$44.50 
,OTHER,,"1,115","$368,892.59 ","$292,976.00 "
,TOTAL,,"1,116","$368,948.21 ","$293,020.50 "
20662,OTHER,,42,"$15,369.46 ","$12,087.40 "
,TOTAL,,42,"$15,369.46 ","$12,087.40 "
20663,OTHER,,14,"$6,119.40 ","$4,895.54 "
,TOTAL,,14,"$6,119.40 ","$4,895.54 "
20664,OTHER,,31,"$17,224.69 ","$13,728.86 "
,TOTAL,,31,"$17,224.69 ","$13,728.86 "
20665,OTHER,,"1,150","$112,578.58 ","$89,503.98 "
,TOTAL,,"1,150","$112,578.58 ","$89,503.98 "
20670,SG,,274,"$90,804.41 ","$72,187.59 "
,OTHER,,"14,327","$3,976,691.67 ","$3,115,723.11 "
,TOTAL,,"14,601","$4,067,496.08 ","$3,187,910.70 "
20680,AS,,"1,806","$65,429.42 ","$51,853.74 "
,SG,,"2,780","$1,463,727.14 ","$1,153,640.69 "
,80'S,,468,"$19,170.59 ","$15,181.06 "
,OTHER,,"59,444","$18,987,951.71 ","$14,953,041.25 "
,TOTAL,,"64,498","$20,536,278.86 ","$16,173,716.74 "
20690,SG,,92,"$45,824.82 ","$36,494.66 "
,OTHER,,"6,003","$1,669,669.69 ","$1,324,793.60 "
,TOTAL,,"6,095","$1,715,494.51 ","$1,361,288.26 "
20692,AS,,173,"$16,447.14 ","$13,121.44 "
,SG,,11,"$5,188.52 ","$4,150.83 "
,80'S,,124,"$13,099.25 ","$10,401.32 "
,OTHER,,"2,137","$1,445,581.51 ","$1,148,030.97 "
,TOTAL,,"2,445","$1,480,316.42 ","$1,175,704.56 "
20693,AS,,3,$165.06 ,$132.06 
,SG,,5,"$3,030.62 ","$2,424.50 "
,OTHER,,807,"$257,308.65 ","$203,326.17 "
,TOTAL,,815,"$260,504.33 ","$205,882.73 "
20694,SG,,150,"$64,812.48 ","$51,062.62 "
,OTHER,,"5,532","$1,394,061.12 ","$1,101,101.34 "
,TOTAL,,"5,682","$1,458,873.60 ","$1,152,163.96 "
20805,OTHER,,14,"$4,116.15 ","$3,247.71 "
,TOTAL,,14,"$4,116.15 ","$3,247.71 "
20808,OTHER,,1,"$3,532.18 ","$2,825.74 "
,TOTAL,,1,"$3,532.18 ","$2,825.74 "
20816,OTHER,,7,"$14,174.01 ","$11,339.20 "
,TOTAL,,7,"$14,174.01 ","$11,339.20 "
20822,80'S,,1,$351.24 ,$280.99 
,OTHER,,10,"$15,383.33 ","$12,306.66 "
,TOTAL,,11,"$15,734.57 ","$12,587.65 "
20824,OTHER,,4,"$9,146.87 ","$7,317.50 "
,TOTAL,,4,"$9,146.87 ","$7,317.50 "
20827,AS,,1,$247.03 ,$197.62 
,80'S,,1,$321.88 ,$257.50 
,OTHER,,10,"$18,337.58 ","$14,670.06 "
,TOTAL,,12,"$18,906.49 ","$15,125.18 "
20838,80'S,,1,$116.54 ,$93.23 
,OTHER,,1,"$2,227.10 ","$1,781.68 "
,TOTAL,,2,"$2,343.64 ","$1,874.91 "
20900,AS,,375,"$12,333.83 ","$9,777.56 "
,SG,,82,"$31,618.91 ","$25,170.20 "
,80'S,,177,"$6,971.15 ","$5,521.82 "
,OTHER,,"2,717","$663,573.58 ","$524,325.00 "
,TOTAL,,"3,351","$714,497.47 ","$564,794.58 "
20902,AS,,802,"$32,642.90 ","$25,968.02 "
,SG,,49,"$21,649.70 ","$17,319.77 "
,80'S,,314,"$15,694.86 ","$12,378.69 "
,OTHER,,"3,849","$1,195,578.49 ","$945,060.55 "
,TOTAL,,"5,014","$1,265,565.95 ","$1,000,727.03 "
20910,AS,,2,$118.44 ,$94.76 
,SG,,1,$314.91 ,$251.93 
,OTHER,,82,"$20,624.26 ","$16,365.83 "
,TOTAL,,85,"$21,057.61 ","$16,712.52 "
20912,AS,,1,$28.49 ,$22.79 
,SG,,43,"$15,067.06 ","$11,991.29 "
,OTHER,,847,"$220,552.98 ","$175,755.24 "
,TOTAL,,891,"$235,648.53 ","$187,769.32 "
20920,SG,,1,$591.10 ,$472.88 
,OTHER,,92,"$18,116.17 ","$14,492.86 "
,TOTAL,,93,"$18,707.27 ","$14,965.74 "
20922,AS,,13,$444.24 ,$355.40 
,SG,,4,"$1,094.06 ",$875.24 
,80'S,,12,$445.04 ,$356.02 
,OTHER,,246,"$58,850.99 ","$46,970.58 "
,TOTAL,,275,"$60,834.33 ","$48,557.24 "
20924,AS,,97,"$3,236.30 ","$2,548.42 "
,SG,,74,"$29,991.58 ","$23,993.13 "
,80'S,,17,$706.26 ,$564.99 
,OTHER,,926,"$240,237.00 ","$189,867.12 "
,TOTAL,,"1,114","$274,171.14 ","$216,973.66 "
20926,AS,,11,$364.11 ,$291.30 
,SG,,164,"$60,662.29 ","$48,366.57 "
,80'S,,6,$277.21 ,$221.76 
,OTHER,,"13,082","$3,043,946.28 ","$2,414,740.76 "
,TOTAL,,"13,263","$3,105,249.89 ","$2,463,620.39 "
20930,AS,,2,$0.02 ,$0.02 
,80'S,,1,$0.01 ,$0.01 
,OTHER,,35,$332.61 ,$266.13 
,TOTAL,,38,$332.64 ,$266.16 
20931,AS,,5,$78.52 ,$62.82 
,80'S,,11,$190.71 ,$152.56 
,OTHER,,"22,603","$2,369,445.53 ","$1,871,236.98 "
,TOTAL,,"22,619","$2,369,714.76 ","$1,871,452.36 "
20936,AS,,3,$12.44 ,$9.96 
,80'S,,3,$0.03 ,$0.03 
,OTHER,,37,"$1,110.70 ",$888.62 
,TOTAL,,43,"$1,123.17 ",$898.61 
20937,AS,,"3,234","$69,013.79 ","$54,839.14 "
,80'S,,"1,412","$36,214.13 ","$28,747.94 "
,OTHER,,"11,640","$1,857,090.12 ","$1,469,652.21 "
,TOTAL,,"16,286","$1,962,318.04 ","$1,553,239.29 "
20938,AS,,634,"$14,665.21 ","$11,724.50 "
,80'S,,420,"$11,472.76 ","$9,121.68 "
,OTHER,,"2,912","$499,261.32 ","$395,869.57 "
,TOTAL,,"3,966","$525,399.29 ","$416,715.75 "
20950,AS,,3,$16.83 ,$13.46 
,OTHER,,435,"$43,055.76 ","$33,742.80 "
,TOTAL,,438,"$43,072.59 ","$33,756.26 "
20955,AS,,4,"$1,263.12 ",$892.26 
,80'S,,8,"$3,178.67 ","$2,200.57 "
,OTHER,,147,"$312,875.56 ","$245,639.14 "
,TOTAL,,159,"$317,317.35 ","$248,731.97 "
20956,AS,,2,$640.22 ,$512.18 
,80'S,,5,"$1,855.60 ","$1,484.47 "
,OTHER,,28,"$68,744.59 ","$54,995.71 "
,TOTAL,,35,"$71,240.41 ","$56,992.36 "
20957,OTHER,,4,"$7,366.10 ","$5,892.88 "
,TOTAL,,4,"$7,366.10 ","$5,892.88 "
20962,AS,,3,"$1,127.87 ",$902.30 
,80'S,,5,"$1,846.34 ","$1,477.07 "
,OTHER,,24,"$46,958.54 ","$37,522.30 "
,TOTAL,,32,"$49,932.75 ","$39,901.67 "
20969,AS,,4,"$1,420.61 ","$1,136.50 "
,80'S,,54,"$21,425.14 ","$17,140.18 "
,OTHER,,357,"$823,490.35 ","$658,792.34 "
,TOTAL,,415,"$846,336.10 ","$677,069.02 "
20970,AS,,3,"$1,093.64 ",$679.94 
,80'S,,2,$607.08 ,$485.66 
,OTHER,,16,"$35,220.53 ","$24,592.91 "
,TOTAL,,21,"$36,921.25 ","$25,758.51 "
20972,OTHER,,1,"$2,305.97 ","$1,844.78 "
,TOTAL,,1,"$2,305.97 ","$1,844.78 "
20974,OTHER,,"2,457","$136,675.71 ","$105,416.55 "
,TOTAL,,"2,457","$136,675.71 ","$105,416.55 "
20975,AS,,190,"$4,110.83 ","$3,258.66 "
,80'S,,111,"$2,762.25 ","$2,196.00 "
,OTHER,,"1,056","$170,419.25 ","$134,854.27 "
,TOTAL,,"1,357","$177,292.33 ","$140,308.93 "
20979,OTHER,,512,"$27,126.22 ","$20,570.73 "
,TOTAL,,512,"$27,126.22 ","$20,570.73 "
20982,OTHER,,286,"$414,187.25 ","$331,046.09 "
,TOTAL,,286,"$414,187.25 ","$331,046.09 "
20985,AS,,257,"$4,606.48 ","$3,685.07 "
,80'S,,59,"$1,280.27 ","$1,011.73 "
,OTHER,,"11,487","$1,571,448.24 ","$1,252,566.40 "
,TOTAL,,"11,803","$1,577,334.99 ","$1,257,263.20 "
20986,OTHER,,151,"$17,526.78 ","$14,018.36 "
,TOTAL,,151,"$17,526.78 ","$14,018.36 "
20987,OTHER,,488,"$58,171.65 ","$46,537.16 "
,TOTAL,,488,"$58,171.65 ","$46,537.16 "
20999,AS,,15,"$1,384.20 ","$1,107.37 "
,80'S,,1,$18.08 ,$14.46 
,OTHER,,326,"$75,019.46 ","$59,960.92 "
,TOTAL,,342,"$76,421.74 ","$61,082.75 "
21010,OTHER,,19,"$11,095.70 ","$8,821.75 "
,TOTAL,,19,"$11,095.70 ","$8,821.75 "
21015,SG,,122,"$56,098.87 ","$44,231.99 "
,OTHER,,"4,877","$1,379,842.64 ","$1,094,975.20 "
,TOTAL,,"4,999","$1,435,941.51 ","$1,139,207.19 "
21025,SG,,10,"$6,121.94 ","$4,842.74 "
,80'S,,1,$61.62 ,$49.30 
,OTHER,,"1,175","$777,479.85 ","$617,660.85 "
,TOTAL,,"1,186","$783,663.41 ","$622,552.89 "
21026,SG,,12,"$7,247.67 ","$5,798.12 "
,OTHER,,538,"$193,002.11 ","$151,980.80 "
,TOTAL,,550,"$200,249.78 ","$157,778.92 "
21029,AS,,1,$77.77 ,$62.22 
,SG,,6,"$4,821.57 ","$3,857.26 "
,80'S,,1,$82.90 ,$66.32 
,OTHER,,129,"$67,698.37 ","$53,681.31 "
,TOTAL,,137,"$72,680.61 ","$57,667.11 "
21030,SG,,15,"$3,173.36 ","$2,538.70 "
,OTHER,,"1,079","$381,550.15 ","$299,233.80 "
,TOTAL,,"1,094","$384,723.51 ","$301,772.50 "
21031,SG,,5,$948.66 ,$758.93 
,OTHER,,672,"$167,331.59 ","$129,439.77 "
,TOTAL,,677,"$168,280.25 ","$130,198.70 "
21032,SG,,2,$412.47 ,$329.97 
,OTHER,,257,"$71,524.69 ","$55,761.07 "
,TOTAL,,259,"$71,937.16 ","$56,091.04 "
21034,AS,,3,$365.83 ,$292.67 
,SG,,2,"$1,076.08 ",$860.86 
,80'S,,9,"$1,450.22 ","$1,160.18 "
,OTHER,,140,"$120,383.41 ","$96,242.61 "
,TOTAL,,154,"$123,275.54 ","$98,556.32 "
