,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2008,,
,,,Code Ranges A4000 - A8999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
A4206,TOTAL,MEDICAL SURGICAL,416,$4.16 ,$2.39 
A4208,TOTAL,,"7,808",$83.07 ,$75.60 
A4209,TOTAL,,"3,669",$36.69 ,$32.53 
A4211,TOTAL,,26,$0.26 ,$0.21 
A4212,TOTAL,,20,$43.94 ,$29.00 
A4213,TOTAL,,112,$1.12 ,$1.00 
A4215,TOTAL,,"13,291","$1,657.74 ","$1,323.21 "
A4216,TOTAL,,"1,413,639","$493,186.55 ","$386,813.35 "
A4217,TOTAL,,"429,127","$1,055,614.32 ","$827,051.82 "
A4218,TOTAL,,"9,077","$3,172.82 ","$2,500.60 "
A4220,TOTAL,,342,"$1,485.70 ","$1,114.88 "
A4221,TOTAL,,"1,110,598","$24,932,708.40 ","$19,579,386.69 "
A4222,TOTAL,,"636,313","$28,140,772.22 ","$22,339,827.85 "
A4223,TOTAL,,144,$15.30 ,$12.50 
A4233,TOTAL,,"199,465","$160,570.73 ","$121,986.55 "
A4234,TOTAL,,"9,029","$32,138.69 ","$24,257.83 "
A4235,TOTAL,,"752,124","$1,762,000.25 ","$1,341,802.45 "
A4236,TOTAL,,"7,207","$12,227.12 ","$9,079.90 "
A4244,TOTAL,,77,$233.09 ,$186.56 
A4245,TOTAL,,"27,284","$2,204.36 ","$1,718.67 "
A4246,TOTAL,,72,$660.64 ,$524.81 
A4247,TOTAL,,"2,399","$3,193.82 ","$2,429.45 "
A4250,TOTAL,,48,$48.00 ,$38.40 
A4252,TOTAL,,63,$0.63 ,$0.59 
A4253,TOTAL,,"32,622,834","$1,202,327,344.97 ","$896,219,203.51 "
A4255,TOTAL,,113,$412.81 ,$306.44 
A4256,TOTAL,,"3,006,823","$32,271,575.72 ","$24,379,490.85 "
A4257,TOTAL,,12,$127.95 ,$102.36 
A4258,TOTAL,,"1,870,994","$33,683,070.01 ","$25,710,567.20 "
A4259,TOTAL,,"10,789,094","$125,327,603.05 ","$95,486,978.37 "
A4263,TOTAL,,2,$0.02 ,$0.02 
A4265,TOTAL,,"17,867","$64,618.36 ","$49,370.42 "
A4280,TOTAL,,"8,216","$42,116.89 ","$31,850.23 "
A4290,TOTAL,,216,"$77,170.79 ","$61,633.36 "
A4300,TOTAL,,1,$200.00 ,$160.00 
A4301,TOTAL,,322,"$122,484.78 ","$97,512.19 "
A4305,TOTAL,,5,$32.80 ,$26.24 
A4310,TOTAL,,"68,359","$884,982.54 ","$674,299.28 "
A4311,TOTAL,,"19,707","$295,591.69 ","$223,212.37 "
A4312,TOTAL,,"3,486","$69,481.72 ","$52,137.70 "
A4313,TOTAL,,311,"$4,725.94 ","$3,644.01 "
A4314,TOTAL,,"152,885","$3,751,563.35 ","$2,813,748.49 "
A4315,TOTAL,,"14,171","$368,255.81 ","$272,917.98 "
A4316,TOTAL,,875,"$21,965.88 ","$16,293.52 "
A4320,TOTAL,,"90,301","$418,051.07 ","$322,983.50 "
A4321,TOTAL,,7,$52.82 ,$42.25 
A4322,TOTAL,,"100,442","$266,438.01 ","$205,958.82 "
A4326,TOTAL,,"282,772","$2,842,678.88 ","$2,248,176.72 "
A4327,TOTAL,,"25,303","$1,051,475.98 ","$838,400.12 "
A4328,TOTAL,,"12,860","$120,413.23 ","$92,721.49 "
A4331,TOTAL,,"1,537,007","$4,879,943.54 ","$3,892,979.82 "
A4332,TOTAL,,"4,738,895","$562,492.85 ","$441,555.42 "
A4333,TOTAL,,"46,115","$97,970.70 ","$74,345.92 "
A4334,TOTAL,,"42,132","$214,605.02 ","$161,398.66 "
A4335,TOTAL,,"1,876","$8,690.20 ","$6,805.20 "
A4338,TOTAL,,"102,144","$1,295,806.25 ","$965,738.39 "
A4340,TOTAL,,"12,900","$410,336.73 ","$313,589.38 "
A4344,TOTAL,,"26,610","$498,257.91 ","$374,140.64 "
A4346,TOTAL,,"1,979","$24,685.06 ","$19,076.33 "
A4349,TOTAL,,"3,983,977","$7,863,315.06 ","$5,857,768.10 "
A4351,TOTAL,,"14,223,430","$23,449,787.72 ","$18,209,635.17 "
A4352,TOTAL,,"1,777,296","$10,133,936.15 ","$7,957,069.23 "
A4353,TOTAL,,"7,720,291","$52,902,889.22 ","$41,650,696.55 "
A4354,TOTAL,,"6,071","$122,287.49 ","$93,382.73 "
A4355,TOTAL,,"7,632","$10,204.99 ","$7,775.76 "
A4356,TOTAL,,"4,269","$187,710.63 ","$138,396.44 "
A4357,TOTAL,,"593,304","$5,542,998.94 ","$4,179,048.39 "
A4358,TOTAL,,"360,801","$2,346,894.81 ","$1,747,118.47 "
A4361,TOTAL,,"5,212","$67,384.35 ","$50,937.62 "
A4362,TOTAL,,"271,732","$820,161.34 ","$621,725.60 "
A4363,TOTAL,,"13,543","$44,058.93 ","$33,246.42 "
A4364,TOTAL,,"140,297","$278,521.69 ","$210,450.11 "
A4365,TOTAL,,"158,095","$1,996,624.63 ","$1,533,333.24 "
A4366,TOTAL,,"88,546","$113,457.71 ","$85,617.55 "
A4367,TOTAL,,"75,797","$541,833.35 ","$413,627.32 "
A4368,TOTAL,,"138,983","$35,397.03 ","$27,145.71 "
A4369,TOTAL,,"85,007","$105,823.36 ","$80,842.27 "
A4371,TOTAL,,"108,250","$410,537.04 ","$315,411.11 "
A4372,TOTAL,,"9,812","$38,261.74 ","$29,074.26 "
A4373,TOTAL,,"477,039","$2,966,663.08 ","$2,280,549.90 "
A4375,TOTAL,,"82,499","$1,208,219.81 ","$947,790.14 "
A4376,TOTAL,,"6,990","$159,771.20 ","$123,109.25 "
A4377,TOTAL,,"32,328","$135,058.89 ","$100,360.14 "
A4378,TOTAL,,"12,629","$114,061.10 ","$88,025.12 "
A4379,TOTAL,,"39,807","$573,240.35 ","$453,795.83 "
A4380,TOTAL,,"3,281","$106,329.31 ","$84,340.22 "
A4381,TOTAL,,"10,072","$45,311.18 ","$33,708.81 "
A4382,TOTAL,,"3,027","$65,490.82 ","$51,862.38 "
A4383,TOTAL,,"2,313","$45,641.04 ","$34,207.56 "
A4384,TOTAL,,"12,365","$111,097.82 ","$87,231.32 "
A4385,TOTAL,,"2,637,084","$13,279,175.89 ","$10,313,351.06 "
A4387,TOTAL,,"2,135","$4,636.28 ","$3,641.78 "
A4388,TOTAL,,"731,604","$3,142,164.58 ","$2,361,179.73 "
A4389,TOTAL,,"236,819","$1,430,599.32 ","$1,088,325.79 "
A4390,TOTAL,,"963,822","$9,007,926.27 ","$6,902,297.94 "
A4391,TOTAL,,"84,744","$593,582.91 ","$451,195.50 "
A4392,TOTAL,,"80,647","$653,905.91 ","$505,830.70 "
A4393,TOTAL,,"287,212","$2,552,733.19 ","$1,934,884.33 "
A4394,TOTAL,,"2,241,543","$4,419,024.22 ","$3,405,532.19 "
A4395,TOTAL,,"410,359","$20,494.97 ","$15,708.08 "
A4396,TOTAL,,"5,720","$224,333.05 ","$170,593.68 "
A4397,TOTAL,,"100,517","$409,725.84 ","$309,862.66 "
A4398,TOTAL,,"5,923","$223,824.30 ","$175,104.88 "
A4399,TOTAL,,"4,784","$56,307.66 ","$42,809.12 "
A4402,TOTAL,,"674,207","$759,204.56 ","$553,880.04 "
A4404,TOTAL,,"73,715","$117,961.91 ","$88,190.25 "
A4405,TOTAL,,"87,564","$259,788.89 ","$195,161.21 "
A4406,TOTAL,,"1,042,878","$5,462,824.43 ","$4,139,334.05 "
A4407,TOTAL,,"2,625,385","$22,700,354.70 ","$17,552,256.72 "
A4408,TOTAL,,"74,163","$679,718.49 ","$525,423.31 "
A4409,TOTAL,,"2,307,649","$14,218,583.69 ","$10,917,112.01 "
A4410,TOTAL,,"195,117","$1,650,991.93 ","$1,274,410.67 "
A4411,TOTAL,,"80,430","$408,947.08 ","$318,292.28 "
A4412,TOTAL,,"26,616","$71,806.84 ","$55,028.69 "
A4413,TOTAL,,"114,131","$599,118.30 ","$459,494.68 "
A4414,TOTAL,,"5,384,360","$26,241,080.07 ","$19,889,190.50 "
A4415,TOTAL,,"363,919","$2,142,049.81 ","$1,633,687.85 "
A4416,TOTAL,,"2,110,873","$5,733,840.42 ","$4,410,391.19 "
A4417,TOTAL,,"65,045","$224,493.32 ","$171,555.14 "
A4418,TOTAL,,"309,125","$554,983.50 ","$415,406.70 "
A4419,TOTAL,,"4,758,148","$8,179,258.59 ","$6,337,935.94 "
A4420,TOTAL,,150,$360.93 ,$265.44 
A4421,TOTAL,,"3,050","$9,491.41 ","$7,340.28 "
A4422,TOTAL,,"366,196","$44,093.19 ","$33,544.46 "
A4423,TOTAL,,"351,154","$646,141.53 ","$494,219.47 "
A4424,TOTAL,,"418,806","$1,963,126.58 ","$1,495,950.04 "
A4425,TOTAL,,"1,802,692","$6,368,953.78 ","$4,936,252.54 "
A4426,TOTAL,,"181,396","$489,840.35 ","$371,658.59 "
A4427,TOTAL,,"233,802","$648,651.43 ","$498,831.68 "
A4428,TOTAL,,"215,874","$1,377,704.66 ","$1,056,652.02 "
A4429,TOTAL,,"10,882","$82,956.28 ","$62,895.76 "
A4430,TOTAL,,"407,096","$3,445,572.83 ","$2,637,478.82 "
A4431,TOTAL,,"36,591","$223,345.01 ","$170,231.85 "
A4432,TOTAL,,"1,863,160","$6,624,647.64 ","$5,086,527.88 "
A4433,TOTAL,,"72,465","$239,056.12 ","$182,606.95 "
A4434,TOTAL,,"30,424","$114,042.56 ","$87,295.02 "
A4450,TOTAL,,"10,993,780","$1,040,387.56 ","$807,548.35 "
A4452,TOTAL,,"11,230,894","$4,114,959.40 ","$3,242,693.01 "
A4455,TOTAL,,"78,001","$63,759.70 ","$48,518.62 "
A4461,TOTAL,,"1,185","$3,339.78 ","$2,656.05 "
A4463,TOTAL,,226,"$1,805.09 ","$1,304.29 "
A4481,TOTAL,,"431,014","$159,837.58 ","$116,939.24 "
A4483,TOTAL,,"14,838","$75,434.54 ","$56,888.35 "
A4550,TOTAL,,10,$271.49 ,$152.53 
A4556,TOTAL,,"4,356","$40,265.56 ","$30,826.28 "
A4557,TOTAL,,"24,275","$466,919.14 ","$344,977.08 "
A4558,TOTAL,,112,$730.01 ,$584.01 
A4559,TOTAL,,12,$0.92 ,$0.74 
A4561,TOTAL,,"11,675","$235,948.07 ","$175,358.14 "
A4562,TOTAL,,"33,099","$1,643,745.91 ","$1,244,917.38 "
A4565,TOTAL,,"29,816","$220,480.29 ","$165,837.35 "
A4590,TOTAL,,1,$30.00 ,$24.00 
A4595,TOTAL,,"566,380","$15,867,913.45 ","$11,753,431.09 "
A4601,TOTAL,,2,$20.97 ,$16.78 
A4604,TOTAL,,"9,049","$630,781.30 ","$496,162.08 "
A4605,TOTAL,,"115,881","$1,827,783.84 ","$1,452,561.04 "
A4606,TOTAL,,1,$1.00 ,$0.80 
A4608,TOTAL,,36,"$2,093.40 ","$1,674.72 "
A4611,TOTAL,,199,"$3,240.97 ","$2,592.77 "
A4612,TOTAL,,12,$810.71 ,$648.55 
A4613,TOTAL,,30,"$3,268.36 ","$2,605.11 "
A4614,TOTAL,,"1,043","$23,062.03 ","$17,494.84 "
A4615,TOTAL,,282,$190.24 ,$146.41 
A4616,TOTAL,,"1,449",$114.45 ,$85.31 
A4617,TOTAL,,18,$7.34 ,$5.85 
A4618,TOTAL,,"7,342","$66,726.35 ","$52,576.14 "
A4619,TOTAL,,89,$107.69 ,$86.24 
A4620,TOTAL,,54,$28.17 ,$20.88 
A4623,TOTAL,,"994,605","$5,998,508.91 ","$4,739,840.54 "
A4624,TOTAL,,"2,760,406","$6,700,463.68 ","$5,294,885.97 "
A4625,TOTAL,,"92,569","$547,078.53 ","$428,831.91 "
A4626,TOTAL,,"1,998","$4,757.73 ","$3,668.44 "
A4628,TOTAL,,"149,261","$543,467.11 ","$426,929.96 "
A4629,TOTAL,,"1,566,092","$7,124,122.85 ","$5,619,242.18 "
A4633,TOTAL,,658,"$26,940.16 ","$21,391.94 "
A4635,TOTAL,,289,$817.40 ,$553.63 
A4636,TOTAL,,253,$890.14 ,$649.04 
A4637,TOTAL,,"2,795","$5,424.98 ","$3,868.19 "
A4638,TOTAL,,22,$166.90 ,$133.52 
A4639,TOTAL,,7,$92.99 ,$74.39 
A4640,TOTAL,,491,"$24,228.43 ","$18,164.03 "
A4641,TOTAL,,"27,750","$796,790.54 ","$630,552.67 "
A4642,TOTAL,,123,"$22,292.00 ","$17,830.00 "
A4648,TOTAL,,"4,229","$582,063.20 ","$463,310.83 "
A4649,TOTAL,,"10,045","$34,057.48 ","$27,098.08 "
A4650,TOTAL,,4,$239.01 ,$191.20 
A4653,TOTAL,,97,"$4,509.60 ","$3,529.78 "
A4657,TOTAL,,"24,812","$15,286.07 ","$11,844.50 "
A4660,TOTAL,,26,"$1,244.13 ",$948.50 
A4663,TOTAL,,4,$155.87 ,$124.70 
A4670,TOTAL,,112,"$31,717.21 ","$24,567.95 "
A4671,TOTAL,,"37,400","$857,643.04 ","$674,401.75 "
A4672,TOTAL,,"2,755","$17,992.87 ","$13,240.95 "
A4673,TOTAL,,"1,716","$14,380.25 ","$11,397.81 "
A4674,TOTAL,,479,$726.80 ,$577.16 
A4680,TOTAL,,40,$22.80 ,$18.24 
A4690,TOTAL,,"14,218","$829,171.59 ","$662,145.23 "
A4706,TOTAL,,"7,610","$82,702.51 ","$65,192.27 "
A4707,TOTAL,,"11,082","$70,465.16 ","$56,342.99 "
A4709,TOTAL,,"9,567","$127,839.35 ","$101,362.03 "
A4719,TOTAL,,"5,387","$41,518.32 ","$29,036.54 "
A4720,TOTAL,,610,"$7,724.40 ","$6,179.50 "
A4721,TOTAL,,"19,005","$273,123.17 ","$214,933.28 "
A4722,TOTAL,,"148,008","$1,890,126.47 ","$1,483,650.13 "
A4723,TOTAL,,"51,029","$411,444.39 ","$321,285.60 "
A4725,TOTAL,,"249,003","$1,791,723.02 ","$1,384,523.70 "
A4726,TOTAL,,"495,569","$3,832,559.16 ","$3,038,860.23 "
A4730,TOTAL,,"5,597","$10,881.60 ","$8,693.59 "
A4737,TOTAL,,"1,305","$9,400.55 ","$7,142.27 "
A4750,TOTAL,,55,"$4,630.62 ","$3,704.51 "
A4755,TOTAL,,"5,596","$34,521.85 ","$27,496.69 "
A4765,TOTAL,,432,"$3,633.26 ","$2,906.60 "
A4773,TOTAL,,2,$122.16 ,$97.73 
A4860,TOTAL,,"28,966","$109,433.50 ","$84,083.05 "
A4911,TOTAL,,"23,389","$155,345.08 ","$117,916.22 "
A4913,TOTAL,,"17,502","$71,862.59 ","$57,266.59 "
A4927,TOTAL,,"2,732","$3,196.11 ","$2,544.32 "
A4928,TOTAL,,"8,998","$4,531.14 ","$3,376.39 "
A4930,TOTAL,,"3,106","$2,015.46 ","$1,501.89 "
A4931,TOTAL,,10,$146.94 ,$108.36 
A5051,TOTAL,,"354,350","$729,948.86 ","$552,656.01 "
A5052,TOTAL,,"115,297","$170,227.21 ","$125,637.58 "
A5053,TOTAL,,"82,970","$101,831.04 ","$77,205.47 "
A5054,TOTAL,,"2,834,622","$5,009,968.64 ","$3,843,141.64 "
A5055,TOTAL,,"396,556","$522,121.02 ","$385,098.45 "
A5061,TOTAL,,"2,495,298","$8,642,413.28 ","$6,421,342.91 "
A5062,TOTAL,,"53,854","$114,814.60 ","$84,641.90 "
A5063,TOTAL,,"6,050,427","$16,105,596.78 ","$12,246,975.83 "
A5071,TOTAL,,"60,599","$349,044.18 ","$263,296.76 "
A5072,TOTAL,,"12,999","$44,373.20 ","$34,208.35 "
A5073,TOTAL,,"420,913","$1,307,142.07 ","$989,319.40 "
A5081,TOTAL,,"1,485","$4,622.99 ","$3,376.30 "
A5082,TOTAL,,"2,266","$22,543.16 ","$16,995.19 "
A5083,TOTAL,,"77,187","$45,451.83 ","$35,998.21 "
A5093,TOTAL,,"156,553","$292,368.28 ","$224,354.92 "
A5102,TOTAL,,"8,481","$185,254.97 ","$143,597.36 "
A5105,TOTAL,,"3,723","$188,204.29 ","$146,839.14 "
A5112,TOTAL,,"44,775","$1,464,801.53 ","$1,142,783.90 "
A5113,TOTAL,,534,"$2,176.70 ","$1,684.66 "
A5114,TOTAL,,"7,029","$62,859.47 ","$48,065.37 "
A5120,TOTAL,,"11,048,030","$2,596,069.61 ","$1,997,459.21 "
A5121,TOTAL,,"13,991","$82,720.74 ","$64,150.12 "
A5122,TOTAL,,"35,566","$384,250.14 ","$299,207.23 "
A5126,TOTAL,,"93,926","$95,826.95 ","$71,529.71 "
A5131,TOTAL,,"57,620","$887,958.16 ","$694,080.88 "
A5200,TOTAL,,"6,763","$66,968.02 ","$52,519.29 "
A5500,TOTAL,,"1,691,189","$107,081,628.89 ","$82,517,250.29 "
A5501,TOTAL,,"33,502","$6,201,277.27 ","$4,867,743.01 "
A5503,TOTAL,,"17,726","$499,461.04 ","$396,685.67 "
A5504,TOTAL,,"5,325","$149,911.66 ","$119,016.58 "
A5505,TOTAL,,"3,007","$84,381.77 ","$66,948.55 "
A5506,TOTAL,,"1,585","$44,492.73 ","$35,254.20 "
A5507,TOTAL,,"3,628","$100,953.71 ","$79,743.77 "
A5512,TOTAL,,"2,806,802","$72,466,316.59 ","$57,587,850.30 "
A5513,TOTAL,,"1,839,132","$70,775,350.04 ","$56,301,108.18 "
A6010,TOTAL,,"95,032","$2,796,407.68 ","$2,234,529.80 "
