,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2008,,
,,,Code Ranges L5000 - L9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
L5000,TOTAL,PROSTHECTICS,"14,424","$6,806,243.84 ","$5,380,771.31 "
L5010,TOTAL,,429,"$502,331.14 ","$393,621.93 "
L5020,TOTAL,,624,"$1,202,073.68 ","$950,656.09 "
L5050,TOTAL,,712,"$1,563,087.25 ","$1,229,912.75 "
L5060,TOTAL,,9,"$25,108.47 ","$20,025.84 "
L5100,TOTAL,,431,"$961,301.42 ","$754,300.21 "
L5105,TOTAL,,81,"$265,444.70 ","$210,899.21 "
L5150,TOTAL,,22,"$80,127.98 ","$63,872.06 "
L5160,TOTAL,,11,"$41,115.69 ","$31,698.57 "
L5200,TOTAL,,284,"$888,085.31 ","$705,413.49 "
L5210,TOTAL,,166,"$398,334.90 ","$314,616.16 "
L5220,TOTAL,,109,"$292,269.22 ","$233,812.49 "
L5230,TOTAL,,113,"$425,942.23 ","$340,306.63 "
L5250,TOTAL,,12,"$63,713.75 ","$50,754.97 "
L5280,TOTAL,,40,"$180,271.80 ","$141,796.01 "
L5301,TOTAL,,"23,582","$54,023,914.86 ","$42,510,418.96 "
L5311,TOTAL,,220,"$689,004.90 ","$544,806.29 "
L5321,TOTAL,,"7,407","$24,024,281.01 ","$18,989,308.13 "
L5331,TOTAL,,126,"$580,325.08 ","$453,665.39 "
L5341,TOTAL,,52,"$238,893.26 ","$181,632.01 "
L5400,TOTAL,,213,"$190,399.62 ","$149,086.11 "
L5410,TOTAL,,96,"$32,541.04 ","$25,779.59 "
L5420,TOTAL,,11,"$16,796.02 ","$13,436.83 "
L5430,TOTAL,,53,"$22,278.09 ","$17,713.48 "
L5450,TOTAL,,425,"$165,373.83 ","$129,629.94 "
L5460,TOTAL,,74,"$35,373.18 ","$27,915.05 "
L5500,TOTAL,,73,"$52,964.07 ","$40,844.13 "
L5505,TOTAL,,117,"$208,223.67 ","$166,470.92 "
L5510,TOTAL,,54,"$79,371.50 ","$63,389.24 "
L5520,TOTAL,,33,"$45,204.82 ","$35,457.51 "
L5530,TOTAL,,"1,343","$2,282,729.02 ","$1,803,760.78 "
L5535,TOTAL,,72,"$120,768.87 ","$95,424.80 "
L5540,TOTAL,,"3,084","$5,521,798.59 ","$4,369,019.06 "
L5560,TOTAL,,8,"$17,937.34 ","$14,241.88 "
L5570,TOTAL,,17,"$33,346.39 ","$26,360.53 "
L5580,TOTAL,,538,"$1,239,877.94 ","$983,470.78 "
L5585,TOTAL,,97,"$251,797.21 ","$200,540.64 "
L5590,TOTAL,,"1,089","$2,572,512.33 ","$2,025,718.95 "
L5595,TOTAL,,4,"$15,848.04 ","$12,678.43 "
L5600,TOTAL,,7,"$29,596.14 ","$23,676.92 "
L5610,TOTAL,,48,"$97,137.53 ","$77,710.09 "
L5611,TOTAL,,784,"$1,136,597.64 ","$901,910.50 "
L5613,TOTAL,,215,"$477,172.26 ","$379,230.72 "
L5614,TOTAL,,18,"$26,214.97 ","$20,971.99 "
L5616,TOTAL,,130,"$160,762.11 ","$127,761.84 "
L5617,TOTAL,,180,"$85,382.04 ","$67,630.09 "
L5618,TOTAL,,928,"$245,997.23 ","$192,701.37 "
L5620,TOTAL,,"51,753","$13,607,065.97 ","$10,726,523.70 "
L5622,TOTAL,,362,"$129,488.12 ","$102,803.14 "
L5624,TOTAL,,"20,477","$7,185,482.31 ","$5,676,919.68 "
L5626,TOTAL,,255,"$117,052.65 ","$91,073.38 "
L5628,TOTAL,,68,"$31,350.22 ","$23,521.95 "
L5629,TOTAL,,"34,101","$10,413,657.19 ","$8,219,527.49 "
L5630,TOTAL,,112,"$48,761.12 ","$38,372.19 "
L5631,TOTAL,,"11,200","$4,723,070.82 ","$3,734,839.52 "
L5632,TOTAL,,844,"$179,018.68 ","$141,578.49 "
L5634,TOTAL,,166,"$47,417.72 ","$36,924.17 "
L5636,TOTAL,,250,"$57,086.68 ","$45,050.69 "
L5637,TOTAL,,"39,924","$11,983,093.17 ","$9,468,627.35 "
L5638,TOTAL,,81,"$36,271.72 ","$28,874.53 "
L5639,TOTAL,,10,"$9,454.48 ","$7,563.55 "
L5640,TOTAL,,46,"$27,631.12 ","$22,104.87 "
L5642,TOTAL,,8,"$3,907.76 ","$3,126.18 "
L5643,TOTAL,,135,"$194,039.47 ","$154,008.32 "
L5644,TOTAL,,4,"$2,076.76 ","$1,661.40 "
L5645,TOTAL,,"13,351","$9,585,536.41 ","$7,580,204.94 "
L5646,TOTAL,,261,"$129,204.07 ","$102,577.63 "
L5647,TOTAL,,"8,410","$6,179,770.72 ","$4,862,790.18 "
L5648,TOTAL,,74,"$44,480.12 ","$35,081.33 "
L5649,TOTAL,,"12,392","$23,500,261.82 ","$18,603,332.31 "
L5650,TOTAL,,"13,378","$6,241,040.86 ","$4,938,892.42 "
L5651,TOTAL,,"10,769","$12,144,722.38 ","$9,611,770.10 "
L5652,TOTAL,,"5,033","$2,008,684.84 ","$1,583,623.71 "
L5653,TOTAL,,259,"$137,503.76 ","$109,234.45 "
L5654,TOTAL,,214,"$67,953.62 ","$53,735.76 "
L5655,TOTAL,,"5,348","$1,456,452.49 ","$1,148,181.78 "
L5656,TOTAL,,61,"$22,732.91 ","$17,811.22 "
L5658,TOTAL,,311,"$140,446.82 ","$111,191.95 "
L5661,TOTAL,,111,"$63,004.77 ","$49,821.65 "
L5665,TOTAL,,"2,332","$1,139,378.47 ","$904,182.69 "
L5666,TOTAL,,"1,541","$107,478.78 ","$82,405.47 "
L5668,TOTAL,,"10,966","$1,098,228.40 ","$862,754.20 "
L5670,TOTAL,,"4,172","$1,047,373.06 ","$825,914.45 "
L5671,TOTAL,,"35,725","$17,354,300.95 ","$13,721,277.36 "
L5672,TOTAL,,124,"$33,485.78 ","$26,380.33 "
L5673,TOTAL,,"83,920","$52,842,666.46 ","$41,613,652.81 "
L5676,TOTAL,,506,"$171,014.96 ","$133,547.54 "
L5677,TOTAL,,164,"$78,473.21 ","$62,128.71 "
L5678,TOTAL,,493,"$18,263.07 ","$14,293.76 "
L5679,TOTAL,,"26,242","$13,812,852.83 ","$10,817,376.94 "
L5680,TOTAL,,474,"$134,680.87 ","$105,631.15 "
L5681,TOTAL,,"1,393","$1,565,951.41 ","$1,229,420.12 "
L5682,TOTAL,,202,"$114,721.22 ","$91,075.54 "
L5683,TOTAL,,"3,438","$3,866,606.23 ","$3,043,506.76 "
L5684,TOTAL,,737,"$32,851.91 ","$25,253.55 "
L5685,TOTAL,,"33,386","$3,656,326.94 ","$2,833,131.98 "
L5686,TOTAL,,245,"$12,103.59 ","$9,537.92 "
L5688,TOTAL,,700,"$40,596.69 ","$31,027.08 "
L5690,TOTAL,,318,"$30,615.89 ","$23,954.28 "
L5692,TOTAL,,345,"$45,894.52 ","$36,345.75 "
L5694,TOTAL,,825,"$141,628.27 ","$109,158.34 "
L5695,TOTAL,,"3,163","$506,288.87 ","$398,263.19 "
L5696,TOTAL,,442,"$76,291.39 ","$60,445.10 "
L5697,TOTAL,,422,"$31,010.70 ","$24,624.35 "
L5698,TOTAL,,709,"$74,965.00 ","$58,436.60 "
L5699,TOTAL,,43,"$7,083.32 ","$5,558.67 "
L5700,TOTAL,,"11,758","$30,521,943.62 ","$24,042,583.64 "
L5701,TOTAL,,"4,491","$14,213,079.19 ","$11,205,659.81 "
L5702,TOTAL,,45,"$184,557.53 ","$146,970.13 "
L5703,TOTAL,,170,"$339,567.28 ","$269,186.93 "
L5704,TOTAL,,"23,472","$11,567,225.13 ","$9,131,292.53 "
L5705,TOTAL,,"6,486","$5,688,316.15 ","$4,503,447.97 "
L5706,TOTAL,,126,"$109,667.12 ","$85,669.92 "
L5707,TOTAL,,140,"$161,167.58 ","$124,470.06 "
L5710,TOTAL,,29,"$9,064.04 ","$6,668.23 "
L5711,TOTAL,,30,"$14,529.08 ","$11,623.27 "
L5712,TOTAL,,91,"$38,627.92 ","$30,380.66 "
L5714,TOTAL,,6,"$2,391.14 ","$1,807.39 "
L5718,TOTAL,,7,"$5,513.30 ","$4,410.65 "
L5722,TOTAL,,1,$826.75 ,$661.40 
L5724,TOTAL,,12,"$18,298.25 ","$14,638.59 "
L5726,TOTAL,,2,"$3,984.94 ","$3,187.96 "
L5728,TOTAL,,27,"$59,069.15 ","$47,147.31 "
L5780,TOTAL,,5,"$6,396.89 ","$5,054.95 "
L5781,TOTAL,,"1,421","$4,880,865.29 ","$3,824,471.11 "
L5782,TOTAL,,336,"$1,209,572.78 ","$954,526.83 "
L5785,TOTAL,,"1,266","$609,426.57 ","$481,609.17 "
L5790,TOTAL,,415,"$291,178.86 ","$230,659.99 "
L5795,TOTAL,,22,"$21,873.09 ","$17,019.76 "
L5810,TOTAL,,466,"$215,847.75 ","$170,561.57 "
L5811,TOTAL,,783,"$549,297.54 ","$437,895.78 "
L5812,TOTAL,,"3,050","$1,578,315.51 ","$1,256,184.42 "
L5814,TOTAL,,994,"$3,145,310.18 ","$2,481,273.54 "
L5816,TOTAL,,169,"$136,603.29 ","$109,115.84 "
L5818,TOTAL,,173,"$154,657.04 ","$122,694.36 "
L5822,TOTAL,,441,"$667,084.70 ","$528,888.93 "
L5824,TOTAL,,50,"$72,196.19 ","$55,519.04 "
L5826,TOTAL,,98,"$263,081.60 ","$206,812.84 "
L5828,TOTAL,,"2,557","$6,690,441.68 ","$5,268,219.71 "
L5830,TOTAL,,135,"$242,301.79 ","$191,231.93 "
L5840,TOTAL,,497,"$1,522,793.68 ","$1,204,713.24 "
L5845,TOTAL,,"5,726","$8,805,857.29 ","$6,962,527.22 "
L5848,TOTAL,,"1,925","$1,774,250.77 ","$1,393,507.07 "
L5850,TOTAL,,"6,602","$767,564.16 ","$607,971.49 "
L5855,TOTAL,,119,"$35,847.33 ","$27,510.35 "
L5856,TOTAL,,"1,569","$32,237,694.29 ","$25,411,241.95 "
L5857,TOTAL,,87,"$642,996.89 ","$508,992.37 "
L5858,TOTAL,,617,"$9,801,281.81 ","$7,762,099.46 "
L5910,TOTAL,,"33,760","$11,418,115.08 ","$9,019,833.47 "
L5920,TOTAL,,"11,393","$5,680,567.32 ","$4,504,133.77 "
L5925,TOTAL,,"1,035","$366,352.85 ","$290,353.09 "
L5930,TOTAL,,"1,392","$4,034,548.89 ","$3,163,849.00 "
L5940,TOTAL,,"34,119","$16,199,639.01 ","$12,800,307.23 "
L5950,TOTAL,,"11,554","$8,417,602.01 ","$6,674,267.47 "
L5960,TOTAL,,161,"$149,198.41 ","$117,564.83 "
L5962,TOTAL,,"19,630","$10,895,476.36 ","$8,608,671.22 "
L5964,TOTAL,,"3,704","$3,207,907.41 ","$2,540,981.98 "
L5966,TOTAL,,77,"$88,285.33 ","$69,126.76 "
L5968,TOTAL,,293,"$892,872.58 ","$707,708.43 "
L5970,TOTAL,,655,"$125,204.62 ","$99,386.64 "
L5971,TOTAL,,152,"$29,153.98 ","$22,373.91 "
L5972,TOTAL,,"6,806","$2,332,421.22 ","$1,854,137.09 "
L5974,TOTAL,,"2,124","$488,827.37 ","$388,971.16 "
L5975,TOTAL,,"1,298","$522,293.67 ","$414,851.75 "
L5976,TOTAL,,"3,451","$1,822,709.02 ","$1,439,651.06 "
L5978,TOTAL,,868,"$245,485.96 ","$195,443.15 "
L5979,TOTAL,,"3,347","$7,080,912.66 ","$5,605,105.21 "
L5980,TOTAL,,"5,837","$20,059,844.42 ","$15,814,150.43 "
L5981,TOTAL,,"9,704","$26,236,820.84 ","$20,650,635.41 "
L5982,TOTAL,,133,"$73,861.67 ","$57,864.53 "
L5984,TOTAL,,"3,475","$1,888,660.38 ","$1,485,575.54 "
L5985,TOTAL,,862,"$208,786.24 ","$165,289.29 "
L5986,TOTAL,,"11,398","$6,792,968.02 ","$5,382,111.10 "
L5987,TOTAL,,"3,222","$19,830,095.23 ","$15,571,509.80 "
L5988,TOTAL,,"1,825","$3,116,715.95 ","$2,444,934.27 "
L5990,TOTAL,,192,"$300,335.23 ","$230,297.92 "
L5993,TOTAL,,181,"$106,979.93 ","$84,703.90 "
L5994,TOTAL,,17,"$16,848.57 ","$13,478.85 "
L5995,TOTAL,,324,"$202,353.67 ","$156,909.27 "
L5999,TOTAL,,"2,148","$1,077,483.25 ","$846,121.80 "
L6000,TOTAL,,22,"$19,760.80 ","$14,858.67 "
L6010,TOTAL,,8,"$9,249.24 ","$6,573.62 "
L6020,TOTAL,,13,"$14,319.82 ","$11,347.86 "
L6025,TOTAL,,14,"$34,792.17 ","$27,701.76 "
L6050,TOTAL,,27,"$51,030.59 ","$40,361.26 "
L6055,TOTAL,,7,"$18,115.17 ","$14,492.15 "
L6100,TOTAL,,182,"$347,211.78 ","$272,627.24 "
L6110,TOTAL,,79,"$160,685.04 ","$127,378.28 "
L6120,TOTAL,,23,"$53,317.12 ","$42,543.67 "
L6130,TOTAL,,1,"$2,547.76 ","$2,038.21 "
L6200,TOTAL,,16,"$38,846.60 ","$30,861.26 "
L6205,TOTAL,,1,"$3,812.38 ","$3,049.90 "
L6250,TOTAL,,89,"$225,246.92 ","$177,744.60 "
L6300,TOTAL,,5,"$18,074.94 ","$14,118.96 "
L6320,TOTAL,,4,"$7,291.33 ","$5,833.06 "
L6350,TOTAL,,4,"$3,594.28 ","$2,875.42 "
L6360,TOTAL,,3,"$8,498.48 ","$6,798.78 "
L6370,TOTAL,,12,"$24,606.13 ","$17,445.37 "
L6400,TOTAL,,23,"$52,361.45 ","$41,749.15 "
L6450,TOTAL,,13,"$2,993.48 ","$1,700.58 "
L6500,TOTAL,,29,"$81,996.85 ","$62,722.71 "
L6550,TOTAL,,7,"$26,049.00 ","$20,763.53 "
L6570,TOTAL,,5,"$19,588.45 ","$15,499.83 "
L6580,TOTAL,,4,"$6,179.78 ","$4,914.22 "
L6582,TOTAL,,2,"$2,647.38 ","$2,117.90 "
L6584,TOTAL,,4,"$8,021.59 ","$6,417.26 "
L6586,TOTAL,,1,"$1,881.65 ","$1,505.32 "
L6600,TOTAL,,25,"$4,619.54 ","$3,587.61 "
L6605,TOTAL,,44,"$7,927.09 ","$6,148.13 "
L6610,TOTAL,,37,"$6,324.52 ","$4,754.75 "
L6611,TOTAL,,27,"$9,550.03 ","$7,640.04 "
L6615,TOTAL,,215,"$36,278.26 ","$28,539.26 "
L6616,TOTAL,,157,"$9,718.72 ","$7,570.40 "
L6620,TOTAL,,84,"$24,405.17 ","$19,420.58 "
L6621,TOTAL,,69,"$136,353.00 ","$109,082.37 "
L6623,TOTAL,,14,"$8,779.68 ","$6,727.56 "
L6624,TOTAL,,22,"$71,129.79 ","$56,903.84 "
L6625,TOTAL,,11,"$5,978.44 ","$4,674.73 "
L6628,TOTAL,,56,"$24,843.00 ","$19,874.45 "
L6629,TOTAL,,209,"$29,125.24 ","$22,759.68 "
L6630,TOTAL,,130,"$27,205.71 ","$21,345.67 "
L6632,TOTAL,,141,"$8,524.08 ","$6,733.31 "
L6635,TOTAL,,71,"$12,097.01 ","$9,489.91 "
L6637,TOTAL,,23,"$8,177.18 ","$6,541.72 "
L6638,TOTAL,,16,"$34,456.40 ","$27,565.13 "
L6639,TOTAL,,28,"$34,034.82 ","$27,227.78 "
L6640,TOTAL,,6,"$1,437.75 ","$1,150.20 "
L6641,TOTAL,,223,"$35,344.40 ","$28,117.78 "
L6642,TOTAL,,2,$453.30 ,$362.64 
L6645,TOTAL,,9,"$3,024.78 ","$2,419.81 "
L6646,TOTAL,,11,"$29,614.88 ","$23,691.91 "
L6647,TOTAL,,4,"$1,777.82 ","$1,422.26 "
L6648,TOTAL,,3,"$8,283.21 ","$6,626.58 "
L6650,TOTAL,,7,"$2,314.40 ","$1,851.51 "
L6655,TOTAL,,231,"$16,989.46 ","$12,353.56 "
L6660,TOTAL,,614,"$54,286.60 ","$40,539.42 "
L6665,TOTAL,,313,"$13,544.87 ","$10,527.01 "
L6670,TOTAL,,123,"$5,699.35 ","$4,498.55 "
L6672,TOTAL,,148,"$24,917.26 ","$19,198.86 "
L6675,TOTAL,,416,"$44,795.56 ","$34,789.16 "
L6676,TOTAL,,146,"$17,064.06 ","$12,872.58 "
L6677,TOTAL,,19,"$4,791.11 ","$3,669.89 "
L6680,TOTAL,,737,"$174,373.55 ","$136,917.80 "
L6682,TOTAL,,311,"$78,551.86 ","$61,173.81 "
L6684,TOTAL,,75,"$23,712.37 ","$18,969.85 "
L6686,TOTAL,,123,"$75,335.52 ","$58,998.49 "
L6687,TOTAL,,251,"$128,103.57 ","$101,149.11 "
L6688,TOTAL,,110,"$57,974.05 ","$44,968.56 "
L6689,TOTAL,,20,"$12,733.81 ","$10,187.04 "
L6690,TOTAL,,13,"$8,542.29 ","$6,833.80 "
L6691,TOTAL,,73,"$22,859.42 ","$18,010.19 "
L6692,TOTAL,,115,"$60,572.29 ","$48,018.36 "
L6693,TOTAL,,71,"$173,352.84 ","$134,787.50 "
L6694,TOTAL,,253,"$159,351.28 ","$122,342.78 "
L6695,TOTAL,,33,"$17,245.10 ","$13,649.87 "
L6696,TOTAL,,36,"$40,349.08 ","$30,700.36 "
L6697,TOTAL,,15,"$16,843.95 ","$13,430.07 "
L6698,TOTAL,,116,"$55,824.16 ","$43,618.60 "
L6703,TOTAL,,87,"$26,936.92 ","$21,142.95 "
L6704,TOTAL,,76,"$42,818.65 ","$33,169.57 "
