,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2008,,
,,,Code Ranges S0000 -  S9999,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
S0020,TOTAL,NATIONAL CODES ESTABLISHED FOR PRIVATE PAYER USE,"5,387",$53.87 ,$52.06 
S0023,TOTAL,,80,$0.80 ,$0.78 
S0028,TOTAL,,4,$0.04 ,$0.04 
S0039,TOTAL,,1,$0.01 ,$0.01 
S0077,TOTAL,,33,$0.33 ,$0.29 
S0605,TOTAL,,49,$0.49 ,$0.40 
S0620,TOTAL,,5,$0.05 ,$0.03 
S0621,TOTAL,,4,$0.04 ,$0.03 
S2300,TOTAL,,22,$0.22 ,$0.21 
S8110,TOTAL,,2,$0.02 ,$0.02 
S9455,TOTAL,,3,$0.03 ,$0.03 
