,,,Medicare Part B Physician/Supplier BESS Data,,
,,,For Calendar Year 2008,,
,,,Code Ranges V5008 - V5299,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
V5011,TOTAL,CMS ASSIGNMENT OF HEARING SERVICES,2,$2.20 ,$1.76 
V5014,TOTAL,,7,$6.61 ,$5.28 
V5020,TOTAL,,1,$1.10 ,$0.88 
V5090,TOTAL,,1,$1.10 ,$0.88 
V5130,TOTAL,,1,$764.00 ,$611.20 
V5254,TOTAL,,2,$0.02 ,$0.01 
V5260,TOTAL,,1,$0.01 ,$0.01 
V5261,TOTAL,,3,$0.03 ,$0.03 
V5266,TOTAL,,3,$0.03 ,$0.03 
V5267,TOTAL,,1,$0.01 ,$0.01 
V5275,TOTAL,,2,$0.02 ,$0.02 
V5299,TOTAL,,1,$5.00 ,$4.00 
