CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 07) Performance Tracking Measurement (0000F - 9999F)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PERFORMANCE TRACKING/MEASUREMENT,0001F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0005F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0012F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0014F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0015F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0500F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0501F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0502F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0503F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0505F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0507F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0509F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0513F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0514F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0516F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0517F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0518F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0519F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0520F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0521F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0525F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0526F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0529F,TOTAL,0,$0.00,$0.00,
,,,,,,
,0540F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1000F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1001F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1002F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1003F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1004F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1005F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1006F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1007F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1008F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1015F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1018F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1019F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1022F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1026F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1030F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1034F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1035F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1036F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1038F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1039F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1040F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1050F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1055F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1060F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1061F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1065F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1066F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1070F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1071F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1080F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1090F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1091F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1100F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1101F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1110F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1111F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1116F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1118F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1119F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1121F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1123F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1124F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1125F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1126F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1127F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1128F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1130F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1134F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1135F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1136F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1137F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1157F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1159F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1160F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1170F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1180F,TOTAL,0,$0.00,$0.00,
,,,,,,
,1220F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2000F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2001F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2002F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2004F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2010F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2014F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2018F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2019F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2020F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2021F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2022F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2024F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2026F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2027F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2028F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2029F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2030F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2031F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2035F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2040F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2044F,TOTAL,0,$0.00,$0.00,
,,,,,,
,2050F,TOTAL,0,$0.00,$0.00,
,,,,,,
,3006F,TOTAL,0,$0.00,$0.00,
,,,,,,
,3011F,TOTAL,0,$0.00,$0.00,
,,,,,,
,3014F,TOTAL,0,$0.00,$0.00,
,,,,,,
