CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,
,,,,,
"Part B National Summary Data File
Code Range: 08) Emerging Technologies/Services/Procedures (0000T - 9999T)",,,,,
,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
EMERGING TECHNOLOGIES/SERVICES/PROCEDURES,0003T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0010T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0016T,TOTAL,94,"$58,740.81 ","$46,828.94 "
,,,,,
,0017T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0018T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0019T,TOTAL,67,"$13,768.11 ","$10,906.60 "
,,,,,
,0020T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0028T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0029T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0030T,TOTAL,49,"$1,680.12 ","$1,680.12 "
,,,,,
,0031T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0042T,TOTAL,"1,850","$520,506.76 ","$414,426.01 "
,,,,,
,0048T,TOTAL,53,"$68,997.76 ","$53,603.90 "
,,,,,
,0050T,TOTAL,N/A,"$4,625.68 ","$3,700.56 "
,,,,,
,0051T,TOTAL,N/A,"$3,816.40 ","$3,053.12 "
,,,,,
,0052T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0054T,TOTAL,41,"$10,931.00 ","$8,744.84 "
,,,,,
,0055T,TOTAL,285,"$107,711.81 ","$86,169.45 "
,,,,,
,0056T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0062T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0063T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0064T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0065T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0066T,TOTAL,21,$21.00 ,$14.40 
,,,,,
,0067T,TOTAL,"7,776","$2,738,478.20 ","$2,160,934.65 "
,,,,,
,0068T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0069T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0070T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0071T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0072T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0073T,TOTAL,"33,303","$15,771,285.05 ","$12,569,967.84 "
,,,,,
,0075T,TOTAL,117,"$95,671.43 ","$76,415.59 "
,,,,,
,0076T,TOTAL,N/A,"$1,807.62 ","$1,446.09 "
,,,,,
,0077T,TOTAL,N/A,$589.56 ,$471.64 
,,,,,
,0078T,TOTAL,47,"$55,458.85 ","$44,366.99 "
,,,,,
,0079T,TOTAL,95,"$31,674.41 ","$25,339.52 "
,,,,,
,0080T,TOTAL,39,"$8,904.19 ","$7,123.47 "
,,,,,
,0081T,TOTAL,84,"$5,604.31 ","$4,483.47 "
,,,,,
,0084T,TOTAL,273,"$194,510.15 ","$153,968.22 "
,,,,,
,0092T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0099T,TOTAL,N/A,"$4,276.50 ","$3,065.64 "
,,,,,
,0101T,TOTAL,16,"$17,728.35 ","$14,182.68 "
,,,,,
,0102T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0104T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0105T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0106T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0107T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0108T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0109T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0110T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0111T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0124T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0126T,TOTAL,44,$367.94 ,$286.36 
,,,,,
,0130T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0137T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0142T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0144T,TOTAL,"4,021","$836,354.06 ","$651,325.94 "
,,,,,
,0145T,TOTAL,"2,486","$733,894.42 ","$578,297.56 "
,,,,,
,0146T,TOTAL,"17,978","$7,514,143.58 ","$5,923,818.23 "
,,,,,
,0147T,TOTAL,"18,204","$9,155,139.93 ","$7,244,564.42 "
,,,,,
,0148T,TOTAL,"10,524","$6,151,254.03 ","$4,870,760.32 "
,,,,,
,0149T,TOTAL,"12,273","$5,790,662.79 ","$4,586,679.21 "
,,,,,
,0150T,TOTAL,46,"$9,392.68 ","$7,406.09 "
,,,,,
,0151T,TOTAL,"28,030","$4,468,914.49 ","$3,560,506.90 "
,,,,,
,0156T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0157T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0159T,TOTAL,"6,078","$66,994.71 ","$53,150.30 "
,,,,,
,0160T,TOTAL,N/A,$8.00 ,$6.40 
,,,,,
,0161T,TOTAL,N/A,$64.00 ,$51.20 
,,,,,
,0163T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0164T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0167T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0170T,TOTAL,21,"$10,687.44 ","$8,488.87 "
,,,,,
,0171T,TOTAL,"5,985","$4,842,401.80 ","$3,866,385.61 "
,,,,,
,0172T,TOTAL,"3,382","$1,116,345.11 ","$891,877.89 "
,,,,,
,0173T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0174T,TOTAL,639,"$1,559.16 ","$1,108.53 "
,,,,,
,0175T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0176T,TOTAL,152,"$193,795.93 ","$152,959.20 "
,,,,,
,0177T,TOTAL,918,"$1,212,589.33 ","$965,921.87 "
,,,,,
,0178T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0179T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0180T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0181T,TOTAL,13,"$1,094.97 ",$801.19 
,,,,,
,0182T,TOTAL,296,"$366,621.68 ","$293,297.67 "
,,,,,
,0183T,TOTAL,288,"$10,520.92 ","$8,372.04 "
,,,,,
,0184T,TOTAL,61,"$41,659.36 ","$33,194.28 "
,,,,,
,0186T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0187T,TOTAL,"2,358","$144,405.00 ","$114,957.84 "
,,,,,
,0188T,TOTAL,0,$0.00 ,$0.00 
,,,,,
,0190T,TOTAL,N/A,$0.01 ,$0.01 
,,,,,
,0191T,TOTAL,N/A,"$3,532.35 ","$2,825.88 "
,,,,,
