CPT only copyright 2009 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)",,,,,,
,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
EVALUATION AND MANAGEMENT,99201,TOTAL,"321,184","$10,888,914.94","$7,328,464.78",
,,,,,,
,99202,TOTAL,"2,352,029","$142,713,506.16","$95,808,541.38",
,,,,,,
,99203,TOTAL,"5,468,750","$488,561,441.03","$333,037,777.88",
,,,,,,
,99204,TOTAL,"3,426,349","$475,869,893.98","$330,952,276.07",
,,,,,,
,99205,TOTAL,"1,018,174","$179,365,044.92","$129,551,652.95",
,,,,,,
,99211,TOTAL,"8,696,328","$158,987,981.53","$113,448,334.98",
,,,,,,
,99212,TOTAL,"19,660,138","$701,586,279.24","$500,930,054.24",
,,,,,,
,99213,TOTAL,"101,611,480","$6,079,479,595.41","$4,239,941,925.79",
,,,,,,
,99214,TOTAL,"72,748,255","$6,571,504,723.07","$4,618,259,563.44",
,,,,,,
,99215,TOTAL,"8,828,773","$1,087,852,505.25","$769,821,975.07",
,,,,,,
,99217,TOTAL,"637,374","$41,637,143.55","$32,638,221.80",
,,,,,,
,99218,TOTAL,"95,829","$5,885,753.26","$4,537,460.45",
,,,,,,
,99219,TOTAL,"316,392","$32,317,040.45","$24,906,836.90",
,,,,,,
,99220,TOTAL,"462,908","$66,674,232.20","$51,649,954.95",
,,,,,,
,99221,TOTAL,"416,611","$36,794,923.41","$28,718,501.93",
,,,,,,
,99222,TOTAL,"2,854,069","$347,075,905.86","$270,307,649.84",
,,,,,,
,99223,TOTAL,"5,749,558","$1,034,664,089.24","$811,608,416.61",
,,,,,,
,99231,TOTAL,"13,789,738","$509,345,747.08","$403,502,381.18",
,,,,,,
,99232,TOTAL,"50,022,528","$3,355,611,710.34","$2,664,563,054.18",
,,,,,,
,99233,TOTAL,"20,842,888","$2,012,856,345.39","$1,599,367,708.05",
,,,,,,
,99234,TOTAL,"68,697","$8,676,681.72","$6,757,690.39",
,,,,,,
,99235,TOTAL,"145,235","$24,086,169.65","$18,702,640.28",
,,,,,,
,99236,TOTAL,"133,161","$27,529,920.28","$21,471,402.01",
,,,,,,
,99238,TOTAL,"5,172,098","$341,031,374.86","$270,079,511.49",
,,,,,,
,99239,TOTAL,"3,194,942","$307,247,227.48","$243,851,100.92",
,,,,,,
,99241,TOTAL,"283,653","$12,829,427.97","$9,339,115.95",
,,,,,,
,99242,TOTAL,"1,378,039","$119,890,219.37","$87,551,470.50",
,,,,,,
,99243,TOTAL,"4,973,953","$606,282,583.43","$446,931,633.82",
,,,,,,
,99244,TOTAL,"6,311,533","$1,147,442,804.68","$865,499,835.30",
,,,,,,
,99245,TOTAL,"2,235,269","$500,252,164.39","$382,730,436.03",
,,,,,,
,99251,TOTAL,"246,306","$11,926,688.98","$9,321,322.71",
,,,,,,
,99252,TOTAL,"896,109","$67,835,438.92","$53,120,704.13",
,,,,,,
,99253,TOTAL,"3,265,364","$376,467,071.20","$295,512,559.49",
,,,,,,
,99254,TOTAL,"5,859,337","$980,358,156.95","$771,882,431.20",
,,,,,,
,99255,TOTAL,"2,849,129","$584,979,268.85","$461,524,705.58",
,,,,,,
,99261,TOTAL,0,$0.00,$0.00,
,,,,,,
,99262,TOTAL,0,$0.00,$0.00,
,,,,,,
,99263,TOTAL,0,$0.00,$0.00,
,,,,,,
,99271,TOTAL,0,$0.00,$0.00,
,,,,,,
,99272,TOTAL,0,$0.00,$0.00,
,,,,,,
,99273,TOTAL,0,$0.00,$0.00,
,,,,,,
,99274,TOTAL,0,$0.00,$0.00,
,,,,,,
,99275,TOTAL,0,$0.00,$0.00,
,,,,,,
,99281,TOTAL,"84,643","$1,666,591.07","$1,217,813.66",
,,,,,,
,99282,TOTAL,"575,557","$22,019,267.89","$16,082,541.55",
,,,,,,
,99283,TOTAL,"3,937,467","$235,084,973.54","$173,914,929.41",
,,,,,,
,99284,TOTAL,"5,319,302","$599,970,663.69","$455,823,700.95",
,,,,,,
,99285,TOTAL,"8,567,330","$1,457,021,015.24","$1,136,001,665.22",
,,,,,,
,99288,TOTAL,0,$0.00,$0.00,
,,,,,,
,99289,TOTAL,0,$0.00,$0.00,
,,,,,,
,99290,TOTAL,0,$0.00,$0.00,
,,,,,,
,99291,TOTAL,"4,320,259","$929,201,404.70","$736,990,015.78",
,,,,,,
,99292,TOTAL,"387,902","$41,346,690.16","$32,933,966.76",
,,,,,,
,99293,TOTAL,0,$0.00,$0.00,
,,,,,,
,99294,TOTAL,0,$0.00,$0.00,
,,,,,,
,99295,TOTAL,0,$0.00,$0.00,
,,,,,,
,99298,TOTAL,0,$0.00,$0.00,
,,,,,,
,99299,TOTAL,0,$0.00,$0.00,
,,,,,,
,99300,TOTAL,0,$0.00,$0.00,
,,,,,,
,99301,TOTAL,0,$0.00,$0.00,
,,,,,,
,99302,TOTAL,0,$0.00,$0.00,
,,,,,,
,99303,TOTAL,0,$0.00,$0.00,
,,,,,,
,99304,TOTAL,"169,997","$13,457,839.40","$10,314,968.24",
,,,,,,
,99305,TOTAL,"608,061","$67,678,369.33","$52,608,861.76",
,,,,,,
,99306,TOTAL,"1,111,091","$160,040,495.45","$125,076,579.50",
,,,,,,
,99307,TOTAL,"3,822,997","$148,955,715.35","$108,593,988.01",
,,,,,,
,99308,TOTAL,"9,031,201","$536,026,428.62","$398,699,156.26",
,,,,,,
,99309,TOTAL,"6,051,338","$474,313,677.82","$355,779,083.65",
,,,,,,
,99310,TOTAL,"1,164,469","$133,860,820.72","$100,433,032.44",
,,,,,,
,99311,TOTAL,0,$0.00,$0.00,
,,,,,,
,99312,TOTAL,0,$0.00,$0.00,
,,,,,,
,99313,TOTAL,0,$0.00,$0.00,
,,,,,,
,99315,TOTAL,"279,433","$15,904,050.96","$12,439,750.61",
,,,,,,
,99316,TOTAL,"220,705","$16,247,974.25","$12,762,114.31",
,,,,,,
,99318,TOTAL,"141,614","$11,425,719.29","$8,009,568.14",
,,,,,,
,99321,TOTAL,0,$0.00,$0.00,
,,,,,,
,99322,TOTAL,0,$0.00,$0.00,
,,,,,,
,99323,TOTAL,0,$0.00,$0.00,
,,,,,,
,99324,TOTAL,"49,099","$2,630,705.65","$1,965,826.07",
,,,,,,
,99325,TOTAL,"41,026","$3,238,166.08","$2,417,137.39",
,,,,,,
,99326,TOTAL,"32,690","$4,132,840.22","$3,076,537.02",
,,,,,,
,99327,TOTAL,"29,248","$4,773,342.40","$3,530,592.90",
,,,,,,
,99328,TOTAL,"21,979","$4,233,243.06","$3,188,807.62",
,,,,,,
,99331,TOTAL,0,$0.00,$0.00,
,,,,,,
,99332,TOTAL,0,$0.00,$0.00,
,,,,,,
,99333,TOTAL,0,$0.00,$0.00,
,,,,,,
