Medicare Part B Physician/Supplier BESS Data ,,,,,
For Calendar Year 2000,,,,,
Code Ranges 00100 - 01999,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
00100,AA,ANESTHESIA,"12,890","$2,668,187","$2,094,907"
,AD,,210,"$15,269","$12,170"
,QK,,"12,117","$1,353,776","$1,061,818"
,QZ,,"4,267","$760,753","$599,118"
,OTHER,,"14,031","$1,473,062","$1,165,355"
,TOTAL,,"43,515","$6,271,046","$4,933,368"
00102,AA,,47,"$9,495","$7,492"
,QK,,25,"$3,045","$2,436"
,QZ,,9,"$1,817","$1,454"
,OTHER,,42,"$4,781","$3,745"
,TOTAL,,123,"$19,138","$15,126"
00103,AA,,"6,085","$1,088,350","$855,792"
,AD,,57,"$3,887","$3,027"
,QK,,"4,239","$391,935","$304,788"
,QZ,,"4,964","$775,173","$611,907"
,OTHER,,"5,090","$471,489","$371,017"
,TOTAL,,"20,435","$2,730,833","$2,146,532"
00104,AA,,"97,136","$9,049,521","$6,028,625"
,AD,,477,"$31,767","$22,306"
,QK,,"26,845","$1,289,694","$869,635"
,QZ,,"13,299","$1,189,152","$788,578"
,OTHER,,"55,526","$2,539,929","$1,661,289"
,TOTAL,,"193,283","$14,100,063","$9,370,434"
00120,AA,,"7,645","$1,557,891","$1,227,894"
,AD,,139,"$9,697","$7,689"
,QK,,"7,374","$828,268","$651,226"
,QZ,,"2,077","$380,681","$301,532"
,OTHER,,"8,065","$854,153","$675,079"
,TOTAL,,"25,300","$3,630,691","$2,863,420"
00124,AA,,136,"$15,684","$12,298"
,AD,,5,$335,$268
,QK,,142,"$8,762","$6,802"
,QZ,,47,"$5,756","$4,605"
,OTHER,,180,"$10,954","$8,470"
,TOTAL,,510,"$41,491","$32,443"
00126,AA,,"1,251","$147,474","$115,952"
,AD,,32,"$2,239","$1,791"
,QK,,"1,012","$60,839","$47,700"
,QZ,,374,"$43,048","$34,189"
,OTHER,,"1,310","$81,278","$64,351"
,TOTAL,,"3,979","$334,878","$263,983"
00140,AA,,"54,135","$9,153,183","$7,236,604"
,AD,,629,"$43,805","$34,964"
,QK,,"39,103","$3,581,107","$2,818,807"
,QZ,,"30,813","$4,498,133","$3,561,065"
,OTHER,,"45,200","$4,033,564","$3,193,780"
,TOTAL,,"169,880","$21,309,791","$16,845,220"
00142,AA,,"571,403","$71,383,297","$56,589,619"
,AD,,"9,289","$609,331","$480,386"
,QK,,"414,426","$25,942,477","$20,505,322"
,QZ,,"378,939","$41,061,840","$32,539,412"
,OTHER,,"530,098","$32,584,457","$25,849,188"
,TOTAL,,"1,904,155","$171,581,402","$135,963,926"
00144,AA,,"5,438","$1,216,053","$962,539"
,AD,,118,"$8,326","$6,636"
,QK,,"5,786","$660,643","$521,994"
,QZ,,"2,020","$397,050","$314,577"
,OTHER,,"6,073","$673,459","$535,633"
,TOTAL,,"19,435","$2,955,530","$2,341,378"
00145,AA,,"30,552","$6,985,797","$5,535,568"
,AD,,543,"$36,577","$29,001"
,QK,,"30,748","$3,643,549","$2,878,036"
,QZ,,"6,728","$1,353,766","$1,074,184"
,OTHER,,"33,614","$3,937,404","$3,133,341"
,TOTAL,,"102,185","$15,957,092","$12,650,129"
00147,AA,,569,"$91,667","$72,922"
,AD,,3,$213,$170
,QK,,227,"$16,827","$13,290"
,QZ,,222,"$31,359","$24,842"
,OTHER,,278,"$19,614","$15,685"
,TOTAL,,"1,299","$159,680","$126,909"
00148,AA,,154,"$19,747","$15,468"
,AD,,2,$132,$105
,QK,,144,"$9,123","$6,763"
,QZ,,51,"$6,302","$5,022"
,OTHER,,163,"$10,747","$8,304"
,TOTAL,,514,"$46,052","$35,662"
00160,AA,,"19,250","$3,722,290","$2,927,041"
,AD,,277,"$20,299","$16,129"
,QK,,"16,067","$1,626,988","$1,280,154"
,QZ,,"4,897","$884,230","$699,193"
,OTHER,,"18,383","$1,800,289","$1,427,743"
,TOTAL,,"58,874","$8,054,095","$6,350,260"
00162,AA,,"1,120","$283,281","$223,197"
,AD,,18,"$1,191",$952
,QK,,"1,155","$158,958","$125,260"
,QZ,,280,"$64,613","$50,969"
,OTHER,,"1,099","$143,610","$114,004"
,TOTAL,,"3,672","$651,653","$514,382"
00164,AA,,156,"$22,252","$17,506"
,AD,,1,$50,$40
,QK,,151,"$11,795","$9,092"
,QZ,,156,"$19,883","$15,784"
,OTHER,,278,"$21,305","$16,828"
,TOTAL,,742,"$75,284","$59,250"
00170,AA,,"10,863","$1,998,925","$1,554,868"
,AD,,139,"$9,965","$7,951"
,QK,,"8,928","$876,642","$674,499"
,QZ,,"2,482","$414,268","$322,613"
,OTHER,,"9,791","$906,586","$710,497"
,TOTAL,,"32,203","$4,206,386","$3,270,428"
00172,AA,,52,"$11,064","$8,713"
,AD,,1,$64,$51
,QK,,54,"$6,028","$4,608"
,QZ,,37,"$5,664","$4,531"
,OTHER,,87,"$8,021","$6,391"
,TOTAL,,231,"$30,841","$24,294"
00174,AA,,104,"$19,420","$15,536"
,AD,,3,$236,$189
,QK,,94,"$9,983","$7,942"
,QZ,,19,"$3,875","$3,055"
,OTHER,,116,"$11,812","$9,427"
