Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 50010 to 53899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
50010,80'S,URINARY,54,"$4,739","$3,742"
,OTHER,,236,"$138,353","$109,935"
,TOTAL,,290,"$143,091","$113,677"
50020,SG,,2,$861,$689
,80'S,,3,$291,$232
,OTHER,,327,"$217,128","$171,303"
,TOTAL,,332,"$218,280","$172,224"
50021,80'S,,1,$60,$48
,OTHER,,685,"$220,697","$174,646"
,TOTAL,,686,"$220,757","$174,695"
50040,SG,,2,$934,$747
,80'S,,2,$286,$229
,OTHER,,204,"$146,450","$116,157"
,TOTAL,,208,"$147,669","$117,133"
50045,80'S,,2,$294,$235
,OTHER,,18,"$11,475","$9,180"
,TOTAL,,20,"$11,769","$9,415"
50060,80'S,,32,"$5,074","$3,979"
,OTHER,,111,"$112,946","$89,551"
,TOTAL,,143,"$118,020","$93,531"
50065,80'S,,2,$386,$309
,OTHER,,6,"$6,625","$4,755"
,TOTAL,,8,"$7,011","$5,063"
50070,80'S,,2,$394,$315
,OTHER,,6,"$6,918","$5,459"
,TOTAL,,8,"$7,312","$5,775"
50075,80'S,,39,"$9,287","$7,263"
,OTHER,,79,"$110,191","$87,061"
,TOTAL,,118,"$119,478","$94,324"
50080,80'S,,3,$523,$418
,OTHER,,"1,163","$1,073,207","$849,050"
,TOTAL,,"1,166","$1,073,729","$849,468"
50081,80'S,,173,"$36,853","$29,306"
,OTHER,,"1,683","$2,196,522","$1,737,403"
,TOTAL,,"1,856","$2,233,375","$1,766,709"
50100,80'S,,5,$523,$418
,OTHER,,35,"$18,413","$14,295"
,TOTAL,,40,"$18,936","$14,713"
50120,80'S,,5,$670,$536
,OTHER,,45,"$39,330","$31,426"
,TOTAL,,50,"$40,000","$31,962"
50125,OTHER,,5,"$4,902","$3,922"
