CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2715      
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70010,TOTAL,59,4996.48,3766.39
RADIOLOGY,70010,26,47,3137.55,2412.73
RADIOLOGY,70010,TC,N/A,96.85,77.48
RADIOLOGY,70010,GLOBL,12,1762.08,1276.18
RADIOLOGY,70015,TOTAL,183,12324.03,9677.76
RADIOLOGY,70015,26,170,10395.21,8134.71
RADIOLOGY,70015,GLOBL,13,1928.82,1543.05
RADIOLOGY,70030,TOTAL,28216,378985.82,282902.36
RADIOLOGY,70030,26,20961,185339.52,139515.34
RADIOLOGY,70030,TC,1044,19080.63,14081.42
RADIOLOGY,70030,GLOBL,6211,174565.67,129305.6
RADIOLOGY,70100,TOTAL,28575,497577.37,392418.86
RADIOLOGY,70100,26,16652,151448.34,119221.99
RADIOLOGY,70100,TC,787,16495.55,12595.52
RADIOLOGY,70100,GLOBL,11136,329633.48,260601.35
RADIOLOGY,70110,TOTAL,13443,248740.3,181606.89
RADIOLOGY,70110,26,10152,130481.86,96193.43
RADIOLOGY,70110,TC,702,17410.05,12475.3
RADIOLOGY,70110,GLOBL,2589,100848.39,72938.16
RADIOLOGY,70120,TOTAL,612,15105.6,11325.28
RADIOLOGY,70120,26,201,1824.11,1424.58
RADIOLOGY,70120,TC,45,1045.07,756.92
RADIOLOGY,70120,GLOBL,366,12236.42,9143.78
RADIOLOGY,70130,TOTAL,707,24990.03,18884.35
RADIOLOGY,70130,26,341,5876.23,4462.67
RADIOLOGY,70130,TC,52,1802.99,1268.84
RADIOLOGY,70130,GLOBL,314,17310.81,13152.84
RADIOLOGY,70134,TOTAL,92,3135.11,2447.7
RADIOLOGY,70134,26,36,616.05,447.21
RADIOLOGY,70134,TC,N/A,100.32,71.29
RADIOLOGY,70134,GLOBL,56,2418.74,1929.2
RADIOLOGY,70140,TOTAL,10499,193795.31,146595.3
RADIOLOGY,70140,26,5369,51443.3,38701.55
RADIOLOGY,70140,TC,1227,24917.74,19072.54
RADIOLOGY,70140,GLOBL,3903,117434.27,88821.21
RADIOLOGY,70150,TOTAL,25428,551405.89,404564.35
RADIOLOGY,70150,26,16647,218588.3,161765.02
RADIOLOGY,70150,TC,2225,60317.32,44684.94
RADIOLOGY,70150,GLOBL,6556,272500.27,198114.39
RADIOLOGY,70160,TOTAL,26610,378993.14,277484.86
RADIOLOGY,70160,26,19794,174931.61,128611.02
RADIOLOGY,70160,TC,1510,33483.62,24272.08
RADIOLOGY,70160,GLOBL,5306,170577.91,124601.76
RADIOLOGY,70170,TOTAL,219,4724.31,3683.34
RADIOLOGY,70170,26,189,2925.56,2244.3
RADIOLOGY,70170,TC,N/A,81.96,65.56
RADIOLOGY,70170,GLOBL,30,1716.79,1373.48
RADIOLOGY,70190,TOTAL,595,14697.61,10965.61
RADIOLOGY,70190,26,231,2484.47,1916.08
RADIOLOGY,70190,TC,34,790.72,597.59
RADIOLOGY,70190,GLOBL,330,11422.42,8451.94
RADIOLOGY,70200,TOTAL,10587,262649.37,195012.15
RADIOLOGY,70200,26,6425,91937.47,68841.95
RADIOLOGY,70200,TC,772,21740.23,16196.06
RADIOLOGY,70200,GLOBL,3390,148971.67,109974.14
RADIOLOGY,70210,TOTAL,77754,1707007.15,1208602.12
RADIOLOGY,70210,26,20008,171259.01,123859.04
RADIOLOGY,70210,TC,9727,184744,127178.99
RADIOLOGY,70210,GLOBL,48019,1351004.14,957564.09
RADIOLOGY,70220,TOTAL,122446,3112823.63,2222089.14
RADIOLOGY,70220,26,50142,616808.57,448221.1
RADIOLOGY,70220,TC,13069,312195.44,218749.55
RADIOLOGY,70220,GLOBL,59235,2183819.62,1555118.49
RADIOLOGY,70240,TOTAL,198,3320.85,2530.62
RADIOLOGY,70240,26,123,1228.46,959.82
RADIOLOGY,70240,TC,N/A,34.54,27.64
RADIOLOGY,70240,GLOBL,75,2057.85,1543.16
RADIOLOGY,70250,TOTAL,52679,1016447.95,773153.73
RADIOLOGY,70250,26,34160,415051.72,316864.14
RADIOLOGY,70250,TC,4856,113732.86,87154.55
RADIOLOGY,70250,GLOBL,13663,487663.37,369135.04
RADIOLOGY,70260,TOTAL,23605,623409.65,462871.02
RADIOLOGY,70260,26,14189,238675.54,179284.99
RADIOLOGY,70260,TC,3162,92226.26,69808.2
RADIOLOGY,70260,GLOBL,6254,292507.85,213777.83
RADIOLOGY,70300,TOTAL,792,10480.55,7754.7
RADIOLOGY,70300,26,94,531.99,407.3
RADIOLOGY,70300,TC,N/A,93.79,75.01
RADIOLOGY,70300,GLOBL,698,9854.77,7272.39
RADIOLOGY,70310,TOTAL,19686,380721.02,304187.91
RADIOLOGY,70310,26,11170,97323.51,77799.25
RADIOLOGY,70310,TC,191,4752.29,3802.09
RADIOLOGY,70310,GLOBL,8325,278645.22,222586.57
RADIOLOGY,70320,TOTAL,791,22403.43,16584.88
RADIOLOGY,70320,26,311,3599.04,2682.58
RADIOLOGY,70320,TC,20,599.91,479.87
RADIOLOGY,70320,GLOBL,460,18204.48,13422.43
RADIOLOGY,70328,TOTAL,962,19033.49,13762.62
RADIOLOGY,70328,26,436,3984.97,2859.19
RADIOLOGY,70328,TC,89,1751.67,1274.83
RADIOLOGY,70328,GLOBL,437,13296.85,9628.6
RADIOLOGY,70330,TOTAL,5322,163094.29,119618.87
RADIOLOGY,70330,26,2326,29017.28,21027.07
RADIOLOGY,70330,TC,229,7411.21,5227.98
RADIOLOGY,70330,GLOBL,2767,126665.8,93363.82
RADIOLOGY,70332,TOTAL,93,5410.45,3734.71
RADIOLOGY,70332,26,43,1178.81,887.94
RADIOLOGY,70332,TC,N/A,102.95,82.36
RADIOLOGY,70332,GLOBL,50,4128.69,2764.41
RADIOLOGY,70336,TOTAL,3266,902856.63,699413.45
RADIOLOGY,70336,26,1416,107799.05,82495.56
RADIOLOGY,70336,TC,213,74753.49,58776.36
RADIOLOGY,70336,GLOBL,1637,720304.09,558141.53
RADIOLOGY,70350,TOTAL,906,17340.05,13192.63
RADIOLOGY,70350,26,64,592,444.96
RADIOLOGY,70350,TC,N/A,103.82,76.77
RADIOLOGY,70350,GLOBL,842,16644.23,12670.9
RADIOLOGY,70355,TOTAL,32178,554383.15,413123.49
RADIOLOGY,70355,26,12737,135344.15,102134.89
RADIOLOGY,70355,TC,190,2226.18,1720.37
RADIOLOGY,70355,GLOBL,19251,416812.82,309268.23
RADIOLOGY,70360,TOTAL,62017,717552.31,541704.26
RADIOLOGY,70360,26,51125,447978.42,337521.78
RADIOLOGY,70360,TC,1075,18512.88,13311.52
RADIOLOGY,70360,GLOBL,9817,251061.01,190870.96
RADIOLOGY,70370,TOTAL,17947,705686.41,562189.05
RADIOLOGY,70370,26,10446,167537.29,132324.03
RADIOLOGY,70370,TC,135,7330.65,5824.19
RADIOLOGY,70370,GLOBL,7366,530818.47,424040.83
RADIOLOGY,70371,TOTAL,30688,1739375.27,1371443.65
RADIOLOGY,70371,26,21177,892542.87,703175
RADIOLOGY,70371,TC,973,49653.67,39651.04
RADIOLOGY,70371,GLOBL,8538,797178.73,628617.61
RADIOLOGY,70373,TOTAL,9719,419921.7,331458.84
RADIOLOGY,70373,26,5522,114658.14,90007.68
RADIOLOGY,70373,TC,150,8251.03,6535.11
RADIOLOGY,70373,GLOBL,4047,297012.53,234916.05
RADIOLOGY,70380,TOTAL,188,6463,4845.84
RADIOLOGY,70380,26,12,112.9,83.26
RADIOLOGY,70380,TC,N/A,74.81,59.84
RADIOLOGY,70380,GLOBL,176,6275.29,4702.74
RADIOLOGY,70390,TOTAL,331,10923.65,8388.36
RADIOLOGY,70390,26,280,5427.37,4134.73
RADIOLOGY,70390,TC,N/A,654.54,462.16
RADIOLOGY,70390,GLOBL,51,4841.74,3791.47
RADIOLOGY,70450,TOTAL,5118580,253242091.54,193888984.38
RADIOLOGY,70450,26,4921584,215985932.37,165586976.02
RADIOLOGY,70450,TC,40787,5919401.92,4481482.96
RADIOLOGY,70450,GLOBL,156209,31336757.25,23820525.4
RADIOLOGY,70460,TOTAL,41051,3684172.84,2857279.41
RADIOLOGY,70460,26,33130,1918908.4,1488304.18
RADIOLOGY,70460,TC,3042,534280.25,416129.73
RADIOLOGY,70460,GLOBL,4879,1230984.19,952845.5
RADIOLOGY,70470,TOTAL,230930,26087022.1,20086156.17
RADIOLOGY,70470,26,180263,11646970.36,8937081.57
RADIOLOGY,70470,TC,13761,3136840.29,2428027.38
RADIOLOGY,70470,GLOBL,36906,11303211.45,8721047.22
RADIOLOGY,70480,TOTAL,54320,6760313.09,5231758.56
RADIOLOGY,70480,26,37683,2499628.74,1921324.91
RADIOLOGY,70480,TC,2857,557972.85,432843.25
RADIOLOGY,70480,GLOBL,13780,3702711.5,2877590.4
RADIOLOGY,70481,TOTAL,7630,1001254.32,777512.09
RADIOLOGY,70481,26,5986,427392.81,327589.62
RADIOLOGY,70481,TC,264,71644.94,55983.64
RADIOLOGY,70481,GLOBL,1380,502216.57,393938.83
RADIOLOGY,70482,TOTAL,6077,1183980.6,928377.4
RADIOLOGY,70482,26,3796,281212.23,216736.71
RADIOLOGY,70482,TC,355,111704.63,87601.32
RADIOLOGY,70482,GLOBL,1926,791063.74,624039.37
RADIOLOGY,70486,TOTAL,465226,51794069.42,39744859.56
RADIOLOGY,70486,26,331777,19279271.73,14704993.38
RADIOLOGY,70486,TC,22326,4220270.49,3245825.21
RADIOLOGY,70486,GLOBL,111123,28294527.2,21794040.97
RADIOLOGY,70487,TOTAL,14272,1332652.74,1016607.71
RADIOLOGY,70487,26,12631,848046.72,642582.8
RADIOLOGY,70487,TC,329,75963.29,59000.11
RADIOLOGY,70487,GLOBL,1312,408642.73,315024.8
RADIOLOGY,70488,TOTAL,4515,733214.83,566804.81
RADIOLOGY,70488,26,3127,226375.02,172963.8
RADIOLOGY,70488,TC,240,69367.96,53776.82
RADIOLOGY,70488,GLOBL,1148,437471.85,340064.19
RADIOLOGY,70490,TOTAL,69903,7596941.07,5894679.79
RADIOLOGY,70490,26,53382,3538230.94,2740155.61
RADIOLOGY,70490,TC,3414,609772.71,472112.47
RADIOLOGY,70490,GLOBL,13107,3448937.42,2682411.71
RADIOLOGY,70491,TOTAL,227015,27025110.14,20881517.02
