CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)",,,,,
"This data table begins with column headers on row 5 and data cells are A-6 through F-2850    
",,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PATH/LAB,80047,TOTAL,95839,1083582.35,1076423.17
PATH/LAB,80047,GLOBL,95839,1083582.35,1076423.17
PATH/LAB,80048,TOTAL,9343769,94207199.7,93958136.42
PATH/LAB,80048,26,N/A,0,0
PATH/LAB,80048,GLOBL,9343769,94207199.7,93958136.42
PATH/LAB,80050,TOTAL,N/A,1.01,1.01
PATH/LAB,80050,GLOBL,N/A,1.01,1.01
PATH/LAB,80051,TOTAL,718777,3421974.75,3414428.09
PATH/LAB,80051,26,N/A,0,0
PATH/LAB,80051,GLOBL,718777,3421974.75,3414428.09
PATH/LAB,80053,TOTAL,27204225,319592436.97,318770151.59
PATH/LAB,80053,26,N/A,0,0
PATH/LAB,80053,TC,N/A,0,0
PATH/LAB,80053,GLOBL,27204225,319592436.97,318770151.59
PATH/LAB,80055,TOTAL,N/A,0,0
PATH/LAB,80055,26,N/A,0,0
PATH/LAB,80055,GLOBL,N/A,0,0
PATH/LAB,80061,TOTAL,20944793.1,310222050.39,309441478.99
PATH/LAB,80061,26,N/A,0,0
PATH/LAB,80061,TC,N/A,0,0
PATH/LAB,80061,GLOBL,20944793.1,310222050.39,309441478.99
PATH/LAB,80069,TOTAL,909233,9917442.39,9881712.6
PATH/LAB,80069,26,N/A,0,0
PATH/LAB,80069,GLOBL,909233,9917442.39,9881712.6
PATH/LAB,80074,TOTAL,126519,8521367.34,8510425.5
PATH/LAB,80074,26,N/A,0,0
PATH/LAB,80074,GLOBL,126519,8521367.34,8510425.5
PATH/LAB,80076,TOTAL,3055252,24576794.97,24485842.87
PATH/LAB,80076,26,N/A,0,0
PATH/LAB,80076,GLOBL,3055252,24576794.97,24485842.87
PATH/LAB,80100,TOTAL,146151,2610717.05,2607890.94
PATH/LAB,80100,26,N/A,0,0
PATH/LAB,80100,GLOBL,146151,2610717.05,2607890.94
PATH/LAB,80101,TOTAL,2253686,43229270.14,42904109.3
PATH/LAB,80101,26,N/A,0,0
PATH/LAB,80101,GLOBL,2253686,43229270.14,42904109.3
PATH/LAB,80102,TOTAL,781418,14812299.6,14764729.58
PATH/LAB,80102,GLOBL,781418,14812299.6,14764729.58
PATH/LAB,80103,TOTAL,N/A,0,0
PATH/LAB,80103,GLOBL,N/A,0,0
PATH/LAB,80150,TOTAL,4621,97327.24,97230.54
PATH/LAB,80150,GLOBL,4621,97327.24,97230.54
PATH/LAB,80152,TOTAL,5677,144125.1,143751.08
PATH/LAB,80152,GLOBL,5677,144125.1,143751.08
PATH/LAB,80154,TOTAL,577951,15226247.31,15177470.54
PATH/LAB,80154,GLOBL,577951,15226247.31,15177470.54
PATH/LAB,80156,TOTAL,123873,2558002.69,2555026.61
PATH/LAB,80156,26,N/A,0,0
PATH/LAB,80156,GLOBL,123873,2558002.69,2555026.61
PATH/LAB,80157,TOTAL,1601,30208.23,30160.3
PATH/LAB,80157,GLOBL,1601,30208.23,30160.3
PATH/LAB,80158,TOTAL,50101,1255646.91,1245000.18
PATH/LAB,80158,GLOBL,50101,1255646.91,1245000.18
PATH/LAB,80160,TOTAL,4075,99763.18,99608.02
PATH/LAB,80160,GLOBL,4075,99763.18,99608.02
PATH/LAB,80162,TOTAL,521507,9917788.55,9909581.8
PATH/LAB,80162,26,N/A,0,0
PATH/LAB,80162,GLOBL,521507,9917788.55,9909581.8
PATH/LAB,80164,TOTAL,418424,7750985.1,7746002.48
PATH/LAB,80164,26,N/A,0,0
PATH/LAB,80164,GLOBL,418424,7750985.1,7746002.48
PATH/LAB,80166,TOTAL,3581,79052.35,78898.15
PATH/LAB,80166,GLOBL,3581,79052.35,78898.15
PATH/LAB,80168,TOTAL,381,8216.33,8216.33
PATH/LAB,80168,GLOBL,381,8216.33,8216.33
PATH/LAB,80170,TOTAL,13929,315441.11,315212.76
PATH/LAB,80170,26,N/A,0,0
PATH/LAB,80170,GLOBL,13929,315441.11,315212.76
PATH/LAB,80172,TOTAL,19,436.61,436.61
PATH/LAB,80172,GLOBL,19,436.61,436.61
PATH/LAB,80173,TOTAL,1130,22915.3,22915.3
PATH/LAB,80173,GLOBL,1130,22915.3,22915.3
PATH/LAB,80174,TOTAL,4192,102709.61,102532.62
PATH/LAB,80174,GLOBL,4192,102709.61,102532.62
PATH/LAB,80176,TOTAL,506,9880.27,9834.66
PATH/LAB,80176,GLOBL,506,9880.27,9834.66
PATH/LAB,80178,TOTAL,126633,1197397.91,1195811
PATH/LAB,80178,26,N/A,0,0
PATH/LAB,80178,GLOBL,126633,1197397.91,1195811
PATH/LAB,80182,TOTAL,6920,129613.75,129457.84
PATH/LAB,80182,GLOBL,6920,129613.75,129457.84
PATH/LAB,80184,TOTAL,70904,1145127.36,1144543.33
PATH/LAB,80184,GLOBL,70904,1145127.36,1144543.33
PATH/LAB,80185,TOTAL,411410,7809375.59,7803576.38
PATH/LAB,80185,26,N/A,0,0
PATH/LAB,80185,GLOBL,411410,7809375.59,7803576.38
PATH/LAB,80186,TOTAL,21404,420201.42,419952.35
PATH/LAB,80186,26,N/A,0,0
PATH/LAB,80186,GLOBL,21404,420201.42,419952.35
PATH/LAB,80188,TOTAL,9467,216230.48,216103.07
PATH/LAB,80188,26,N/A,0,0
PATH/LAB,80188,GLOBL,9467,216230.48,216103.07
PATH/LAB,80190,TOTAL,N/A,23.84,23.84
PATH/LAB,80190,GLOBL,N/A,23.84,23.84
PATH/LAB,80192,TOTAL,27,637.39,637.39
PATH/LAB,80192,GLOBL,27,637.39,637.39
PATH/LAB,80194,TOTAL,643,13407.01,13407.01
PATH/LAB,80194,GLOBL,643,13407.01,13407.01
PATH/LAB,80195,TOTAL,24409,476626.47,472082.6
PATH/LAB,80195,GLOBL,24409,476626.47,472082.6
PATH/LAB,80196,TOTAL,1561,15844.88,15813.35
PATH/LAB,80196,26,N/A,0,0
PATH/LAB,80196,GLOBL,1561,15844.88,15813.35
PATH/LAB,80197,TOTAL,241859,4650503.92,4594797.15
PATH/LAB,80197,GLOBL,241859,4650503.92,4594797.15
PATH/LAB,80198,TOTAL,37828,751075.78,749397.54
PATH/LAB,80198,26,N/A,0,0
PATH/LAB,80198,GLOBL,37828,751075.78,749397.54
PATH/LAB,80200,TOTAL,5143,115664.94,115575.07
PATH/LAB,80200,26,N/A,0,0
PATH/LAB,80200,GLOBL,5143,115664.94,115575.07
PATH/LAB,80201,TOTAL,8098,137974.99,137708.11
PATH/LAB,80201,GLOBL,8098,137974.99,137708.11
PATH/LAB,80202,TOTAL,129064,2364028.51,2361279.85
PATH/LAB,80202,26,N/A,0,0
PATH/LAB,80202,GLOBL,129064,2364028.51,2361279.85
PATH/LAB,80299,TOTAL,342422,6654522.88,6632885.73
PATH/LAB,80299,GLOBL,342422,6654522.88,6632885.73
PATH/LAB,80400,TOTAL,1580,73191.97,71994.11
PATH/LAB,80400,GLOBL,1580,73191.97,71994.11
PATH/LAB,80402,TOTAL,N/A,834.74,834.74
PATH/LAB,80402,GLOBL,N/A,834.74,834.74
PATH/LAB,80406,TOTAL,N/A,0,0
