CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1165,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,13254721,264699057.79,264427773.44
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,13254721,264699057.79,264427773.44
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,1155505.3,23435658.96,23393089.71
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,1155505.3,23435658.96,23393089.71
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,22903,474720.45,349183.66
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,22903,474720.45,349183.66
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,424,3951.68,3951.68
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,424,3951.68,3951.68
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1068524.6,37637010.42,30057585.91
PROCEDURES/PROFESSIONAL SERVICES,G0101,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1068524.6,37637010.42,30057585.91
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,20684,374704.19,199706.74
PROCEDURES/PROFESSIONAL SERVICES,G0102,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,20684,374704.19,199706.74
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1505705,39582351.17,39511805.36
PROCEDURES/PROFESSIONAL SERVICES,G0103,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1505705,39582351.17,39511805.36
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,2857,233295.94,184610.92
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,2857,233295.94,184610.92
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,303509,77471856.05,60118162.02
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,3066,187180.73,149387.34
PROCEDURES/PROFESSIONAL SERVICES,G0105,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,300443,77284675.32,59968774.68
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,188,10606.72,8485.37
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,31,1489.45,1191.58
PROCEDURES/PROFESSIONAL SERVICES,G0106,TC,N/A,269.26,215.41
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,157,8848.01,7078.38
PROCEDURES/PROFESSIONAL SERVICES,G0107,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0107,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,102700.5,2419178.83,1780907.08
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,102700.5,2419178.83,1780907.08
PROCEDURES/PROFESSIONAL SERVICES,G0109,TOTAL,136483,1766933.04,1337825.14
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,136483,1766933.04,1337825.14
PROCEDURES/PROFESSIONAL SERVICES,G0117,TOTAL,405,18590.56,11863.86
PROCEDURES/PROFESSIONAL SERVICES,G0117,GLOBL,405,18590.56,11863.86
PROCEDURES/PROFESSIONAL SERVICES,G0118,TOTAL,N/A,100.49,80.4
PROCEDURES/PROFESSIONAL SERVICES,G0118,GLOBL,N/A,100.49,80.4
PROCEDURES/PROFESSIONAL SERVICES,G0120,TOTAL,90,7410,5927.92
PROCEDURES/PROFESSIONAL SERVICES,G0120,26,54,2688.45,2150.7
PROCEDURES/PROFESSIONAL SERVICES,G0120,TC,N/A,82.61,66.09
PROCEDURES/PROFESSIONAL SERVICES,G0120,GLOBL,36,4638.94,3711.13
PROCEDURES/PROFESSIONAL SERVICES,G0121,TOTAL,258526,65150953.07,50625237.19
PROCEDURES/PROFESSIONAL SERVICES,G0121,53,4122,279243.64,222934.26
PROCEDURES/PROFESSIONAL SERVICES,G0121,GLOBL,254404,64871709.43,50402302.93
PROCEDURES/PROFESSIONAL SERVICES,G0122,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0122,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0122,TC,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0122,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0123,TOTAL,264942,7401480.15,7396782.34
PROCEDURES/PROFESSIONAL SERVICES,G0123,GLOBL,264942,7401480.15,7396782.34
PROCEDURES/PROFESSIONAL SERVICES,G0124,TOTAL,62942,1744976.2,1347439.23
PROCEDURES/PROFESSIONAL SERVICES,G0124,GLOBL,62942,1744976.2,1347439.23
PROCEDURES/PROFESSIONAL SERVICES,G0127,TOTAL,746346,11051208.86,8146505.03
PROCEDURES/PROFESSIONAL SERVICES,G0127,GLOBL,746346,11051208.86,8146505.03
PROCEDURES/PROFESSIONAL SERVICES,G0128,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0128,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0129,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0129,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0130,TOTAL,247,7249.07,4538.05
PROCEDURES/PROFESSIONAL SERVICES,G0130,26,16,169.43,126.82
PROCEDURES/PROFESSIONAL SERVICES,G0130,TC,N/A,77.7,62.16
PROCEDURES/PROFESSIONAL SERVICES,G0130,GLOBL,231,7001.94,4349.07
PROCEDURES/PROFESSIONAL SERVICES,G0141,TOTAL,4830,135257.47,105090.69
PROCEDURES/PROFESSIONAL SERVICES,G0141,GLOBL,4830,135257.47,105090.69
PROCEDURES/PROFESSIONAL SERVICES,G0143,TOTAL,7423,213501.73,213215.59
PROCEDURES/PROFESSIONAL SERVICES,G0143,GLOBL,7423,213501.73,213215.59
PROCEDURES/PROFESSIONAL SERVICES,G0144,TOTAL,7948,239237.45,239231.85
PROCEDURES/PROFESSIONAL SERVICES,G0144,GLOBL,7948,239237.45,239231.85
PROCEDURES/PROFESSIONAL SERVICES,G0145,TOTAL,666796,24027628.91,24012677.62
PROCEDURES/PROFESSIONAL SERVICES,G0145,26,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0145,GLOBL,666796,24027628.91,24012677.62
PROCEDURES/PROFESSIONAL SERVICES,G0147,TOTAL,162,2640.6,2640.6
PROCEDURES/PROFESSIONAL SERVICES,G0147,GLOBL,162,2640.6,2640.6
PROCEDURES/PROFESSIONAL SERVICES,G0148,TOTAL,3391,72462.47,72434.2
PROCEDURES/PROFESSIONAL SERVICES,G0148,GLOBL,3391,72462.47,72434.2
PROCEDURES/PROFESSIONAL SERVICES,G0151,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0151,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0152,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0152,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0153,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0153,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0154,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0154,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0155,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0155,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0156,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0156,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0166,TOTAL,231259,35450674.49,28081733.7
PROCEDURES/PROFESSIONAL SERVICES,G0166,GLOBL,231259,35450674.49,28081733.7
PROCEDURES/PROFESSIONAL SERVICES,G0168,TOTAL,29588,858934.22,661747.73
PROCEDURES/PROFESSIONAL SERVICES,G0168,GLOBL,29588,858934.22,661747.73
PROCEDURES/PROFESSIONAL SERVICES,G0173,TOTAL,N/A,1058.39,846.71
PROCEDURES/PROFESSIONAL SERVICES,G0173,GLOBL,N/A,1058.39,846.71
PROCEDURES/PROFESSIONAL SERVICES,G0175,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0175,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0176,TOTAL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0176,GLOBL,N/A,0,0
PROCEDURES/PROFESSIONAL SERVICES,G0177,TOTAL,N/A,0,0
