CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 20) Durable Medical Equipment Regional (DMERCS) (K0000 - K9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-257,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0001,TOTAL,1580340,71167331.66,52654258.56
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0001,,1580340,71167331.66,52654258.56
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0002,TOTAL,67269,4573486.44,3403887.03
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0002,,67269,4573486.44,3403887.03
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0003,TOTAL,923190,68037648.71,51178995.16
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0003,,923190,68037648.71,51178995.16
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0004,TOTAL,708218,76304368.63,57944476
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0004,,708218,76304368.63,57944476
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0005,TOTAL,7578,8861132.25,6905492.68
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0005,,7578,8861132.25,6905492.68
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0006,TOTAL,103762,10522509.57,7983465.07
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0006,,103762,10522509.57,7983465.07
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0007,TOTAL,71744,10791391.6,8263558.39
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0007,,71744,10791391.6,8263558.39
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0009,TOTAL,373,608342.97,467993.16
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0009,,373,608342.97,467993.16
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0010,TOTAL,169,58760.27,46189.96
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0010,,169,58760.27,46189.96
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0011,TOTAL,391,193761.22,151659.54
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0011,,391,193761.22,151659.54
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0012,TOTAL,39,12681.37,9843.28
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0012,,39,12681.37,9843.28
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0014,TOTAL,N/A,0,0
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0014,,N/A,0,0
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0015,TOTAL,1342,183075.94,144215.95
