CPT only copyright 2010 American Medical Association. All rights reserved.,,,,,
,,,,,
"2010 Part B National Summary Data File
Code Range: 25) National Codes Assigned by CMS on Temporary Basis (Q0000 - Q9999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-373,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0035,TOTAL,37,696.11,542.41
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0035,,37,696.11,542.41
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0081,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0081,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0083,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0083,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0084,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0084,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0085,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0085,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0091,TOTAL,932553.7,36826681.09,29403414.78
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0091,,932553.7,36826681.09,29403414.78
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0092,TOTAL,1821262,33755558.37,26068788.2
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0092,,1821262,33755558.37,26068788.2
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0111,TOTAL,53804.1,324142.47,322233.7
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0111,,53804.1,324142.47,322233.7
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0112,TOTAL,32189.2,190773.78,189395.02
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0112,,32189.2,190773.78,189395.02
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0113,TOTAL,14,108.5,108.5
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0113,,14,108.5,108.5
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0114,TOTAL,39,398.12,398.12
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0114,,39,398.12,398.12
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0115,TOTAL,144,2041.92,2027.74
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0115,,144,2041.92,2027.74
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0138,TOTAL,22659370,18047716.61,14264351.7
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0138,,22659370,18047716.61,14264351.7
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0139,TOTAL,327482,258328.03,202187.37
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0139,,327482,258328.03,202187.37
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0144,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0144,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0163,TOTAL,4235,86.25,79.04
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0163,,4235,86.25,79.04
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0164,TOTAL,814,34.75,27.78
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0164,,814,34.75,27.78
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0165,TOTAL,31151,1184.33,940.4
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0165,,31151,1184.33,940.4
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0166,TOTAL,20969,115573.8,91493.13
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0166,,20969,115573.8,91493.13
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0167,TOTAL,9618,56262.54,44761.72
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0167,,9618,56262.54,44761.72
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0168,TOTAL,14956,162903.88,129838.27
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0168,,14956,162903.88,129838.27
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0169,TOTAL,189,80.83,64.66
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0169,,189,80.83,64.66
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0170,TOTAL,2137,200.37,159.55
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0170,,2137,200.37,159.55
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0171,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0171,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0172,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0172,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0173,TOTAL,124,98.14,78.5
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0173,,124,98.14,78.5
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0175,TOTAL,40,12.16,9.73
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0175,,40,12.16,9.73
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0176,TOTAL,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0176,,N/A,0,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0177,TOTAL,180,7.23,5.32
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0177,,180,7.23,5.32
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0178,TOTAL,90,4.95,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0178,,90,4.95,0
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0179,TOTAL,292532,1502593.61,1195928.47
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0179,,292532,1502593.61,1195928.47
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0180,TOTAL,4327,274595.25,218849.83
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0180,,4327,274595.25,218849.83
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0181,TOTAL,N/A,40.85,32.68
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0181,,N/A,40.85,32.68
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0481,TOTAL,33,432444.52,345955.62
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0481,,33,432444.52,345955.62
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0482,TOTAL,N/A,12189.36,9751.48
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0482,,N/A,12189.36,9751.48
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0484,TOTAL,36,124266.02,99412.88
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0484,,36,124266.02,99412.88
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0485,TOTAL,N/A,2201.97,1761.56
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0485,,N/A,2201.97,1761.56
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0486,TOTAL,39,10907.28,8725.73
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0486,,39,10907.28,8725.73
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0487,TOTAL,N/A,906.78,725.43
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0487,,N/A,906.78,725.43
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0489,TOTAL,60,781093.99,624875.3
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0489,,60,781093.99,624875.3
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0491,TOTAL,34,33233.14,26586.51
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0491,,34,33233.14,26586.51
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0492,TOTAL,N/A,80.8,64.64
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0492,,N/A,80.8,64.64
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0495,TOTAL,29,148670.35,118936.31
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0495,,29,148670.35,118936.31
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0496,TOTAL,802,1081158.29,864745.93
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0496,,802,1081158.29,864745.93
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0497,TOTAL,74,31232.76,24986.27
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0497,,74,31232.76,24986.27
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0498,TOTAL,31,14359.54,11487.56
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0498,,31,14359.54,11487.56
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0499,TOTAL,59,11760.81,9408.57
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0499,,59,11760.81,9408.57
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0500,TOTAL,21,581.7,465.36
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0500,,21,581.7,465.36
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0501,TOTAL,30,13780.1,10951.49
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0501,,30,13780.1,10951.49
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0503,TOTAL,N/A,187.5,150
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0503,,N/A,187.5,150
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0504,TOTAL,N/A,3112.6,2490.1
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0504,,N/A,3112.6,2490.1
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0505,TOTAL,63,128762.34,103009.87
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0505,,63,128762.34,103009.87
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0506,TOTAL,75,57722.07,46177.6
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0506,,75,57722.07,46177.6
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0510,TOTAL,14502,720039.95,560222.3
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0510,,14502,720039.95,560222.3
