CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1606,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
ANESTHESIA,00100,TOTAL,12069,2738268.02,2163460.52
ANESTHESIA,00100,AA,3215,1045975.26,825542.17
ANESTHESIA,00100,AD,48,3973.19,3178.55
ANESTHESIA,00100,QK,3414,589119.82,465580.81
ANESTHESIA,00100,QZ,1520,453601.52,357662.22
ANESTHESIA,00100,OTHER,3872,645598.23,511496.77
ANESTHESIA,00102,TOTAL,85,16462.61,13170.04
ANESTHESIA,00102,AA,19,5381.3,4305.03
ANESTHESIA,00102,AD,N/A,82.64,66.11
ANESTHESIA,00102,QK,11,1748.14,1398.5
ANESTHESIA,00102,QZ,13,2674.01,2139.21
ANESTHESIA,00102,OTHER,42,6576.52,5261.19
ANESTHESIA,00103,TOTAL,114751,17222161.28,13535972.23
ANESTHESIA,00103,AA,33378,6605491.09,5203592.83
ANESTHESIA,00103,AD,283,22176.89,17564.56
ANESTHESIA,00103,QK,21912,2213775.67,1739164.57
ANESTHESIA,00103,QZ,31122,5598639.82,4384573.49
ANESTHESIA,00103,OTHER,28056,2782077.81,2191076.78
ANESTHESIA,00104,TOTAL,173820,14860423.89,9427941.34
ANESTHESIA,00104,AA,82094,9015224.45,5710802.2
ANESTHESIA,00104,AD,223,16042.4,10831.64
ANESTHESIA,00104,QK,21107,1170813.65,743716.5
ANESTHESIA,00104,QZ,15745,1721237.5,1085738.18
ANESTHESIA,00104,OTHER,54651,2937105.89,1876852.82
ANESTHESIA,00120,TOTAL,21468,4064687.74,3201844.39
ANESTHESIA,00120,AA,5884,1631231.5,1284659.53
ANESTHESIA,00120,AD,72,8205.7,6564.56
ANESTHESIA,00120,QK,6066,859474.65,677530.51
ANESTHESIA,00120,QZ,2465,605926.86,476262.79
ANESTHESIA,00120,OTHER,6981,959849.03,756827
ANESTHESIA,00124,TOTAL,923,85269.72,65161.97
ANESTHESIA,00124,AA,218,28017.82,21440.36
ANESTHESIA,00124,AD,N/A,309.52,247.61
ANESTHESIA,00124,QK,251,16622.53,12580.5
ANESTHESIA,00124,QZ,167,21111.51,15972.03
ANESTHESIA,00124,OTHER,287,19208.34,14921.47
ANESTHESIA,00126,TOTAL,11613,1052992.39,824846.08
ANESTHESIA,00126,AA,2788,363811.18,284869.46
ANESTHESIA,00126,AD,35,2925.16,2340.18
ANESTHESIA,00126,QK,3068,201200.53,157248.86
ANESTHESIA,00126,QZ,1834,229290.01,179260.87
ANESTHESIA,00126,OTHER,3888,255765.51,201126.71
ANESTHESIA,00140,TOTAL,135194,19939657.24,15729151.28
ANESTHESIA,00140,AA,43079,8218196.93,6498212.73
ANESTHESIA,00140,AD,270,21917.07,17352.29
ANESTHESIA,00140,QK,26022,2718347.44,2138315.88
ANESTHESIA,00140,QZ,32503,5564906.55,4378154.39
ANESTHESIA,00140,OTHER,33320,3416289.25,2697115.99
ANESTHESIA,00142,TOTAL,2036425,206785213.96,163327922.5
ANESTHESIA,00142,AA,569897,74739229.65,59073911.16
ANESTHESIA,00142,AD,6221,504879.45,400987.33
ANESTHESIA,00142,QK,367175,24747329.81,19559444.96
ANESTHESIA,00142,QZ,620381,75364104.37,59401454.07
ANESTHESIA,00142,OTHER,472751,31429670.68,24892124.98
ANESTHESIA,00144,TOTAL,25796,4457696.82,3508709.46
ANESTHESIA,00144,AA,5859,1464243.11,1157174.85
ANESTHESIA,00144,AD,64,5077.75,3927.33
ANESTHESIA,00144,QK,6558,837532.61,657251.35
ANESTHESIA,00144,QZ,5061,1123542.61,878829.26
ANESTHESIA,00144,OTHER,8254,1027300.74,811526.67
ANESTHESIA,00145,TOTAL,128919,22090592.05,17435222.44
ANESTHESIA,00145,AA,38347,9017033.05,7115349.49
ANESTHESIA,00145,AD,337,27198.04,21475.05
ANESTHESIA,00145,QK,32210,3985258.89,3141338.36
ANESTHESIA,00145,QZ,19495,4333537.9,3416536.18
ANESTHESIA,00145,OTHER,38530,4727564.17,3740523.36
ANESTHESIA,00147,TOTAL,786,106579.78,84199.05
ANESTHESIA,00147,AA,328,60718.57,47980.72
ANESTHESIA,00147,QK,138,12062.78,9500.02
ANESTHESIA,00147,QZ,97,15197.21,12108.12
ANESTHESIA,00147,OTHER,223,18601.22,14610.19
ANESTHESIA,00148,TOTAL,1195,113930.82,87999.7
ANESTHESIA,00148,AA,219,33469.17,25489.24
ANESTHESIA,00148,AD,N/A,233.07,186.46
ANESTHESIA,00148,QK,411,31280.84,23998.99
ANESTHESIA,00148,QZ,97,12762.77,9913.34
ANESTHESIA,00148,OTHER,468,36184.97,28411.67
ANESTHESIA,00160,TOTAL,71139,11876796.05,9334939.72
ANESTHESIA,00160,AA,20164,4721977.08,3707798.54
ANESTHESIA,00160,AD,256,23765.37,18766.95
ANESTHESIA,00160,QK,18638,2260440.12,1773184.8
ANESTHESIA,00160,QZ,9844,2226141.87,1748774.68
ANESTHESIA,00160,OTHER,22237,2644471.61,2086414.75
ANESTHESIA,00162,TOTAL,1067,369091.92,292646.16
ANESTHESIA,00162,AA,318,145722.73,115470.26
ANESTHESIA,00162,AD,N/A,922.38,737.92
ANESTHESIA,00162,QK,332,100455.66,79685.2
ANESTHESIA,00162,QZ,79,30098.74,23873.78
ANESTHESIA,00162,OTHER,338,91892.41,72879
ANESTHESIA,00164,TOTAL,413,50572.04,40046.34
ANESTHESIA,00164,AA,85,14487.66,11471.91
ANESTHESIA,00164,AD,N/A,82.12,65.7
ANESTHESIA,00164,QK,67,5565.89,4392.65
ANESTHESIA,00164,QZ,83,14203.54,11281.82
ANESTHESIA,00164,OTHER,178,16232.83,12834.26
ANESTHESIA,00170,TOTAL,34285,5288570.16,4078643.3
ANESTHESIA,00170,AA,8387,1872835.39,1452236.85
ANESTHESIA,00170,AD,131,12716.63,9792.13
ANESTHESIA,00170,QK,9880,1170491.36,895194.61
ANESTHESIA,00170,QZ,4141,871797.36,667985.1
ANESTHESIA,00170,OTHER,11746,1360729.42,1053434.61
ANESTHESIA,00172,TOTAL,84,19244.26,15327.9
ANESTHESIA,00172,AA,18,5430.8,4344.63
ANESTHESIA,00172,QK,34,5981.63,4717.78
ANESTHESIA,00172,QZ,N/A,2342.54,1874.04
ANESTHESIA,00172,OTHER,32,5489.29,4391.45
ANESTHESIA,00174,TOTAL,36,9135.24,7297.28
ANESTHESIA,00174,AA,13,3126.32,2501.06
ANESTHESIA,00174,QK,12,2060.13,1648.1
ANESTHESIA,00174,QZ,N/A,1748.64,1398.91
ANESTHESIA,00174,OTHER,11,2200.15,1749.21
ANESTHESIA,00176,TOTAL,1907,861088.02,682992.23
ANESTHESIA,00176,AA,479,308179.12,242915.11
ANESTHESIA,00176,AD,13,2642.38,2113.9
ANESTHESIA,00176,QK,650,247117.22,196337.97
ANESTHESIA,00176,QZ,97,67733.41,53889.5
ANESTHESIA,00176,OTHER,668,235415.89,187735.75
ANESTHESIA,00190,TOTAL,12570,2481992.75,1948164.62
ANESTHESIA,00190,AA,3712,1028593.94,808878.25
ANESTHESIA,00190,AD,71,7824.7,6188.66
ANESTHESIA,00190,QK,3554,537403.81,419793.1
ANESTHESIA,00190,QZ,1165,317317.8,247348.04
ANESTHESIA,00190,OTHER,4068,590852.5,465956.57
ANESTHESIA,00192,TOTAL,2536,780337.89,616247.14
ANESTHESIA,00192,AA,594,267784.55,209426.6
ANESTHESIA,00192,AD,13,991.68,793.35
ANESTHESIA,00192,QK,827,218838.78,173378.38
ANESTHESIA,00192,QZ,201,74027.06,58590.87
ANESTHESIA,00192,OTHER,901,218695.82,174057.94
ANESTHESIA,00210,TOTAL,32436,13428481.27,10653665.38
ANESTHESIA,00210,AA,11657,6880159.6,5461916.41
ANESTHESIA,00210,AD,130,15341.09,12204.06
ANESTHESIA,00210,QK,8699,2551106.98,2020249.56
ANESTHESIA,00210,QZ,2333,1255615.14,997053.6
ANESTHESIA,00210,OTHER,9617,2726258.46,2162241.75
ANESTHESIA,00211,TOTAL,15175,4756320.34,3775121.46
ANESTHESIA,00211,AA,5205,2292010.32,1820009.78
ANESTHESIA,00211,AD,40,3519.1,2815.27
ANESTHESIA,00211,QK,3658,812630.32,644672.77
ANESTHESIA,00211,QZ,1344,568965.63,450657.29
ANESTHESIA,00211,OTHER,4928,1079194.97,856966.35
ANESTHESIA,00212,TOTAL,107,19025.37,15136.46
ANESTHESIA,00212,AA,45,10538.39,8346.92
ANESTHESIA,00212,QK,20,2465.99,1972.76
ANESTHESIA,00212,QZ,12,2700.54,2160.43
ANESTHESIA,00212,OTHER,30,3320.45,2656.35
ANESTHESIA,00214,TOTAL,10155,2489517.77,1972035.9
ANESTHESIA,00214,AA,3151,1102772.67,872562.89
ANESTHESIA,00214,AD,45,4415.17,3532.16
ANESTHESIA,00214,QK,2612,458119.26,363450.75
ANESTHESIA,00214,QZ,1035,345939.94,274577.53
ANESTHESIA,00214,OTHER,3312,578270.73,457912.57
ANESTHESIA,00215,TOTAL,1482,464812.11,366618.43
ANESTHESIA,00215,AA,532,240659.76,190386.78
ANESTHESIA,00215,AD,N/A,318.13,254.5
ANESTHESIA,00215,QK,409,92024.21,72240.05
ANESTHESIA,00215,QZ,78,31552.94,24902.3
ANESTHESIA,00215,OTHER,463,100257.07,78834.8
ANESTHESIA,00216,TOTAL,3292,1822226.26,1448367.85
ANESTHESIA,00216,AA,1310,1029807.86,819120.73
ANESTHESIA,00216,AD,11,856.01,684.8
ANESTHESIA,00216,QK,854,318189.44,252676.4
ANESTHESIA,00216,QZ,241,167936.44,133027.03
ANESTHESIA,00216,OTHER,876,305436.51,242858.89
ANESTHESIA,00218,TOTAL,1011,491890.18,389618.5
ANESTHESIA,00218,AA,388,275982.56,218155.47
ANESTHESIA,00218,AD,N/A,2147.34,1717.87
ANESTHESIA,00218,QK,279,96864.19,76920.49
ANESTHESIA,00218,QZ,46,27139.07,21636.03
ANESTHESIA,00218,OTHER,298,89757.02,71188.64
ANESTHESIA,00220,TOTAL,13592,3738073.45,2961990.38
ANESTHESIA,00220,AA,4312,1718507.19,1364228.64
ANESTHESIA,00220,AD,52,4642.62,3714.07
ANESTHESIA,00220,QK,3777,750058.04,592937.31
ANESTHESIA,00220,QZ,1151,428587.14,339438.24
ANESTHESIA,00220,OTHER,4300,836278.46,661672.12
ANESTHESIA,00222,TOTAL,725,114454.86,90567.7
ANESTHESIA,00222,AA,251,57949.36,45975.46
ANESTHESIA,00222,AD,N/A,85.48,68.38
ANESTHESIA,00222,QK,214,24117.27,19041.13
ANESTHESIA,00222,QZ,18,4349.88,3426.51
ANESTHESIA,00222,OTHER,242,27952.87,22056.22
ANESTHESIA,00300,TOTAL,251790,39808500.73,31326653.78
ANESTHESIA,00300,AA,63040,14349281.31,11289870.49
ANESTHESIA,00300,AD,1018,90819.13,71495.36
ANESTHESIA,00300,QK,65902,7591211.22,5964640.91
ANESTHESIA,00300,QZ,43168,8829448.7,6942566.37
ANESTHESIA,00300,OTHER,78662,8947740.37,7058080.65
ANESTHESIA,00320,TOTAL,175519,34305276.58,27153352.7
ANESTHESIA,00320,AA,49442,13822813.85,10943560.05
ANESTHESIA,00320,AD,698,63095.73,49961.58
ANESTHESIA,00320,QK,48287,7122371.35,5627205.45
ANESTHESIA,00320,QZ,19470,5051168.36,3994773.62
ANESTHESIA,00320,OTHER,57622,8245827.29,6537852
