CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2662,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
RADIOLOGY,70010,TOTAL,23,3512.39,2809.87
RADIOLOGY,70010,26,N/A,391.34,313.06
RADIOLOGY,70010,GLOBL,23,3121.05,2496.81
RADIOLOGY,70015,TOTAL,129,8177.73,6319.88
RADIOLOGY,70015,26,129,7731.91,6087.59
RADIOLOGY,70015,GLOBL,N/A,445.82,232.29
RADIOLOGY,70030,TOTAL,29176,390850.11,290067.93
RADIOLOGY,70030,26,21795,185881.54,139054.75
RADIOLOGY,70030,TC,1224,24125.48,17873.86
RADIOLOGY,70030,GLOBL,6157,180843.09,133139.32
RADIOLOGY,70100,TOTAL,29159,537425.49,423648.19
RADIOLOGY,70100,26,17118,149769.17,117830.82
RADIOLOGY,70100,TC,529,12734.42,9379.7
RADIOLOGY,70100,GLOBL,11512,374921.9,296437.67
RADIOLOGY,70110,TOTAL,12933,242348.42,176084.96
RADIOLOGY,70110,26,9683,119271.4,87237.45
RADIOLOGY,70110,TC,644,17404.43,12348.54
RADIOLOGY,70110,GLOBL,2606,105672.59,76498.97
RADIOLOGY,70120,TOTAL,535,13624.42,10141.71
RADIOLOGY,70120,26,182,1652.2,1225.25
RADIOLOGY,70120,TC,60,1515.58,1085.05
RADIOLOGY,70120,GLOBL,293,10456.64,7831.41
RADIOLOGY,70130,TOTAL,766,29996.79,22296.25
RADIOLOGY,70130,26,336,5626.46,4167.74
RADIOLOGY,70130,TC,27,1056.7,780.51
RADIOLOGY,70130,GLOBL,403,23313.63,17348
RADIOLOGY,70134,TOTAL,79,2724.14,2120.98
RADIOLOGY,70134,26,32,530.4,424.27
RADIOLOGY,70134,TC,N/A,55.2,44.16
RADIOLOGY,70134,GLOBL,47,2138.54,1652.55
RADIOLOGY,70140,TOTAL,10502,212163.75,160239.21
RADIOLOGY,70140,26,5175,51810.14,38858.87
RADIOLOGY,70140,TC,1190,26377.5,20245.17
RADIOLOGY,70140,GLOBL,4137,133976.11,101135.17
RADIOLOGY,70150,TOTAL,24030,547687.48,398972.39
RADIOLOGY,70150,26,15435,199755.12,146114.07
RADIOLOGY,70150,TC,2125,62686.27,45535.32
RADIOLOGY,70150,GLOBL,6470,285246.09,207323
RADIOLOGY,70160,TOTAL,25182,375106.36,272707.72
RADIOLOGY,70160,26,18396,157893.88,115479.79
RADIOLOGY,70160,TC,1508,36803.37,26572.54
RADIOLOGY,70160,GLOBL,5278,180409.11,130655.39
RADIOLOGY,70170,TOTAL,241,6565.44,5158.54
RADIOLOGY,70170,26,177,2684.43,2111.26
RADIOLOGY,70170,TC,N/A,163.92,131.12
RADIOLOGY,70170,GLOBL,64,3717.09,2916.16
RADIOLOGY,70190,TOTAL,515,13704.4,10432.83
RADIOLOGY,70190,26,199,2128.91,1628.08
RADIOLOGY,70190,TC,33,818.84,616.33
RADIOLOGY,70190,GLOBL,283,10756.65,8188.42
RADIOLOGY,70200,TOTAL,10049,257634.66,189464.71
RADIOLOGY,70200,26,6074,85404.38,62732.55
RADIOLOGY,70200,TC,728,22393.53,16421.38
RADIOLOGY,70200,GLOBL,3247,149836.75,110310.78
RADIOLOGY,70210,TOTAL,72756,1739263.95,1221590.98
RADIOLOGY,70210,26,18283,159012.54,114453.79
RADIOLOGY,70210,TC,8302,176574.13,119419.62
RADIOLOGY,70210,GLOBL,46171,1403677.28,987717.57
RADIOLOGY,70220,TOTAL,117954,3102252.75,2199320.67
RADIOLOGY,70220,26,48998,596700.21,430115.28
RADIOLOGY,70220,TC,12508,323099.9,225851.26
RADIOLOGY,70220,GLOBL,56448,2182452.64,1543354.13
RADIOLOGY,70240,TOTAL,191,3108.5,2364.52
RADIOLOGY,70240,26,138,1355.22,1055.82
RADIOLOGY,70240,TC,N/A,195.7,134.26
RADIOLOGY,70240,GLOBL,53,1557.58,1174.44
RADIOLOGY,70250,TOTAL,54817,1111215.65,844914.88
RADIOLOGY,70250,26,35573,439795.44,335665.52
RADIOLOGY,70250,TC,4843,124672.11,95366.21
