CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,
,,,,,
"2011 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2909,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
PATH/LAB,80047,TOTAL,125026,1371537.76,1362167.46
PATH/LAB,80047,26,N/A,0,0
PATH/LAB,80047,GLOBL,125026,1371537.76,1362167.46
PATH/LAB,80048,TOTAL,9140966.7,90546834.68,90318763.62
PATH/LAB,80048,26,N/A,0,0
PATH/LAB,80048,GLOBL,9140966.7,90546834.68,90318763.62
PATH/LAB,80050,TOTAL,N/A,3,3
PATH/LAB,80050,26,N/A,0,0
PATH/LAB,80050,GLOBL,N/A,3,3
PATH/LAB,80051,TOTAL,647881,3040148.84,3033439.12
PATH/LAB,80051,26,N/A,0,0
PATH/LAB,80051,GLOBL,647881,3040148.84,3033439.12
PATH/LAB,80053,TOTAL,27935236.1,322272357.65,321487007.54
PATH/LAB,80053,26,N/A,0,0
PATH/LAB,80053,GLOBL,27935236.1,322272357.65,321487007.54
PATH/LAB,80055,TOTAL,N/A,0,0
PATH/LAB,80055,GLOBL,N/A,0,0
PATH/LAB,80061,TOTAL,21019136.1,306032876.57,305342343.06
PATH/LAB,80061,26,N/A,0,0
PATH/LAB,80061,TC,N/A,0,0
PATH/LAB,80061,GLOBL,21019136.1,306032876.57,305342343.06
PATH/LAB,80069,TOTAL,928318,9969167.09,9934671.78
PATH/LAB,80069,26,N/A,0,0
PATH/LAB,80069,GLOBL,928318,9969167.09,9934671.78
PATH/LAB,80074,TOTAL,114302,7558200.91,7550411.59
PATH/LAB,80074,26,N/A,0,0
PATH/LAB,80074,GLOBL,114302,7558200.91,7550411.59
PATH/LAB,80076,TOTAL,2888560,22711224.52,22630239.83
PATH/LAB,80076,26,N/A,0,0
PATH/LAB,80076,GLOBL,2888560,22711224.52,22630239.83
PATH/LAB,80100,TOTAL,N/A,20.47,20.47
PATH/LAB,80100,TC,N/A,0,0
PATH/LAB,80100,GLOBL,N/A,20.47,20.47
PATH/LAB,80101,TOTAL,12,12,12
PATH/LAB,80101,26,N/A,0,0
PATH/LAB,80101,GLOBL,12,12,12
PATH/LAB,80102,TOTAL,393856,7325064.51,7291902.7
PATH/LAB,80102,GLOBL,393856,7325064.51,7291902.7
PATH/LAB,80103,TOTAL,N/A,95.7,95.7
PATH/LAB,80103,GLOBL,N/A,95.7,95.7
PATH/LAB,80104,TOTAL,N/A,0,0
PATH/LAB,80104,26,N/A,0,0
PATH/LAB,80104,GLOBL,N/A,0,0
PATH/LAB,80150,TOTAL,2748,56952.16,56952.16
PATH/LAB,80150,GLOBL,2748,56952.16,56952.16
PATH/LAB,80152,TOTAL,122603,2739452.58,2736508.56
PATH/LAB,80152,GLOBL,122603,2739452.58,2736508.56
PATH/LAB,80154,TOTAL,903319,23476042.54,23387410.88
PATH/LAB,80154,GLOBL,903319,23476042.54,23387410.88
PATH/LAB,80156,TOTAL,118307,2400035.52,2397111.82
PATH/LAB,80156,GLOBL,118307,2400035.52,2397111.82
PATH/LAB,80157,TOTAL,1758,32582.03,32498.48
PATH/LAB,80157,GLOBL,1758,32582.03,32498.48
PATH/LAB,80158,TOTAL,48140,1185848.89,1176285.05
PATH/LAB,80158,GLOBL,48140,1185848.89,1176285.05
PATH/LAB,80160,TOTAL,116921,2497188.83,2494786.78
PATH/LAB,80160,GLOBL,116921,2497188.83,2494786.78
PATH/LAB,80162,TOTAL,461987,8633920.27,8627927.47
PATH/LAB,80162,26,N/A,0,0
PATH/LAB,80162,GLOBL,461987,8633920.27,8627927.47
PATH/LAB,80164,TOTAL,410915,7484946.13,7479798.29
PATH/LAB,80164,26,N/A,0,0
PATH/LAB,80164,GLOBL,410915,7484946.13,7479798.29
PATH/LAB,80166,TOTAL,8780,190823.22,190808.33
PATH/LAB,80166,GLOBL,8780,190823.22,190808.33
PATH/LAB,80168,TOTAL,424,9150.55,9150.55
PATH/LAB,80168,GLOBL,424,9150.55,9150.55
PATH/LAB,80170,TOTAL,13530,304259.84,304149.93
PATH/LAB,80170,26,N/A,0,0
PATH/LAB,80170,GLOBL,13530,304259.84,304149.93
PATH/LAB,80172,TOTAL,23,522.39,522.39
PATH/LAB,80172,GLOBL,23,522.39,522.39
PATH/LAB,80173,TOTAL,1358,27174.68,27174.68
PATH/LAB,80173,GLOBL,1358,27174.68,27174.68
PATH/LAB,80174,TOTAL,117336,2506781.59,2504447.22
PATH/LAB,80174,GLOBL,117336,2506781.59,2504447.22
PATH/LAB,80176,TOTAL,412,8058.46,8011.45
PATH/LAB,80176,GLOBL,412,8058.46,8011.45
PATH/LAB,80178,TOTAL,124878,1161044.05,1159745.38
PATH/LAB,80178,26,N/A,0,0
PATH/LAB,80178,GLOBL,124878,1161044.05,1159745.38
PATH/LAB,80182,TOTAL,121389,2042176.55,2040061.96
PATH/LAB,80182,GLOBL,121389,2042176.55,2040061.96
PATH/LAB,80184,TOTAL,82595,1316157.58,1315598.02
PATH/LAB,80184,26,N/A,0,0
PATH/LAB,80184,GLOBL,82595,1316157.58,1315598.02
PATH/LAB,80185,TOTAL,368494,6874053.42,6868651.07
PATH/LAB,80185,26,N/A,0,0
PATH/LAB,80185,GLOBL,368494,6874053.42,6868651.07
PATH/LAB,80186,TOTAL,19281,371869.68,371744.26
PATH/LAB,80186,26,N/A,0,0
PATH/LAB,80186,GLOBL,19281,371869.68,371744.26
PATH/LAB,80188,TOTAL,9062,201818.4,201806.59
PATH/LAB,80188,26,N/A,0,0
PATH/LAB,80188,GLOBL,9062,201818.4,201806.59
PATH/LAB,80190,TOTAL,N/A,0,0
PATH/LAB,80190,GLOBL,N/A,0,0
PATH/LAB,80192,TOTAL,43,1012.57,1012.57
PATH/LAB,80192,GLOBL,43,1012.57,1012.57
PATH/LAB,80194,TOTAL,534,10827.08,10827.08
PATH/LAB,80194,GLOBL,534,10827.08,10827.08
PATH/LAB,80195,TOTAL,25559,490358.88,485574.42
PATH/LAB,80195,26,N/A,0,0
PATH/LAB,80195,GLOBL,25559,490358.88,485574.42
PATH/LAB,80196,TOTAL,1365,13616.41,13579.06
PATH/LAB,80196,26,N/A,0,0
PATH/LAB,80196,GLOBL,1365,13616.41,13579.06
PATH/LAB,80197,TOTAL,260199,4915992.49,4862552.57
PATH/LAB,80197,26,N/A,0,0
PATH/LAB,80197,GLOBL,260199,4915992.49,4862552.57
PATH/LAB,80198,TOTAL,33310,652274.69,651217.95
PATH/LAB,80198,26,N/A,0,0
PATH/LAB,80198,GLOBL,33310,652274.69,651217.95
PATH/LAB,80200,TOTAL,5688,125948.41,125824.72
PATH/LAB,80200,GLOBL,5688,125948.41,125824.72
PATH/LAB,80201,TOTAL,8461,141803.34,141601.71
PATH/LAB,80201,GLOBL,8461,141803.34,141601.71
PATH/LAB,80202,TOTAL,125634,2261216.3,2257135.73
PATH/LAB,80202,26,N/A,0,0
PATH/LAB,80202,GLOBL,125634,2261216.3,2257135.73
PATH/LAB,80299,TOTAL,469763,8722403.32,8699782.22
PATH/LAB,80299,26,N/A,0,0
PATH/LAB,80299,GLOBL,469763,8722403.32,8699782.22
PATH/LAB,80400,TOTAL,1540,69950.82,69037.28
PATH/LAB,80400,GLOBL,1540,69950.82,69037.28
PATH/LAB,80402,TOTAL,N/A,459.08,459.08
PATH/LAB,80402,GLOBL,N/A,459.08,459.08
PATH/LAB,80406,TOTAL,N/A,110.14,110.14
PATH/LAB,80406,GLOBL,N/A,110.14,110.14
PATH/LAB,80408,TOTAL,58,2302.2,2302.2
PATH/LAB,80408,GLOBL,58,2302.2,2302.2
PATH/LAB,80410,TOTAL,2254,254859.78,254859.78
PATH/LAB,80410,GLOBL,2254,254859.78,254859.78
PATH/LAB,80412,TOTAL,N/A,2000.2,2000.2
PATH/LAB,80412,GLOBL,N/A,2000.2,2000.2
PATH/LAB,80414,TOTAL,25,1721.53,1700.14
PATH/LAB,80414,GLOBL,25,1721.53,1700.14
PATH/LAB,80415,TOTAL,218,17104.2,16947.51
PATH/LAB,80415,GLOBL,218,17104.2,16947.51
