CPT only copyright 2012 American Medical Association. All rights reserved.,,,,,
,,,,,
"2012 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17980,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,TOTAL,4592,487489.25,384457.04
CARDIOVASCULAR,33010,80S,N/A,0,0
CARDIOVASCULAR,33010,OTHER,4592,487489.25,384457.04
CARDIOVASCULAR,33011,TOTAL,68,7451.56,5861.09
CARDIOVASCULAR,33011,80S,N/A,0,0
CARDIOVASCULAR,33011,OTHER,68,7451.56,5861.09
CARDIOVASCULAR,33015,TOTAL,701,336494.93,267932.74
CARDIOVASCULAR,33015,80S,N/A,0,0
CARDIOVASCULAR,33015,OTHER,701,336494.93,267932.74
CARDIOVASCULAR,33020,TOTAL,275,160709.39,127998.41
CARDIOVASCULAR,33020,80S,65,6177.66,4942.09
CARDIOVASCULAR,33020,OTHER,210,154531.73,123056.32
CARDIOVASCULAR,33025,TOTAL,6926,4345771.23,3451947
CARDIOVASCULAR,33025,80S,1632,182542.76,145257.59
CARDIOVASCULAR,33025,OTHER,5294,4163228.47,3306689.41
CARDIOVASCULAR,33030,TOTAL,586,864402.82,683678.85
CARDIOVASCULAR,33030,80S,142,38770.95,30900.15
CARDIOVASCULAR,33030,OTHER,444,825631.87,652778.7
CARDIOVASCULAR,33031,TOTAL,411,607579.8,485417.39
CARDIOVASCULAR,33031,80S,153,48889.75,38621.02
CARDIOVASCULAR,33031,OTHER,258,558690.05,446796.37
CARDIOVASCULAR,33050,TOTAL,133,69319.43,55454.37
CARDIOVASCULAR,33050,80S,45,4449.31,3558.3
CARDIOVASCULAR,33050,OTHER,88,64870.12,51896.07
CARDIOVASCULAR,33120,TOTAL,1093,1394636.21,1109038.12
CARDIOVASCULAR,33120,80S,397,106276.77,84801.43
CARDIOVASCULAR,33120,OTHER,696,1288359.44,1024236.69
CARDIOVASCULAR,33130,TOTAL,50,34749.6,27796.9
CARDIOVASCULAR,33130,80S,17,2383.11,1903.67
CARDIOVASCULAR,33130,OTHER,33,32366.49,25893.23
CARDIOVASCULAR,33140,TOTAL,64,77705.36,59448.76
CARDIOVASCULAR,33140,80S,19,4333.17,3302.24
CARDIOVASCULAR,33140,OTHER,45,73372.19,56146.52
CARDIOVASCULAR,33141,TOTAL,1058,100445.65,79314.27
CARDIOVASCULAR,33141,80S,373,7203.53,5703.99
CARDIOVASCULAR,33141,OTHER,685,93242.12,73610.28
CARDIOVASCULAR,33202,TOTAL,2155,1328486.32,1055172.02
CARDIOVASCULAR,33202,80S,N/A,0,0
CARDIOVASCULAR,33202,OTHER,2155,1328486.32,1055172.02
CARDIOVASCULAR,33203,TOTAL,180,137900.14,109871.12
CARDIOVASCULAR,33203,80S,N/A,0,0
CARDIOVASCULAR,33203,OTHER,180,137900.14,109871.12
CARDIOVASCULAR,33206,TOTAL,1451,652022.37,517605.64
CARDIOVASCULAR,33206,80S,N/A,0,0
CARDIOVASCULAR,33206,OTHER,1451,652022.37,517605.64
CARDIOVASCULAR,33207,TOTAL,23514,11083819.57,8829306.67
CARDIOVASCULAR,33207,80S,N/A,0,0
CARDIOVASCULAR,33207,SG,N/A,7666.38,6133.1
CARDIOVASCULAR,33207,OTHER,23514,11076153.19,8823173.57
CARDIOVASCULAR,33208,TOTAL,112987,59049554.26,46971525.79
CARDIOVASCULAR,33208,80S,N/A,82.38,65.9
CARDIOVASCULAR,33208,SG,N/A,28663.05,22930.44
CARDIOVASCULAR,33208,OTHER,112987,59020808.83,46948529.45
