CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 01) Anesthesia (00000 - 09999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1603,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
ANESTHESIA,00100,AA,3032,1016494.5,791360.75,
ANESTHESIA,00100,AD,48,4029.22,3170.09,
ANESTHESIA,00100,QK,3688,663800.34,516813.57,
ANESTHESIA,00100,QZ,1583,482069.49,376679.9,
ANESTHESIA,00100,OTHER,4081,716134.51,558274.41,
ANESTHESIA,00100,TOTAL,12432,2882528.06,2246298.7200000002,
ANESTHESIA,00102,AA,16,4440.26,3500.83,
ANESTHESIA,00102,QK,14,2224.19,1751.05,
ANESTHESIA,00102,QZ,N/A,1830.1,1386.81,
ANESTHESIA,00102,OTHER,35,5959.33,4676.0200000000004,
ANESTHESIA,00102,TOTAL,74,14453.88,11314.71,
ANESTHESIA,00103,AA,36467,7278325.75,5639051.2300000004,
ANESTHESIA,00103,AD,166,13169.28,10097.879999999999,
ANESTHESIA,00103,QK,24417,2546034.75,1969038.09,
ANESTHESIA,00103,QZ,35001,6472750.4800000004,5006206.4400000004,
ANESTHESIA,00103,OTHER,30852,3178649.61,2466275.39,
ANESTHESIA,00103,TOTAL,126903,19488929.870000001,15090669.029999999,
ANESTHESIA,00104,AA,84785,9593955.7400000002,6518609.3300000001,
ANESTHESIA,00104,AD,173,13003.68,9113.23,
ANESTHESIA,00104,QK,23795,1387202.55,946421.39,
ANESTHESIA,00104,QZ,16954,1911497.99,1290126.8,
ANESTHESIA,00104,OTHER,62323,3484596.01,2391315.7400000002,
ANESTHESIA,00104,TOTAL,188030,16390255.970000001,11155586.49,
ANESTHESIA,00120,AA,6517,1861551.46,1443812.87,
ANESTHESIA,00120,AD,68,6739.66,5158.16,
ANESTHESIA,00120,QK,6786,1030157.21,799727.89,
ANESTHESIA,00120,QZ,2655,683444.78,533732.09,
ANESTHESIA,00120,OTHER,7787,1142340.02,886961.35,
ANESTHESIA,00120,TOTAL,23813,4724233.13,3669392.36,
ANESTHESIA,00124,AA,275,37219.58,28683.54,
ANESTHESIA,00124,AD,N/A,334.33,264.16000000000003,
ANESTHESIA,00124,QK,316,23074.12,17536.63,
ANESTHESIA,00124,QZ,166,22461.65,16897.87,
ANESTHESIA,00124,OTHER,386,28165.17,21426.48,
ANESTHESIA,00124,TOTAL,1148,111254.85,84808.68,
ANESTHESIA,00126,AA,2901,386994.51,299551.03999999998,
ANESTHESIA,00126,AD,47,3569.96,2809.68,
ANESTHESIA,00126,QK,3358,227031.38,174945.89,
ANESTHESIA,00126,QZ,2037,262786.67,202769.88,
ANESTHESIA,00126,OTHER,4239,285804.61,220908.9,
ANESTHESIA,00126,TOTAL,12582,1166187.1299999999,900985.39,
ANESTHESIA,00140,AA,41357,8076921.1900000004,6286347.9400000004,
ANESTHESIA,00140,AD,196,15973.6,12324.05,
ANESTHESIA,00140,QK,27887,2956757.65,2288692.34,
ANESTHESIA,00140,QZ,34292,6004822.1699999999,4664478.38,
ANESTHESIA,00140,OTHER,35669,3705621.67,2882520.48,
ANESTHESIA,00140,TOTAL,139401,20760096.280000001,16134363.189999999,
ANESTHESIA,00142,AA,583251,78579422.920000002,61199241.82,
ANESTHESIA,00142,AD,5623,453131.96,353032.15,
ANESTHESIA,00142,QK,367008,25413082.510000002,19747830.379999999,
ANESTHESIA,00142,QZ,666940,83133273.629999995,64544758.060000002,
ANESTHESIA,00142,OTHER,490402,33368102.780000001,25978351.199999999,
ANESTHESIA,00142,TOTAL,2113224,220947013.80000001,171823213.61000001,
ANESTHESIA,00144,AA,5814,1449771.1,1125324.1399999999,
ANESTHESIA,00144,AD,44,3819.4,3001.56,
ANESTHESIA,00144,QK,6846,892749.1,688332.07,
ANESTHESIA,00144,QZ,5439,1217648.92,942874.68,
ANESTHESIA,00144,OTHER,8379,1075822.8600000001,837373.62,
ANESTHESIA,00144,TOTAL,26522,4639811.38,3596906.07,
ANESTHESIA,00145,AA,37594,8993549.9499999993,6997379.9299999997,
ANESTHESIA,00145,AD,243,19987.849999999999,15312.4,
ANESTHESIA,00145,QK,32960,4170452.38,3238773.71,
ANESTHESIA,00145,QZ,22309,5000317.37,3894907.11,
ANESTHESIA,00145,OTHER,40080,5006545.3,3903805.16,
ANESTHESIA,00145,TOTAL,133186,23190852.850000001,18050178.309999999,
ANESTHESIA,00147,AA,371,66700.38,51608.34,
ANESTHESIA,00147,QK,220,18535.32,14436.66,
ANESTHESIA,00147,QZ,107,19483.189999999999,15242.2,
ANESTHESIA,00147,OTHER,289,24278.32,18928.61,
ANESTHESIA,00147,TOTAL,987,128997.21,100215.81,
ANESTHESIA,00148,AA,207,34171.68,26487.15,
ANESTHESIA,00148,AD,N/A,70.62,55.37,
ANESTHESIA,00148,QK,338,27878.94,20967.45,
ANESTHESIA,00148,QZ,124,16892.810000000001,13004.07,
ANESTHESIA,00148,OTHER,437,36109.47,27461.69,
ANESTHESIA,00148,TOTAL,1107,115123.52,87975.73,
ANESTHESIA,00160,AA,20857,5161161.58,4008339.38,
ANESTHESIA,00160,AD,238,22930.94,17801.5,
ANESTHESIA,00160,QK,19914,2537056.54,1961386.11,
ANESTHESIA,00160,QZ,10607,2465405.04,1909577.78,
ANESTHESIA,00160,OTHER,23657,2954827.85,2299920.4700000002,
ANESTHESIA,00160,TOTAL,75273,13141381.949999999,10197025.24,
ANESTHESIA,00162,AA,277,134740.66,106069.84,
ANESTHESIA,00162,AD,N/A,70.62,55.37,
ANESTHESIA,00162,QK,311,92995.46,72608.63,
ANESTHESIA,00162,QZ,62,22939.47,17581.14,
ANESTHESIA,00162,OTHER,315,88381.64,69092.22,
ANESTHESIA,00162,TOTAL,966,339127.85,265407.2,
ANESTHESIA,00164,AA,55,10221.709999999999,8063.81,
ANESTHESIA,00164,AD,N/A,63,50.4,
ANESTHESIA,00164,QK,47,4178.75,3167.93,
ANESTHESIA,00164,QZ,94,17679.48,13468.15,
ANESTHESIA,00164,OTHER,141,13518.66,10497.19,
ANESTHESIA,00164,TOTAL,338,45661.599999999999,35247.480000000003,
ANESTHESIA,00170,AA,8791,2084877.18,1593848.74,
ANESTHESIA,00170,AD,109,11628.51,9072.99,
ANESTHESIA,00170,QK,9810,1215214.73,921649.31,
ANESTHESIA,00170,QZ,4779,1019700.49,772933.45,
ANESTHESIA,00170,OTHER,11708,1411443.17,1082907.22,
ANESTHESIA,00170,TOTAL,35197,5742864.0800000001,4380411.71,
ANESTHESIA,00172,AA,20,7631.94,5763.29,
ANESTHESIA,00172,QK,15,2751.98,2064.2199999999998,
ANESTHESIA,00172,QZ,N/A,2438.1,1922.32,
ANESTHESIA,00172,OTHER,22,3630.75,2729.82,
ANESTHESIA,00172,TOTAL,65,16452.77,12479.65,
ANESTHESIA,00174,AA,11,2895.53,2272.86,
ANESTHESIA,00174,QK,N/A,2022.36,1589.83,
ANESTHESIA,00174,QZ,N/A,1520.42,1194.97,
ANESTHESIA,00174,OTHER,19,3134.59,2459.02,
ANESTHESIA,00174,TOTAL,48,9572.9,7516.68,
ANESTHESIA,00176,AA,499,329721.56,259019.67,
ANESTHESIA,00176,AD,11,1493.25,1170.7,
ANESTHESIA,00176,QK,765,310938.78000000003,243831.17,
ANESTHESIA,00176,QZ,120,68740.86,54165.46,
ANESTHESIA,00176,OTHER,749,281838.62,220594.09,
ANESTHESIA,00176,TOTAL,2144,992733.07,778781.09,
ANESTHESIA,00190,AA,3464,1030559.08,798860.63,
ANESTHESIA,00190,AD,64,7048.36,5556.72,
ANESTHESIA,00190,QK,3530,580294.97,449875.91,
ANESTHESIA,00190,QZ,1217,328824.75,254711.13,
ANESTHESIA,00190,OTHER,4056,636070.35,493628.28,
ANESTHESIA,00190,TOTAL,12331,2582797.5099999998,2002632.67,
ANESTHESIA,00192,AA,610,287533.14,223505.58,
ANESTHESIA,00192,AD,20,3705.84,2844.18,
ANESTHESIA,00192,QK,773,217484.1,168386.84,
ANESTHESIA,00192,QZ,189,74203.210000000006,58212.01,
ANESTHESIA,00192,OTHER,812,214888.89,168265.84,
ANESTHESIA,00192,TOTAL,2404,797815.18,621214.44999999995,
ANESTHESIA,00210,AA,12455,7725071.9500000002,6042041.5999999996,
ANESTHESIA,00210,AD,133,17013.759999999998,13425,
ANESTHESIA,00210,QK,9738,3015521.26,2352357.91,
ANESTHESIA,00210,QZ,2578,1407272.85,1104460.1599999999,
ANESTHESIA,00210,OTHER,10317,3076386.5,2408125.4399999999,
ANESTHESIA,00210,TOTAL,35221,15241266.32,11920410.109999999,
ANESTHESIA,00211,AA,5109,2363013.84,1850736.23,
ANESTHESIA,00211,AD,43,4482.4399999999996,3536.2,
ANESTHESIA,00211,QK,3779,878576.83,687501.61,
ANESTHESIA,00211,QZ,1490,651594.06999999995,509531.42,
ANESTHESIA,00211,OTHER,5106,1160635.6499999999,908802.03,
ANESTHESIA,00211,TOTAL,15527,5058302.83,3960107.49,
ANESTHESIA,00212,AA,37,8805.0300000000007,6920.83,
ANESTHESIA,00212,AD,N/A,85.36,66.92,
ANESTHESIA,00212,QK,28,3164.78,2490.56,
ANESTHESIA,00212,QZ,N/A,624.36,491.76,
ANESTHESIA,00212,OTHER,41,4348.6099999999997,3427.21,
ANESTHESIA,00212,TOTAL,110,17028.14,13397.28,
ANESTHESIA,00214,AA,3137,1154853.27,902939.75,
ANESTHESIA,00214,AD,31,3143.69,2471.25,
ANESTHESIA,00214,QK,2421,439202.66,343742.61,
ANESTHESIA,00214,QZ,1013,348878.56,273030.61,
ANESTHESIA,00214,OTHER,3232,583434.48,456607.03,
ANESTHESIA,00214,TOTAL,9834,2529512.66,1978791.25,
ANESTHESIA,00215,AA,550,258955.47,202003.27,
ANESTHESIA,00215,AD,N/A,744.1,592.5,
ANESTHESIA,00215,QK,543,133110.53,103427.34,
ANESTHESIA,00215,QZ,107,46385.23,36157.33,
ANESTHESIA,00215,OTHER,583,137822.14000000001,107199.63,
ANESTHESIA,00215,TOTAL,1788,577017.47,449380.07,
