CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17969,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
CARDIOVASCULAR,33010,80S,N/A,10.39,8.14,
CARDIOVASCULAR,33010,OTHER,4740,493110.37,384209.98,
CARDIOVASCULAR,33010,TOTAL,4741,493120.76,384218.12,
CARDIOVASCULAR,33011,OTHER,79,8620.0400000000009,6698.97,
CARDIOVASCULAR,33011,TOTAL,79,8620.0400000000009,6698.97,
CARDIOVASCULAR,33015,80S,N/A,0,0,
CARDIOVASCULAR,33015,OTHER,806,376396.43,293726.27,
CARDIOVASCULAR,33015,TOTAL,806,376396.43,293726.27,
CARDIOVASCULAR,33020,80S,61,5870.75,4539.4399999999996,
CARDIOVASCULAR,33020,OTHER,196,143196.73000000001,112600.13,
CARDIOVASCULAR,33020,TOTAL,257,149067.48000000001,117139.57,
CARDIOVASCULAR,33025,80S,1620,179217.91,140222.01999999999,
CARDIOVASCULAR,33025,OTHER,5137,4012415.03,3136207.55,
CARDIOVASCULAR,33025,TOTAL,6757,4191632.94,3276429.57,
CARDIOVASCULAR,33030,80S,175,47515.29,37231.97,
CARDIOVASCULAR,33030,OTHER,462,852408.13,666437.12,
CARDIOVASCULAR,33030,TOTAL,637,899923.42,703669.09,
CARDIOVASCULAR,33031,80S,130,40591.410000000003,31539.89,
CARDIOVASCULAR,33031,OTHER,241,508625.95,392024.09,
CARDIOVASCULAR,33031,TOTAL,371,549217.36,423563.98,
CARDIOVASCULAR,33050,80S,33,3097.48,2438.41,
CARDIOVASCULAR,33050,OTHER,99,62781.61,49138.5,
CARDIOVASCULAR,33050,TOTAL,132,65879.09,51576.91,
CARDIOVASCULAR,33120,80S,364,98910.98,77338.350000000006,
CARDIOVASCULAR,33120,OTHER,684,1270638.2,990005.72,
CARDIOVASCULAR,33120,TOTAL,1048,1369549.18,1067344.07,
CARDIOVASCULAR,33130,80S,19,2597.63,2042.65,
CARDIOVASCULAR,33130,OTHER,43,40418.97,31347.94,
CARDIOVASCULAR,33130,TOTAL,62,43016.6,33390.589999999997,
CARDIOVASCULAR,33140,80S,24,5209.17,4087.3,
CARDIOVASCULAR,33140,OTHER,37,57765.33,44348.41,
CARDIOVASCULAR,33140,TOTAL,61,62974.5,48435.71,
CARDIOVASCULAR,33141,80S,354,6567.4,5117.12,
CARDIOVASCULAR,33141,OTHER,576,75522.83,59169.7,
CARDIOVASCULAR,33141,TOTAL,930,82090.23,64286.82,
CARDIOVASCULAR,33202,80S,N/A,0,0,
CARDIOVASCULAR,33202,OTHER,2057,1244006.1399999999,972530.89,
CARDIOVASCULAR,33202,TOTAL,2057,1244006.1399999999,972530.89,
CARDIOVASCULAR,33203,80S,N/A,0,0,
CARDIOVASCULAR,33203,OTHER,195,144069.20000000001,112282.99,
CARDIOVASCULAR,33203,TOTAL,195,144069.20000000001,112282.99,
CARDIOVASCULAR,33206,80S,N/A,0,0,
CARDIOVASCULAR,33206,OTHER,1296,552137.04,431276.77,
CARDIOVASCULAR,33206,TOTAL,1296,552137.04,431276.77,
CARDIOVASCULAR,33207,80S,N/A,0,0,
CARDIOVASCULAR,33207,SG,N/A,26307.279999999999,20835.38,
CARDIOVASCULAR,33207,OTHER,22346,10367808.48,8126893.2999999998,
CARDIOVASCULAR,33207,TOTAL,22350,10394115.76,8147728.6799999997,
CARDIOVASCULAR,33208,80S,N/A,79.03,61.96,
CARDIOVASCULAR,33208,SG,24,214499.08,168423.33,
CARDIOVASCULAR,33208,OTHER,109158,56532276.060000002,44242425.840000004,
CARDIOVASCULAR,33208,TOTAL,109183,56746854.170000002,44410911.130000003,
CARDIOVASCULAR,33210,80S,N/A,72.89,57.14,
CARDIOVASCULAR,33210,OTHER,11658,1855377.93,1445782.41,
CARDIOVASCULAR,33210,TOTAL,11661,1855450.82,1445839.55,
CARDIOVASCULAR,33211,80S,N/A,0,0,
CARDIOVASCULAR,33211,OTHER,331,48127.48,37564.6,
CARDIOVASCULAR,33211,TOTAL,331,48127.48,37564.6,
CARDIOVASCULAR,33212,80S,N/A,0,0,
CARDIOVASCULAR,33212,OTHER,1485,491912.25,383559.67999999999,
CARDIOVASCULAR,33212,TOTAL,1485,491912.25,383559.67999999999,
CARDIOVASCULAR,33213,80S,N/A,0,0,
CARDIOVASCULAR,33213,SG,N/A,6717.9,5374.32,
CARDIOVASCULAR,33213,OTHER,4567,1582440.06,1234002.6000000001,
CARDIOVASCULAR,33213,TOTAL,4568,1589157.96,1239376.92,
CARDIOVASCULAR,33214,80S,N/A,218.17,171.04,
CARDIOVASCULAR,33214,SG,N/A,20038.98,15710.56,
CARDIOVASCULAR,33214,OTHER,556,253432.45,197322.43,
CARDIOVASCULAR,33214,TOTAL,561,273689.59999999998,213204.03,
CARDIOVASCULAR,33215,80S,N/A,0,0,
CARDIOVASCULAR,33215,SG,N/A,1376.68,1079.32,
CARDIOVASCULAR,33215,OTHER,4213,1067767.0900000001,836229.76,
CARDIOVASCULAR,33215,TOTAL,4215,1069143.77,837309.08,
CARDIOVASCULAR,33216,80S,N/A,0,0,
CARDIOVASCULAR,33216,SG,N/A,2260.7399999999998,1772.42,
CARDIOVASCULAR,33216,OTHER,5157,1464426.09,1143203.1000000001,
CARDIOVASCULAR,33216,TOTAL,5158,1466686.83,1144975.52,
CARDIOVASCULAR,33217,80S,N/A,0,0,
CARDIOVASCULAR,33217,OTHER,1548,439071.9,343391.58,
CARDIOVASCULAR,33217,TOTAL,1548,439071.9,343391.58,
CARDIOVASCULAR,33218,80S,N/A,0,0,
CARDIOVASCULAR,33218,OTHER,803,268604.90999999997,209040.02,
CARDIOVASCULAR,33218,TOTAL,803,268604.90999999997,209040.02,
CARDIOVASCULAR,33220,80S,N/A,0,0,
CARDIOVASCULAR,33220,OTHER,153,55909.1,43759.43,
CARDIOVASCULAR,33220,TOTAL,153,55909.1,43759.43,
CARDIOVASCULAR,33221,OTHER,366,144353.54,112758.01,
CARDIOVASCULAR,33221,TOTAL,366,144353.54,112758.01,
CARDIOVASCULAR,33222,80S,N/A,0,0,
CARDIOVASCULAR,33222,SG,N/A,333.65,261.58,
CARDIOVASCULAR,33222,OTHER,4728,1125856.82,879700.92,
CARDIOVASCULAR,33222,TOTAL,4729,1126190.47,879962.5,
CARDIOVASCULAR,33223,80S,17,917.51,723.41,
CARDIOVASCULAR,33223,OTHER,4335,1507832.73,1177662.68,
CARDIOVASCULAR,33223,TOTAL,4352,1508750.24,1178386.0900000001,
CARDIOVASCULAR,33224,80S,N/A,0,0,
CARDIOVASCULAR,33224,OTHER,2010,850619.69,663828.36,
CARDIOVASCULAR,33224,TOTAL,2010,850619.69,663828.36,
CARDIOVASCULAR,33225,80S,N/A,0,0,
CARDIOVASCULAR,33225,SG,N/A,28849.02,22617.63,
CARDIOVASCULAR,33225,OTHER,31561,14302646.630000001,11215564.17,
CARDIOVASCULAR,33225,TOTAL,31564,14331495.65,11238181.800000001,
CARDIOVASCULAR,33226,80S,N/A,0,0,
CARDIOVASCULAR,33226,SG,N/A,2020.75,1584.27,
CARDIOVASCULAR,33226,OTHER,625,290178.23,226243.08,
CARDIOVASCULAR,33226,TOTAL,628,292198.98,227827.35,
CARDIOVASCULAR,33227,80S,N/A,0,0,
CARDIOVASCULAR,33227,SG,N/A,16140.28,12653.97,
CARDIOVASCULAR,33227,OTHER,7932,3001420.35,2337189.4700000002,
CARDIOVASCULAR,33227,TOTAL,7935,3017560.63,2349843.44,
CARDIOVASCULAR,33228,80S,N/A,0,0,
CARDIOVASCULAR,33228,SG,22,151312.25,118628.89,
CARDIOVASCULAR,33228,OTHER,37048,15206614.43,11829810,
CARDIOVASCULAR,33228,TOTAL,37070,15357926.68,11948438.890000001,
CARDIOVASCULAR,33229,80S,N/A,0,0,
CARDIOVASCULAR,33229,OTHER,2645,965666.64,747365.03,
CARDIOVASCULAR,33229,TOTAL,2645,965666.64,747365.03,
CARDIOVASCULAR,33230,80S,N/A,0,0,
CARDIOVASCULAR,33230,OTHER,393,289057.39,226012.92,
CARDIOVASCULAR,33230,TOTAL,393,289057.39,226012.92,
CARDIOVASCULAR,33231,80S,N/A,0,0,
CARDIOVASCULAR,33231,OTHER,251,91902.31,71926.36,
CARDIOVASCULAR,33231,TOTAL,251,91902.31,71926.36,
CARDIOVASCULAR,33233,80S,N/A,0,0,
CARDIOVASCULAR,33233,OTHER,9685,1267581.82,991490.75,
CARDIOVASCULAR,33233,TOTAL,9685,1267581.82,991490.75,
CARDIOVASCULAR,33234,80S,N/A,0,0,
CARDIOVASCULAR,33234,SG,N/A,1010.37,792.13,
CARDIOVASCULAR,33234,OTHER,3055,1145252.33,896768.1,
CARDIOVASCULAR,33234,TOTAL,3056,1146262.7,897560.23,
CARDIOVASCULAR,33235,80S,N/A,0,0,
CARDIOVASCULAR,33235,OTHER,3462,1931932.35,1514081.41,
CARDIOVASCULAR,33235,TOTAL,3462,1931932.35,1514081.41,
CARDIOVASCULAR,33236,80S,N/A,389.55,309.08999999999997,
