CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2575,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
RADIOLOGY,70010,26,N/A,0,0,
RADIOLOGY,70010,GLOBL,11,591.07000000000005,466.3,
RADIOLOGY,70010,TOTAL,11,591.07000000000005,466.3,
RADIOLOGY,70015,26,109,6300.53,4873.6899999999996,
RADIOLOGY,70015,GLOBL,N/A,1121.95,881.98,
RADIOLOGY,70015,TOTAL,116,7422.48,5755.67,
RADIOLOGY,70030,26,19821,162482.07,119884.8,
RADIOLOGY,70030,TC,1264,26125.59,19065.400000000001,
RADIOLOGY,70030,GLOBL,4932,149047.71,108350.37,
RADIOLOGY,70030,TOTAL,26017,337655.37,247300.57,
RADIOLOGY,70100,26,13543,117887.44,91099.38,
RADIOLOGY,70100,TC,592,15716.02,11740.89,
RADIOLOGY,70100,GLOBL,7953,270848.37,210568.73,
RADIOLOGY,70100,TOTAL,22088,404451.83,313409,
RADIOLOGY,70110,26,8611,105439.18,75948.59,
RADIOLOGY,70110,TC,678,18550.32,13333.48,
RADIOLOGY,70110,GLOBL,2078,85858.51,60710.239999999998,
RADIOLOGY,70110,TOTAL,11367,209848.01,149992.31,
RADIOLOGY,70120,26,192,1679.11,1204.55,
RADIOLOGY,70120,TC,31,859.26,631.30999999999995,
RADIOLOGY,70120,GLOBL,281,10245.6,7169.91,
RADIOLOGY,70120,TOTAL,504,12783.97,9005.77,
RADIOLOGY,70130,26,279,4606.6499999999996,3425.65,
RADIOLOGY,70130,TC,50,2083,1555.38,
RADIOLOGY,70130,GLOBL,208,12553.36,9118.16,
RADIOLOGY,70130,TOTAL,537,19243.009999999998,14099.19,
RADIOLOGY,70134,26,12,198.57,156.99,
RADIOLOGY,70134,TC,N/A,55.92,44.28,
RADIOLOGY,70134,GLOBL,44,1979.05,1480.33,
RADIOLOGY,70134,TOTAL,58,2233.54,1681.6,
RADIOLOGY,70140,26,4829,47891.360000000001,35390.06,
RADIOLOGY,70140,TC,1392,30133.1,22824.99,
RADIOLOGY,70140,GLOBL,4197,135101.51999999999,100910.68,
RADIOLOGY,70140,TOTAL,10418,213125.98,159125.73000000001,
RADIOLOGY,70150,26,13643,170865.43,123578.48,
RADIOLOGY,70150,TC,2390,71427.86,51921.69,
RADIOLOGY,70150,GLOBL,6341,278842.89,201152.99,
RADIOLOGY,70150,TOTAL,22374,521136.18,376653.16,
RADIOLOGY,70160,26,15025,128196.89,91899.61,
RADIOLOGY,70160,TC,1547,39138.480000000003,28272.44,
RADIOLOGY,70160,GLOBL,5071,176424.09,127697.59,
RADIOLOGY,70160,TOTAL,21643,343759.46,247869.64,
