CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3221,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PATH/LAB,80047,26,N/A,0,0,
PATH/LAB,80047,GLOBL,163422,1774966.37,1732983.33,
PATH/LAB,80047,TOTAL,163422,1774966.37,1732983.33,
PATH/LAB,80048,26,N/A,0,0,
PATH/LAB,80048,TC,N/A,0,0,
PATH/LAB,80048,GLOBL,8666948.0999999996,84227600.109999999,82752226.329999998,
PATH/LAB,80048,TOTAL,8666948.0999999996,84227600.109999999,82752226.329999998,
PATH/LAB,80050,26,N/A,0,0,
PATH/LAB,80050,TC,N/A,0,0,
PATH/LAB,80050,GLOBL,21,21,21,
PATH/LAB,80050,TOTAL,21,21,21,
PATH/LAB,80051,26,N/A,0,0,
PATH/LAB,80051,GLOBL,544965,2484483.66,2441282.84,
PATH/LAB,80051,TOTAL,544965,2484483.66,2441282.84,
PATH/LAB,80053,26,N/A,0,0,
PATH/LAB,80053,TC,N/A,0,0,
PATH/LAB,80053,GLOBL,28482830,321122215.44,315482182.54000002,
PATH/LAB,80053,TOTAL,28482830,321122215.44,315482182.54000002,
PATH/LAB,80055,GLOBL,N/A,0,0,
PATH/LAB,80055,TOTAL,N/A,0,0,
PATH/LAB,80061,26,N/A,0,0,
PATH/LAB,80061,TC,N/A,0,0,
PATH/LAB,80061,GLOBL,20554439,294906199.05000001,289720051.79000002,
PATH/LAB,80061,TOTAL,20554439,294906199.05000001,289720051.79000002,
PATH/LAB,80069,26,N/A,0,0,
PATH/LAB,80069,GLOBL,987834,10391439.5,10191576.68,
PATH/LAB,80069,TOTAL,987834,10391439.5,10191576.68,
PATH/LAB,80074,26,N/A,0,0,
PATH/LAB,80074,GLOBL,124007,7999682.7000000002,7862530.8399999999,
PATH/LAB,80074,TOTAL,124007,7999682.7000000002,7862530.8399999999,
PATH/LAB,80076,26,N/A,0,0,
PATH/LAB,80076,GLOBL,2451175,18808991.5,18456657.859999999,
PATH/LAB,80076,TOTAL,2451175,18808991.5,18456657.859999999,
PATH/LAB,80100,GLOBL,N/A,0,0,
PATH/LAB,80100,TOTAL,N/A,0,0,
PATH/LAB,80101,26,N/A,0,0,
PATH/LAB,80101,GLOBL,71,71,71,
PATH/LAB,80101,TOTAL,71,71,71,
PATH/LAB,80102,26,N/A,0,0,
PATH/LAB,80102,GLOBL,684564,12426960.41,12188132.789999999,
PATH/LAB,80102,TOTAL,684564,12426960.41,12188132.789999999,
PATH/LAB,80103,GLOBL,N/A,0,0,
PATH/LAB,80103,TOTAL,N/A,0,0,
PATH/LAB,80104,26,N/A,0,0,
PATH/LAB,80104,GLOBL,N/A,0,0,
PATH/LAB,80104,TOTAL,N/A,0,0,
PATH/LAB,80150,GLOBL,5621,113906.47,112209.56,
PATH/LAB,80150,TOTAL,5621,113906.47,112209.56,
PATH/LAB,80152,GLOBL,336207,8261629.8399999999,8080798.6200000001,
PATH/LAB,80152,TOTAL,336207,8261629.8399999999,8080798.6200000001,
PATH/LAB,80154,GLOBL,2091271,52787226.039999999,51672712.18,
PATH/LAB,80154,TOTAL,2091271,52787226.039999999,51672712.18,
PATH/LAB,80156,26,N/A,0,0,
PATH/LAB,80156,GLOBL,106379,2108852.62,2074974.03,
PATH/LAB,80156,TOTAL,106379,2108852.62,2074974.03,
PATH/LAB,80157,GLOBL,2196,39833.06,39138.49,
PATH/LAB,80157,TOTAL,2196,39833.06,39138.49,
PATH/LAB,80158,26,N/A,0,0,
PATH/LAB,80158,GLOBL,46521,1130599.17,1103654.2,
PATH/LAB,80158,TOTAL,46521,1130599.17,1103654.2,
PATH/LAB,80160,GLOBL,307714,7271677.3499999996,7109818.3099999996,
PATH/LAB,80160,TOTAL,307714,7271677.3499999996,7109818.3099999996,
PATH/LAB,80162,26,N/A,0,0,
PATH/LAB,80162,GLOBL,365787,6675206.7199999997,6570113.6200000001,
PATH/LAB,80162,TOTAL,365787,6675206.7199999997,6570113.6200000001,
PATH/LAB,80164,26,N/A,0,0,
PATH/LAB,80164,GLOBL,391347,6962213.8399999999,6853543.96,
PATH/LAB,80164,TOTAL,391347,6962213.8399999999,6853543.96,
PATH/LAB,80166,GLOBL,58039,1212092.45,1188189.19,
PATH/LAB,80166,TOTAL,58039,1212092.45,1188189.19,
PATH/LAB,80168,GLOBL,384,7980.26,7797.78,
PATH/LAB,80168,TOTAL,384,7980.26,7797.78,
PATH/LAB,80170,26,N/A,0,0,
PATH/LAB,80170,GLOBL,13141,284401.67,280160.64000000001,
PATH/LAB,80170,TOTAL,13141,284401.67,280160.64000000001,
PATH/LAB,80172,GLOBL,17,380.63,376.13,
PATH/LAB,80172,TOTAL,17,380.63,376.13,
PATH/LAB,80173,GLOBL,2495,48712.7,47788.39,
PATH/LAB,80173,TOTAL,2495,48712.7,47788.39,
PATH/LAB,80174,GLOBL,304097,7186204.2800000003,7027583.6900000004,
PATH/LAB,80174,TOTAL,304097,7186204.2800000003,7027583.6900000004,
PATH/LAB,80176,GLOBL,226,4402.04,4313.6099999999997,
PATH/LAB,80176,TOTAL,226,4402.04,4313.6099999999997,
PATH/LAB,80178,26,N/A,0,0,
PATH/LAB,80178,GLOBL,121904,1107604.6399999999,1089473.99,
PATH/LAB,80178,TOTAL,121904,1107604.6399999999,1089473.99,
PATH/LAB,80182,GLOBL,338797,6171691.6399999997,6034918.9699999997,
PATH/LAB,80182,TOTAL,338797,6171691.6399999997,6034918.9699999997,
PATH/LAB,80184,26,N/A,0,0,
PATH/LAB,80184,GLOBL,461733,7236268.5,7085072.7300000004,
PATH/LAB,80184,TOTAL,461733,7236268.5,7085072.7300000004,
PATH/LAB,80185,26,N/A,0,0,
PATH/LAB,80185,GLOBL,288801,5260703.37,5179015.5999999996,
PATH/LAB,80185,TOTAL,288801,5260703.37,5179015.5999999996,
PATH/LAB,80186,GLOBL,15865,298984.46000000002,294168.3,
PATH/LAB,80186,TOTAL,15865,298984.46000000002,294168.3,
PATH/LAB,80188,GLOBL,11643,256875.36,252320.11,
PATH/LAB,80188,TOTAL,11643,256875.36,252320.11,
PATH/LAB,80190,GLOBL,N/A,138.18,136.34,
PATH/LAB,80190,TOTAL,N/A,138.18,136.34,
PATH/LAB,80192,26,N/A,0,0,
PATH/LAB,80192,GLOBL,21,483.63,476.73,
PATH/LAB,80192,TOTAL,21,483.63,476.73,
PATH/LAB,80194,GLOBL,268,5362.32,5288.5,
PATH/LAB,80194,TOTAL,268,5362.32,5288.5,
PATH/LAB,80195,26,N/A,0,0,
PATH/LAB,80195,GLOBL,26344,495179.28,482002.58,
PATH/LAB,80195,TOTAL,26344,495179.28,482002.58,
PATH/LAB,80196,26,N/A,0,0,
PATH/LAB,80196,GLOBL,1134,11045.2,10833.71,
PATH/LAB,80196,TOTAL,1134,11045.2,10833.71,
PATH/LAB,80197,26,N/A,0,0,
PATH/LAB,80197,GLOBL,298254,5518817.7699999996,5371750.3099999996,
PATH/LAB,80197,TOTAL,298254,5518817.7699999996,5371750.3099999996,
PATH/LAB,80198,26,N/A,0,0,
PATH/LAB,80198,GLOBL,24353,467522.42,459797.2,
PATH/LAB,80198,TOTAL,24353,467522.42,459797.2,
PATH/LAB,80200,GLOBL,4063,88185.44,86587.1,
PATH/LAB,80200,TOTAL,4063,88185.44,86587.1,
PATH/LAB,80201,GLOBL,8640,141181.91,138655.32999999999,
PATH/LAB,80201,TOTAL,8640,141181.91,138655.32999999999,
PATH/LAB,80202,26,N/A,0,0,
PATH/LAB,80202,GLOBL,118788,2080712.44,2047540.13,
PATH/LAB,80202,TOTAL,118788,2080712.44,2047540.13,
PATH/LAB,80299,26,N/A,0,0,
PATH/LAB,80299,GLOBL,714378,13217867.99,12949053.720000001,
PATH/LAB,80299,TOTAL,714378,13217867.99,12949053.720000001,
PATH/LAB,80400,GLOBL,1683,74503.600000000006,71850.880000000005,
PATH/LAB,80400,TOTAL,1683,74503.600000000006,71850.880000000005,
PATH/LAB,80402,GLOBL,N/A,477.34,472.56,
PATH/LAB,80402,TOTAL,N/A,477.34,472.56,
PATH/LAB,80406,GLOBL,N/A,107.56,105.41,
PATH/LAB,80406,TOTAL,N/A,107.56,105.41,
PATH/LAB,80408,GLOBL,14,2119.71,2097.41,
PATH/LAB,80408,TOTAL,14,2119.71,2097.41,
PATH/LAB,80410,GLOBL,N/A,331.38,326.95999999999998,
PATH/LAB,80410,TOTAL,N/A,331.38,326.95999999999998,
PATH/LAB,80412,GLOBL,N/A,1359.18,1350.12,
PATH/LAB,80412,TOTAL,N/A,1359.18,1350.12,
PATH/LAB,80414,GLOBL,36,2493.3200000000002,2449.3000000000002,
PATH/LAB,80414,TOTAL,36,2493.3200000000002,2449.3000000000002,
PATH/LAB,80415,GLOBL,275,20979.9,20636.400000000001,
PATH/LAB,80415,TOTAL,275,20979.9,20636.400000000001,
PATH/LAB,80418,GLOBL,153,121898.16,119391.77,
PATH/LAB,80418,TOTAL,153,121898.16,119391.77,
PATH/LAB,80420,GLOBL,N/A,99,97.02,
PATH/LAB,80420,TOTAL,N/A,99,97.02,
PATH/LAB,80422,GLOBL,N/A,569.70000000000005,559.54,
PATH/LAB,80422,TOTAL,N/A,569.70000000000005,559.54,
PATH/LAB,80424,GLOBL,18,901.28,885.19,
PATH/LAB,80424,TOTAL,18,901.28,885.19,
PATH/LAB,80426,GLOBL,N/A,1883.08,1877.12,
PATH/LAB,80426,TOTAL,N/A,1883.08,1877.12,
PATH/LAB,80428,GLOBL,31,2843.32,2759.52,
PATH/LAB,80428,TOTAL,31,2843.32,2759.52,
PATH/LAB,80430,GLOBL,N/A,431.56,422.92,
PATH/LAB,80430,TOTAL,N/A,431.56,422.92,
PATH/LAB,80432,GLOBL,219,40595.15,39951.11,
PATH/LAB,80432,TOTAL,219,40595.15,39951.11,
PATH/LAB,80434,GLOBL,224,31130.61,30616.42,
PATH/LAB,80434,TOTAL,224,31130.61,30616.42,
PATH/LAB,80435,GLOBL,14,1965.6,1807.51,
PATH/LAB,80435,TOTAL,14,1965.6,1807.51,
PATH/LAB,80438,GLOBL,39,2597.6799999999998,2562.23,
PATH/LAB,80438,TOTAL,39,2597.6799999999998,2562.23,
PATH/LAB,80439,GLOBL,198,18272.099999999999,17853.939999999999,
PATH/LAB,80439,TOTAL,198,18272.099999999999,17853.939999999999,
PATH/LAB,80440,GLOBL,N/A,639.36,626.55999999999995,
PATH/LAB,80440,TOTAL,N/A,639.36,626.55999999999995,
PATH/LAB,80500,26,N/A,0,0,
PATH/LAB,80500,GLOBL,36959,676899.65,515441.81,
PATH/LAB,80500,TOTAL,36959,676899.65,515441.81,
PATH/LAB,80502,GLOBL,17494,1125910.17,854600.54,
PATH/LAB,80502,TOTAL,17494,1125910.17,854600.54,
PATH/LAB,81000,26,N/A,0,0,
PATH/LAB,81000,GLOBL,2911785,12653208.439999999,12356992.85,
PATH/LAB,81000,TOTAL,2911785,12653208.439999999,12356992.85,
PATH/LAB,81001,26,N/A,0,0,
PATH/LAB,81001,GLOBL,7225437.2999999998,31412552.640000001,30779107.239999998,
PATH/LAB,81001,TOTAL,7225437.2999999998,31412552.640000001,30779107.239999998,
PATH/LAB,81002,26,N/A,0,0,
PATH/LAB,81002,TC,N/A,0,0,
PATH/LAB,81002,GLOBL,4430646.0999999996,15443959.24,15101435.939999999,
PATH/LAB,81002,TOTAL,4430646.0999999996,15443959.24,15101435.939999999,
PATH/LAB,81003,26,N/A,0,0,
PATH/LAB,81003,TC,N/A,0,0,
