CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1616,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,14308131.9,322003684.20999998,315566813.97000003,
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,14308131.9,322003684.20999998,315566813.97000003,
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,1499733.1,34363216.390000001,33736045.789999999,
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,1499733.1,34363216.390000001,33736045.789999999,
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,56461,1373842.08,1350241.78,
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,56461,1373842.08,1350241.78,
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,132,1176.0999999999999,1167.54,
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,132,1176.0999999999999,1167.54,
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1093951.1000000001,40532659.119999997,39849200.82,
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1093951.1000000001,40532659.119999997,39849200.82,
PROCEDURES/PROFESSIONAL SERVICES,G0102,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,45759,881613.3,496007.52,
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,45759,881613.3,496007.52,
PROCEDURES/PROFESSIONAL SERVICES,G0103,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0103,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1365467,34467258.399999999,33890506.520000003,
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1365467,34467258.399999999,33890506.520000003,
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,2665,221651.77,217435.77,
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,2665,221651.77,217435.77,
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,4582,292534.7,287462.01,
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,379073,97835504.140000001,96131230.010000005,
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,383655,98128038.840000004,96418692.019999996,
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,11,534.14,419.47,
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,29,2415.06,1895.92,
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,40,2949.2,2315.39,
PROCEDURES/PROFESSIONAL SERVICES,G0108,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,116980.7,5988378.6699999999,4389725.54,
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,116980.7,5988378.6699999999,4389725.54,
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,121663.5,1681250.37,1250851.8799999999,
