CPT only copyright 2013 American Medical Association. All rights reserved.,,,,,,
"2013 Part B National Summary Data File
Code Range: 20) Durable Medical Equipment Regional (K0000 - K9999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-247,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0001,,1524662,66079310.030000001,48433961.25,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0001,TOTAL,1524662,66079310.030000001,48433961.25,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0002,,64454,4131873.7,3051380.64,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0002,TOTAL,64454,4131873.7,3051380.64,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0003,,791202,56191526.68,41850015.359999999,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0003,TOTAL,791202,56191526.68,41850015.359999999,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0004,,503405,52022456.130000003,39033399.710000001,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0004,TOTAL,503405,52022456.130000003,39033399.710000001,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0005,,6293,9453599.3800000008,7307509.2599999998,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0005,TOTAL,6293,9453599.3800000008,7307509.2599999998,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0006,,91051,9043464.2100000009,6800595.3700000001,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0006,TOTAL,91051,9043464.2100000009,6800595.3700000001,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0007,,67293,9936661.0500000007,7516839.7300000004,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0007,TOTAL,67293,9936661.0500000007,7516839.7300000004,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0009,,76,173615.54,129643.16,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0009,TOTAL,76,173615.54,129643.16,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0010,,17,5595.67,4400.09,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0010,TOTAL,17,5595.67,4400.09,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0011,,84,40427.08,31376.07,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0011,TOTAL,84,40427.08,31376.07,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0012,,N/A,2112.7800000000002,1668.04,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0012,TOTAL,N/A,2112.7800000000002,1668.04,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0014,,N/A,0,0,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0014,TOTAL,N/A,0,0,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0015,,3997,615018.03,478260.05,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0015,TOTAL,3997,615018.03,478260.05,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0017,,1520,70331.87,53760.1,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0017,TOTAL,1520,70331.87,53760.1,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0018,,1517,40388.33,31021.98,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0018,TOTAL,1517,40388.33,31021.98,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0019,,36836,553171.85,416651.27,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0019,TOTAL,36836,553171.85,416651.27,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0020,,7860,56902.18,42695.02,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0020,TOTAL,7860,56902.18,42695.02,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0037,,187,6447.94,4929.43,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0037,TOTAL,187,6447.94,4929.43,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0038,,2867,66350.080000000002,51326.33,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0038,TOTAL,2867,66350.080000000002,51326.33,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0039,,2464,129904.13,101992.17,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0039,TOTAL,2464,129904.13,101992.17,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0040,,24294,1640721.71,1282377.51,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0040,TOTAL,24294,1640721.71,1282377.51,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0041,,532,25296.95,19582.61,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0041,TOTAL,532,25296.95,19582.61,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0042,,1028,33036.99,24976.22,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0042,TOTAL,1028,33036.99,24976.22,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0043,,1426,26493.49,20260.29,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0043,TOTAL,1426,26493.49,20260.29,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0044,,811,12500.72,9194.99,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0044,TOTAL,811,12500.72,9194.99,
DURABLE MEDICAL EQUIPMENT REGIONAL (DMERCS),K0045,,961,38957.99,28412.75,
