CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
CARDIOVASCULAR,33010,80S,N/A,0,0,,,
CARDIOVASCULAR,33010,OTHER,4944,528142.92000000004,409378.15,,,
CARDIOVASCULAR,33010,TOTAL,4944,528142.92000000004,409378.15,,,
CARDIOVASCULAR,33011,OTHER,85,9198.82,7198.25,,,
CARDIOVASCULAR,33011,TOTAL,85,9198.82,7198.25,,,
CARDIOVASCULAR,33015,80S,N/A,0,0,,,
CARDIOVASCULAR,33015,OTHER,875,417566.98,324636.03999999998,,,
CARDIOVASCULAR,33015,TOTAL,875,417566.98,324636.03999999998,,,
CARDIOVASCULAR,33020,80S,51,5462.69,4282.72,,,
CARDIOVASCULAR,33020,OTHER,177,130881.28,102277.71,,,
CARDIOVASCULAR,33020,TOTAL,228,136343.97,106560.43,,,
CARDIOVASCULAR,33025,80S,1643,184590.68,143605.29,,,
CARDIOVASCULAR,33025,OTHER,4956,3931735.58,3058936.35,,,
CARDIOVASCULAR,33025,TOTAL,6599,4116326.26,3202541.64,,,
CARDIOVASCULAR,33030,80S,134,37729.199999999997,29369.59,,,
CARDIOVASCULAR,33030,OTHER,406,785277.42,610271.68000000005,,,
CARDIOVASCULAR,33030,TOTAL,540,823006.62,639641.27,,,
CARDIOVASCULAR,33031,80S,114,37828.120000000003,29657.119999999999,,,
CARDIOVASCULAR,33031,OTHER,250,567777.56000000006,445137.43,,,
CARDIOVASCULAR,33031,TOTAL,364,605605.68000000005,474794.55,,,
CARDIOVASCULAR,33050,80S,28,2895.26,2269.9299999999998,,,
CARDIOVASCULAR,33050,OTHER,99,69713.2,52910.14,,,
CARDIOVASCULAR,33050,TOTAL,127,72608.459999999992,55180.07,,,
CARDIOVASCULAR,33120,80S,369,103279.06,80492,,,
CARDIOVASCULAR,33120,OTHER,645,1247915.33,970403.08,,,
CARDIOVASCULAR,33120,TOTAL,1014,1351194.39,1050895.08,,,
CARDIOVASCULAR,33130,80S,20,2931.01,2317.83,,,
CARDIOVASCULAR,33130,OTHER,34,35604.58,27913.94,,,
