CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 03) Radiology (70000 - 79999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-2548 ,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
RADIOLOGY,70010,26,N/A,63.21,49.56,,,
RADIOLOGY,70010,TC,N/A,0,0,,,
RADIOLOGY,70010,GLOBL,22,1385.72,981.35,,,
RADIOLOGY,70010,TOTAL,23,1448.93,1030.9100000000001,,,
RADIOLOGY,70015,26,94,5703.8,4254.83,,,
RADIOLOGY,70015,TC,N/A,107.77,84.5,,,
RADIOLOGY,70015,GLOBL,21,3201.55,2509.9699999999998,,,
RADIOLOGY,70015,TOTAL,116,9013.1200000000008,6849.2999999999993,,,
RADIOLOGY,70030,26,17850,154177.59,114070.41,,,
RADIOLOGY,70030,TC,1135,23286.99,17208.990000000002,,,
RADIOLOGY,70030,GLOBL,4554,138839.06,101590.51,,,
RADIOLOGY,70030,TOTAL,23539,316303.64,232869.91,,,
RADIOLOGY,70100,26,13485,123593.94,95104.16,,,
RADIOLOGY,70100,TC,548,14080.16,10340.58,,,
RADIOLOGY,70100,GLOBL,8448,286665.17,221432.72,,,
RADIOLOGY,70100,TOTAL,22481,424339.27,326877.46000000002,,,
RADIOLOGY,70110,26,8194,105471.86,75783.839999999997,,,
RADIOLOGY,70110,TC,650,17463.64,12586.49,,,
RADIOLOGY,70110,GLOBL,1941,80085.27,56879,,,
RADIOLOGY,70110,TOTAL,10785,203020.77,145249.32999999999,,,
RADIOLOGY,70120,26,192,1756.48,1274.82,,,
RADIOLOGY,70120,TC,30,808.91,564.71,,,
RADIOLOGY,70120,GLOBL,153,5431.52,3920.94,,,
RADIOLOGY,70120,TOTAL,375,7996.91,5760.47,,,
RADIOLOGY,70130,26,242,4176.96,3111.59,,,
RADIOLOGY,70130,TC,20,822.62,582.76,,,
RADIOLOGY,70130,GLOBL,157,9314.94,6543.56,,,
RADIOLOGY,70130,TOTAL,419,14314.52,10237.91,,,
RADIOLOGY,70134,26,N/A,95.57,74.94,,,
RADIOLOGY,70134,TC,N/A,89.56,70.2,,,
RADIOLOGY,70134,GLOBL,24,1270.52,956.06,,,
RADIOLOGY,70134,TOTAL,31,1455.65,1101.2,,,
RADIOLOGY,70140,26,4441,46341.16,34179.93,,,
RADIOLOGY,70140,TC,1213,25271.73,19049.419999999998,,,
RADIOLOGY,70140,GLOBL,4036,127339.69,94931.67,,,
RADIOLOGY,70140,TOTAL,9690,198952.58,148161.01999999999,,,
RADIOLOGY,70150,26,13014,171182.45,122542.42,,,
RADIOLOGY,70150,TC,2476,72536.149999999994,52646.3,,,
RADIOLOGY,70150,GLOBL,5827,253988.88,182612.05,,,
RADIOLOGY,70150,TOTAL,21317,497707.48,357800.77,,,
RADIOLOGY,70160,26,13594,122024.42,87145.59,,,
RADIOLOGY,70160,TC,1635,41052.97,29738.53,,,
RADIOLOGY,70160,GLOBL,5013,174846.92,126494.07,,,
RADIOLOGY,70160,TOTAL,20242,337924.31000000011,243378.19,,,
RADIOLOGY,70170,26,159,2507.4699999999998,1948.38,,,
RADIOLOGY,70170,TC,N/A,123.54,96.84,,,
RADIOLOGY,70170,GLOBL,11,538.75,372.16,,,
RADIOLOGY,70170,TOTAL,173,3169.76,2417.38,,,
RADIOLOGY,70190,26,160,1831.04,1377.84,,,
RADIOLOGY,70190,TC,63,1774.26,1371.97,,,
RADIOLOGY,70190,GLOBL,130,4696.8100000000004,3321.81,,,
RADIOLOGY,70190,TOTAL,353,8302.11,6071.62,,,
RADIOLOGY,70200,26,4818,68728.92,50264.44,,,
RADIOLOGY,70200,TC,759,22871.7,16743.53,,,
RADIOLOGY,70200,GLOBL,2985,135759.67000000001,100677.69,,,
RADIOLOGY,70200,TOTAL,8562,227360.29,167685.66,,,
RADIOLOGY,70210,26,13524,118299.02,83624.42,,,
RADIOLOGY,70210,TC,6234,129196.17,87792.82,,,
RADIOLOGY,70210,GLOBL,35771,1057994.78,744968.9,,,
RADIOLOGY,70210,TOTAL,55529,1305489.97,916386.14,,,
RADIOLOGY,70220,26,36843,468506.32,333861.40999999997,,,
RADIOLOGY,70220,TC,9680,244442.25,171057.46,,,
RADIOLOGY,70220,GLOBL,44795,1701495,1198120.18,,,
RADIOLOGY,70220,TOTAL,91318,2414443.5699999998,1703039.05,,,
RADIOLOGY,70240,26,78,784.48,581.14,,,
RADIOLOGY,70240,TC,N/A,134.21,105.19,,,
RADIOLOGY,70240,GLOBL,33,976.74,765.82,,,
RADIOLOGY,70240,TOTAL,118,1895.43,1452.15,,,
RADIOLOGY,70250,26,37029,478584.66,359138.19,,,
RADIOLOGY,70250,TC,6712,171752.02,130015.92,,,
RADIOLOGY,70250,GLOBL,10724,409205.76000000001,304606.19,,,
RADIOLOGY,70250,TOTAL,54465,1059542.44,793760.3,,,
RADIOLOGY,70260,26,8486,148253.46,107845.15,,,
RADIOLOGY,70260,TC,1270,38217.78,27597.52,,,
RADIOLOGY,70260,GLOBL,4712,231680.49,165459.38,,,
RADIOLOGY,70260,TOTAL,14468,418151.73,300902.05,,,
RADIOLOGY,70300,26,49,291.27999999999997,223.94,,,
RADIOLOGY,70300,TC,N/A,104.12,81.64,,,
RADIOLOGY,70300,GLOBL,262,4190.5,3116.1,,,
RADIOLOGY,70300,TOTAL,321,4585.8999999999996,3421.68,,,
RADIOLOGY,70310,26,1092,8889.2199999999993,6956.38,,,
RADIOLOGY,70310,TC,N/A,92.6,72.599999999999994,,,
RADIOLOGY,70310,GLOBL,910,36167.629999999997,27949.49,,,
RADIOLOGY,70310,TOTAL,2005,45149.45,34978.47,,,
RADIOLOGY,70320,26,189,2233.79,1678.81,,,
RADIOLOGY,70320,TC,13,521.51,397.42,,,
RADIOLOGY,70320,GLOBL,340,18778.560000000001,14088.22,,,
RADIOLOGY,70320,TOTAL,542,21533.86,16164.45,,,
