CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,
"""2014 Part B National Summary Data File
Code Range: 04) Path/Lab (80000 - 89999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-3221 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PATH/LAB,80047,26,N/A,0,0,
PATH/LAB,80047,GLOBL,169315,1827378.43,1774888.02,
PATH/LAB,80047,TOTAL,169315,1827378.43,1774888.02,
PATH/LAB,80048,26,N/A,0,0,
PATH/LAB,80048,GLOBL,8193164,79512137.209999993,77724416.640000001,
PATH/LAB,80048,TOTAL,8193164,79512137.209999993,77724416.640000001,
PATH/LAB,80050,26,N/A,0,0,
PATH/LAB,80050,TC,N/A,0,0,
PATH/LAB,80050,GLOBL,N/A,47.95,46.99,
PATH/LAB,80050,TOTAL,N/A,47.95,46.99,
PATH/LAB,80051,26,N/A,0,0,
PATH/LAB,80051,GLOBL,529610,2355005.08,2302220.84,
PATH/LAB,80051,TOTAL,529610,2355005.08,2302220.84,
PATH/LAB,80053,26,N/A,0,0,
PATH/LAB,80053,TC,N/A,0,0,
PATH/LAB,80053,GLOBL,28400806.899999999,316876911.44,309752375.75,
PATH/LAB,80053,TOTAL,28400806.899999999,316876911.44,309752375.75,
PATH/LAB,80055,GLOBL,N/A,0,0,
PATH/LAB,80055,TOTAL,N/A,0,0,
PATH/LAB,80061,26,N/A,0,0,
PATH/LAB,80061,TC,N/A,0,0,
PATH/LAB,80061,GLOBL,19887960,284704675.57999998,278298795.99000001,
PATH/LAB,80061,TOTAL,19887960,284704675.57999998,278298795.99000001,
PATH/LAB,80069,26,N/A,0,0,
PATH/LAB,80069,GLOBL,1009406,10558062.630000001,10302943.640000001,
PATH/LAB,80069,TOTAL,1009406,10558062.630000001,10302943.640000001,
PATH/LAB,80074,26,N/A,0,0,
PATH/LAB,80074,GLOBL,125845,8036567.9100000001,7861845.5599999996,
PATH/LAB,80074,TOTAL,125845,8036567.9100000001,7861845.5599999996,
PATH/LAB,80076,26,N/A,0,0,
PATH/LAB,80076,GLOBL,2213544,16874195.719999999,16472544.01,
PATH/LAB,80076,TOTAL,2213544,16874195.719999999,16472544.01,
PATH/LAB,80100,26,N/A,0,0,
PATH/LAB,80100,GLOBL,N/A,0,0,
PATH/LAB,80100,TOTAL,N/A,0,0,
PATH/LAB,80101,26,N/A,0,0,
PATH/LAB,80101,GLOBL,N/A,0,0,
PATH/LAB,80101,TOTAL,N/A,0,0,
PATH/LAB,80102,GLOBL,647618.5,11658905.039999999,11381700.58,
PATH/LAB,80102,TOTAL,647618.5,11658905.039999999,11381700.58,
PATH/LAB,80103,GLOBL,N/A,0,0,
PATH/LAB,80103,TOTAL,N/A,0,0,
PATH/LAB,80104,GLOBL,N/A,0,0,
PATH/LAB,80104,TOTAL,N/A,0,0,
PATH/LAB,80150,GLOBL,5737,114105.46,111829.63,
PATH/LAB,80150,TOTAL,5737,114105.46,111829.63,
PATH/LAB,80152,GLOBL,566827,13788853.17,13447707.189999999,
PATH/LAB,80152,TOTAL,566827,13788853.17,13447707.189999999,
PATH/LAB,80154,26,N/A,0,0,
PATH/LAB,80154,GLOBL,2792504.2,69706527.560000002,67978116.049999997,
PATH/LAB,80154,TOTAL,2792504.2,69706527.560000002,67978116.049999997,
PATH/LAB,80155,GLOBL,341,6581.3,6448.31,
PATH/LAB,80155,TOTAL,341,6581.3,6448.31,
PATH/LAB,80156,26,N/A,0,0,
PATH/LAB,80156,GLOBL,101144,1993287.63,1950432.51,
PATH/LAB,80156,TOTAL,101144,1993287.63,1950432.51,
PATH/LAB,80157,GLOBL,2735,49320.53,48125.99,
PATH/LAB,80157,TOTAL,2735,49320.53,48125.99,
PATH/LAB,80158,26,N/A,0,0,
PATH/LAB,80158,GLOBL,43279,1037648.88,1008593.45,
PATH/LAB,80158,TOTAL,43279,1037648.88,1008593.45,
PATH/LAB,80159,GLOBL,23901,578141.34,566071.9,
PATH/LAB,80159,TOTAL,23901,578141.34,566071.9,
PATH/LAB,80160,GLOBL,488914,11475798.32,11194920.1,
PATH/LAB,80160,TOTAL,488914,11475798.32,11194920.1,
PATH/LAB,80162,26,N/A,0,0,
PATH/LAB,80162,GLOBL,323641,5864061.0599999996,5742935.5300000003,
PATH/LAB,80162,TOTAL,323641,5864061.0599999996,5742935.5300000003,
PATH/LAB,80164,26,N/A,0,0,
PATH/LAB,80164,GLOBL,369067,6511061.1100000003,6376444,
PATH/LAB,80164,TOTAL,369067,6511061.1100000003,6376444,
PATH/LAB,80166,GLOBL,155526,3187894.15,3115692.82,
PATH/LAB,80166,TOTAL,155526,3187894.15,3115692.82,
PATH/LAB,80168,GLOBL,367,7701.02,7504.48,
PATH/LAB,80168,TOTAL,367,7701.02,7504.48,
PATH/LAB,80169,GLOBL,3596,66473.53,65027.14,
PATH/LAB,80169,TOTAL,3596,66473.53,65027.14,
PATH/LAB,80170,26,N/A,0,0,
PATH/LAB,80170,GLOBL,10017,215233.67,210767.17,
PATH/LAB,80170,TOTAL,10017,215233.67,210767.17,
PATH/LAB,80171,GLOBL,287507,5005138.8600000003,4886597.21,
PATH/LAB,80171,TOTAL,287507,5005138.8600000003,4886597.21,
PATH/LAB,80172,GLOBL,15,333.3,326.7,
PATH/LAB,80172,TOTAL,15,333.3,326.7,
PATH/LAB,80173,GLOBL,10202,200330.3,195940.09,
PATH/LAB,80173,TOTAL,10202,200330.3,195940.09,
PATH/LAB,80174,GLOBL,476788,11194689.65,10919032.83,
PATH/LAB,80174,TOTAL,476788,11194689.65,10919032.83,
PATH/LAB,80175,GLOBL,33111,597515.29,584022.98,
PATH/LAB,80175,TOTAL,33111,597515.29,584022.98,
PATH/LAB,80176,GLOBL,274,5359.09,5156.1000000000004,
PATH/LAB,80176,TOTAL,274,5359.09,5156.1000000000004,
PATH/LAB,80177,GLOBL,78436,1417193.18,1387754.32,
PATH/LAB,80177,TOTAL,78436,1417193.18,1387754.32,
PATH/LAB,80178,26,N/A,0,0,
PATH/LAB,80178,GLOBL,115976,1045762.26,1023348.08,
PATH/LAB,80178,TOTAL,115976,1045762.26,1023348.08,
PATH/LAB,80180,GLOBL,13156,320031.71999999997,307175.07,
PATH/LAB,80180,TOTAL,13156,320031.71999999997,307175.07,
PATH/LAB,80182,GLOBL,574762,10321491.99,10069694.83,
PATH/LAB,80182,TOTAL,574762,10321491.99,10069694.83,
PATH/LAB,80183,GLOBL,6907,124598.93,121964.91,
PATH/LAB,80183,TOTAL,6907,124598.93,121964.91,
PATH/LAB,80184,26,N/A,0,0,
PATH/LAB,80184,GLOBL,614289,9577478.2799999993,9342888.9399999995,
PATH/LAB,80184,TOTAL,614289,9577478.2799999993,9342888.9399999995,
PATH/LAB,80185,26,N/A,0,0,
PATH/LAB,80185,GLOBL,246243,4453540.66,4360829.29,
PATH/LAB,80185,TOTAL,246243,4453540.66,4360829.29,
PATH/LAB,80186,GLOBL,13845,258885,253485.93,
PATH/LAB,80186,TOTAL,13845,258885,253485.93,
PATH/LAB,80188,26,N/A,0,0,
PATH/LAB,80188,GLOBL,41190,922976.59,903172.93,
PATH/LAB,80188,TOTAL,41190,922976.59,903172.93,
PATH/LAB,80190,GLOBL,N/A,0,0,
PATH/LAB,80190,TOTAL,N/A,0,0,
PATH/LAB,80192,GLOBL,36,811.22,794.9,
PATH/LAB,80192,TOTAL,36,811.22,794.9,
PATH/LAB,80194,GLOBL,164,3266.88,3201.28,
PATH/LAB,80194,TOTAL,164,3266.88,3201.28,
PATH/LAB,80195,26,N/A,0,0,
PATH/LAB,80195,GLOBL,25040,464737.24,450823.51,
PATH/LAB,80195,TOTAL,25040,464737.24,450823.51,
PATH/LAB,80196,26,N/A,0,0,
PATH/LAB,80196,GLOBL,5218,50504.94,49409.37,
PATH/LAB,80196,TOTAL,5218,50504.94,49409.37,
PATH/LAB,80197,26,N/A,0,0,
PATH/LAB,80197,GLOBL,316550,5796507.8300000001,5617658.0800000001,
PATH/LAB,80197,TOTAL,316550,5796507.8300000001,5617658.0800000001,
PATH/LAB,80198,26,N/A,0,0,
PATH/LAB,80198,GLOBL,20465,391554.36,383081.5,
PATH/LAB,80198,TOTAL,20465,391554.36,383081.5,
PATH/LAB,80199,GLOBL,531,13049.41,12789.79,
PATH/LAB,80199,TOTAL,531,13049.41,12789.79,
PATH/LAB,80200,26,N/A,0,0,
PATH/LAB,80200,GLOBL,3351,72461.95,70670.31,
PATH/LAB,80200,TOTAL,3351,72461.95,70670.31,
PATH/LAB,80201,GLOBL,9275,150483.85999999999,147125.41,
PATH/LAB,80201,TOTAL,9275,150483.85999999999,147125.41,
PATH/LAB,80202,26,N/A,0,0,
PATH/LAB,80202,GLOBL,104413,1809255.17,1770742.21,
PATH/LAB,80202,TOTAL,104413,1809255.17,1770742.21,
PATH/LAB,80203,GLOBL,3517,63425.39,62115.66,
PATH/LAB,80203,TOTAL,3517,63425.39,62115.66,
PATH/LAB,80299,GLOBL,782556.3,14175326.84,13841788.02,
PATH/LAB,80299,TOTAL,782556.3,14175326.84,13841788.02,
PATH/LAB,80400,GLOBL,2044,90403.59,87457.32,
PATH/LAB,80400,TOTAL,2044,90403.59,87457.32,
PATH/LAB,80402,GLOBL,N/A,164.63,161.34,
PATH/LAB,80402,TOTAL,N/A,164.63,161.34,
PATH/LAB,80406,GLOBL,N/A,213.52,209.24,
PATH/LAB,80406,TOTAL,N/A,213.52,209.24,
PATH/LAB,80408,GLOBL,N/A,561.52,550.29999999999995,
PATH/LAB,80408,TOTAL,N/A,561.52,550.29999999999995,
PATH/LAB,80410,GLOBL,N/A,109.6,107.41,
PATH/LAB,80410,TOTAL,N/A,109.6,107.41,
PATH/LAB,80412,GLOBL,N/A,899.38,881.4,
PATH/LAB,80412,TOTAL,N/A,899.38,881.4,
PATH/LAB,80414,GLOBL,122,8507.33,8269.68,
PATH/LAB,80414,TOTAL,122,8507.33,8269.68,
PATH/LAB,80415,GLOBL,217,16385.36,16058.08,
PATH/LAB,80415,TOTAL,217,16385.36,16058.08,
PATH/LAB,80417,GLOBL,N/A,0,0,
PATH/LAB,80417,TOTAL,N/A,0,0,
PATH/LAB,80418,GLOBL,206,162132.6,156756.93,
PATH/LAB,80418,TOTAL,206,162132.6,156756.93,
PATH/LAB,80420,GLOBL,N/A,196.58,192.64,
PATH/LAB,80420,TOTAL,N/A,196.58,192.64,
PATH/LAB,80422,GLOBL,N/A,314.3,308,
PATH/LAB,80422,TOTAL,N/A,314.3,308,
PATH/LAB,80424,GLOBL,22,1257.1400000000001,1231.98,
PATH/LAB,80424,TOTAL,22,1257.1400000000001,1231.98,
PATH/LAB,80426,GLOBL,N/A,147,20.63,
PATH/LAB,80426,TOTAL,N/A,147,20.63,
PATH/LAB,80428,GLOBL,N/A,829.24,812.66,
PATH/LAB,80428,TOTAL,N/A,829.24,812.66,
PATH/LAB,80430,GLOBL,11,1177.77,1154.23,
PATH/LAB,80430,TOTAL,11,1177.77,1154.23,
PATH/LAB,80432,GLOBL,170,31332.7,30705.4,
PATH/LAB,80432,TOTAL,170,31332.7,30705.4,
PATH/LAB,80434,GLOBL,178,24569.34,24078.06,
PATH/LAB,80434,TOTAL,178,24569.34,24078.06,
PATH/LAB,80435,GLOBL,25,3490.74,3295.21,
PATH/LAB,80435,TOTAL,25,3490.74,3295.21,
PATH/LAB,80436,GLOBL,N/A,0,0,
PATH/LAB,80436,TOTAL,N/A,0,0,
PATH/LAB,80438,GLOBL,122,8358.98,8191.25,
PATH/LAB,80438,TOTAL,122,8358.98,8191.25,
PATH/LAB,80439,GLOBL,65,5960.5,5841.55,
