CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,,,
"""2015 Part B National Summary Data File
Code Range: 06) Evaluation and Management (99200 - 99499)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-325,,,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,,,
EVALUATION AND MANAGEMENT,99201,,303222,12095283.93,8101808.7199999997,,,
EVALUATION AND MANAGEMENT,99201,TOTAL,303222,12095283.93,8101808.7199999997,,,
EVALUATION AND MANAGEMENT,99202,,2955506.2,207179297.86000001,138751227.87,,,
EVALUATION AND MANAGEMENT,99202,TOTAL,2955506.2,207179297.86000001,138751227.87,,,
EVALUATION AND MANAGEMENT,99203,,10925514.199999999,1137764814.4400001,781434823.62,,,
EVALUATION AND MANAGEMENT,99203,TOTAL,10925514.199999999,1137764814.4400001,781434823.62,,,
EVALUATION AND MANAGEMENT,99204,,9519694,1525843114.6700001,1088387834.8900001,,,
EVALUATION AND MANAGEMENT,99204,TOTAL,9519694,1525843114.6700001,1088387834.8900001,,,
EVALUATION AND MANAGEMENT,99205,,2883624.3,579021803.66999996,428062286.37,,,
EVALUATION AND MANAGEMENT,99205,TOTAL,2883624.3,579021803.66999996,428062286.37,,,
EVALUATION AND MANAGEMENT,99211,,4853597,93238997.239999995,65436972.939999998,,,
EVALUATION AND MANAGEMENT,99211,TOTAL,4853597,93238997.239999995,65436972.939999998,,,
EVALUATION AND MANAGEMENT,99212,,14742350.5,608957409.85000002,430065044.68000001,,,
EVALUATION AND MANAGEMENT,99212,TOTAL,14742350.5,608957409.85000002,430065044.68000001,,,
EVALUATION AND MANAGEMENT,99213,,99683742.799999997,6925839306,4796627241.8100004,,,
EVALUATION AND MANAGEMENT,99213,TOTAL,99683742.799999997,6925839306,4796627241.8100004,,,
EVALUATION AND MANAGEMENT,99214,,95564074.799999997,9891277156.5499992,6895130490.0299997,,,
EVALUATION AND MANAGEMENT,99214,TOTAL,95564074.799999997,9891277156.5499992,6895130490.0299997,,,
EVALUATION AND MANAGEMENT,99215,,9446609.0999999996,1316659589.5799999,945815335.00999999,,,
EVALUATION AND MANAGEMENT,99215,TOTAL,9446609.0999999996,1316659589.5799999,945815335.00999999,,,
EVALUATION AND MANAGEMENT,99217,,1303762,93703890.930000007,72126431.120000005,,,
EVALUATION AND MANAGEMENT,99217,TOTAL,1303762,93703890.930000007,72126431.120000005,,,
EVALUATION AND MANAGEMENT,99218,,154121.1,15297976.960000001,11646717.76,,,
EVALUATION AND MANAGEMENT,99218,TOTAL,154121.1,15297976.960000001,11646717.76,,,
EVALUATION AND MANAGEMENT,99219,,608798.1,81948150.150000006,62089755.539999999,,,
EVALUATION AND MANAGEMENT,99219,TOTAL,608798.1,81948150.150000006,62089755.539999999,,,
EVALUATION AND MANAGEMENT,99220,,1239163,229635639,175413455.91,,,
EVALUATION AND MANAGEMENT,99220,TOTAL,1239163,229635639,175413455.91,,,
EVALUATION AND MANAGEMENT,99221,,1812238.2,183340513.06999999,141236681.43000001,,,
EVALUATION AND MANAGEMENT,99221,TOTAL,1812238.2,183340513.06999999,141236681.43000001,,,
EVALUATION AND MANAGEMENT,99222,,6982434.0999999996,962228187.23000002,740327843.08000004,,,
