CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,
"""2015 Part B National Summary Data File
Code Range: 16) Procedures/Professional Services (G0000 - G9999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-1954,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
PROCEDURES/PROFESSIONAL SERVICES,G0008,GLOBL,13491004.9,305530404.38999999,299060140.48000002,
PROCEDURES/PROFESSIONAL SERVICES,G0008,TOTAL,13491004.9,305530404.38999999,299060140.48000002,
PROCEDURES/PROFESSIONAL SERVICES,G0009,GLOBL,5639354.7000000002,130489765.95999999,127655664.72,
PROCEDURES/PROFESSIONAL SERVICES,G0009,TOTAL,5639354.7000000002,130489765.95999999,127655664.72,
PROCEDURES/PROFESSIONAL SERVICES,G0010,GLOBL,60929,1496097.39,1462725.05,
PROCEDURES/PROFESSIONAL SERVICES,G0010,TOTAL,60929,1496097.39,1462725.05,
PROCEDURES/PROFESSIONAL SERVICES,G0027,GLOBL,11,97.35,95.37,
PROCEDURES/PROFESSIONAL SERVICES,G0027,TOTAL,11,97.35,95.37,
PROCEDURES/PROFESSIONAL SERVICES,G0101,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0101,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0101,GLOBL,1020272,38271840.719999999,37476410.240000002,
PROCEDURES/PROFESSIONAL SERVICES,G0101,TOTAL,1020272,38271840.719999999,37476410.240000002,
PROCEDURES/PROFESSIONAL SERVICES,G0102,GLOBL,44057,838130.14,466261.87,
PROCEDURES/PROFESSIONAL SERVICES,G0102,TOTAL,44057,838130.14,466261.87,
PROCEDURES/PROFESSIONAL SERVICES,G0103,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0103,GLOBL,1282520,32037084.969999999,31344696.620000001,
PROCEDURES/PROFESSIONAL SERVICES,G0103,TOTAL,1282520,32037084.969999999,31344696.620000001,
PROCEDURES/PROFESSIONAL SERVICES,G0104,GLOBL,3253,254060.9,248671.9,
PROCEDURES/PROFESSIONAL SERVICES,G0104,TOTAL,3253,254060.9,248671.9,
PROCEDURES/PROFESSIONAL SERVICES,G0105,53,4682,294212.53999999998,287975.78000000003,
PROCEDURES/PROFESSIONAL SERVICES,G0105,GLOBL,361382,93108264.299999997,91078967.409999996,
PROCEDURES/PROFESSIONAL SERVICES,G0105,TOTAL,366064,93402476.840000004,91366943.189999998,
PROCEDURES/PROFESSIONAL SERVICES,G0106,26,N/A,204.69,160.47999999999999,
PROCEDURES/PROFESSIONAL SERVICES,G0106,GLOBL,17,3577.95,2859.41,
PROCEDURES/PROFESSIONAL SERVICES,G0106,TOTAL,21,3782.64,3019.89,
PROCEDURES/PROFESSIONAL SERVICES,G0108,GLOBL,133904,7096431.46,5196728.91,
PROCEDURES/PROFESSIONAL SERVICES,G0108,TOTAL,133904,7096431.46,5196728.91,
PROCEDURES/PROFESSIONAL SERVICES,G0109,GLOBL,102582.7,1461977.57,1084545.31,
PROCEDURES/PROFESSIONAL SERVICES,G0109,TOTAL,102582.7,1461977.57,1084545.31,
PROCEDURES/PROFESSIONAL SERVICES,G0117,GLOBL,330,16671.48,10987.29,
PROCEDURES/PROFESSIONAL SERVICES,G0117,TOTAL,330,16671.48,10987.29,
PROCEDURES/PROFESSIONAL SERVICES,G0118,GLOBL,16,661.12,400.89,
PROCEDURES/PROFESSIONAL SERVICES,G0118,TOTAL,16,661.12,400.89,
PROCEDURES/PROFESSIONAL SERVICES,G0120,26,54,2862.36,2242.19,
PROCEDURES/PROFESSIONAL SERVICES,G0120,TC,N/A,176.14,138.09,
PROCEDURES/PROFESSIONAL SERVICES,G0120,GLOBL,25,5211.8,4114.1000000000004,
PROCEDURES/PROFESSIONAL SERVICES,G0120,TOTAL,80,8250.2999999999993,6494.380000000001,
PROCEDURES/PROFESSIONAL SERVICES,G0121,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0121,53,6923,433816.16,424552.43,
PROCEDURES/PROFESSIONAL SERVICES,G0121,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0121,GLOBL,371038,94535543.25,92474720.659999996,
PROCEDURES/PROFESSIONAL SERVICES,G0121,TOTAL,377961,94969359.409999996,92899273.090000004,
PROCEDURES/PROFESSIONAL SERVICES,G0122,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0122,GLOBL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0122,TOTAL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0123,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0123,TC,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0123,GLOBL,136869,3669488.62,3593740.74,
PROCEDURES/PROFESSIONAL SERVICES,G0123,TOTAL,136869,3669488.62,3593740.74,
PROCEDURES/PROFESSIONAL SERVICES,G0124,GLOBL,56818,1847496.74,1785203.73,
PROCEDURES/PROFESSIONAL SERVICES,G0124,TOTAL,56818,1847496.74,1785203.73,
PROCEDURES/PROFESSIONAL SERVICES,G0127,GLOBL,832208,14376026.42,10541994.029999999,
PROCEDURES/PROFESSIONAL SERVICES,G0127,TOTAL,832208,14376026.42,10541994.029999999,
PROCEDURES/PROFESSIONAL SERVICES,G0128,GLOBL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0128,TOTAL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0129,GLOBL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0129,TOTAL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0130,26,N/A,34.4,33.6,
PROCEDURES/PROFESSIONAL SERVICES,G0130,TC,N/A,176.39,172.85,
PROCEDURES/PROFESSIONAL SERVICES,G0130,GLOBL,421,14034.2,13753.73,
PROCEDURES/PROFESSIONAL SERVICES,G0130,TOTAL,432,14244.99,13960.18,
PROCEDURES/PROFESSIONAL SERVICES,G0141,GLOBL,4062,130973.65,128352.54,
PROCEDURES/PROFESSIONAL SERVICES,G0141,TOTAL,4062,130973.65,128352.54,
PROCEDURES/PROFESSIONAL SERVICES,G0143,GLOBL,3017,83171.64,81512.44,
PROCEDURES/PROFESSIONAL SERVICES,G0143,TOTAL,3017,83171.64,81512.44,
PROCEDURES/PROFESSIONAL SERVICES,G0144,GLOBL,1416,40833.360000000001,39964.519999999997,
PROCEDURES/PROFESSIONAL SERVICES,G0144,TOTAL,1416,40833.360000000001,39964.519999999997,
PROCEDURES/PROFESSIONAL SERVICES,G0145,26,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0145,GLOBL,492780,16977610.809999999,16634432.99,
PROCEDURES/PROFESSIONAL SERVICES,G0145,TOTAL,492780,16977610.809999999,16634432.99,
PROCEDURES/PROFESSIONAL SERVICES,G0147,GLOBL,N/A,15.49,15.18,
PROCEDURES/PROFESSIONAL SERVICES,G0147,TOTAL,N/A,15.49,15.18,
PROCEDURES/PROFESSIONAL SERVICES,G0148,GLOBL,527,10712.56,10500.05,
PROCEDURES/PROFESSIONAL SERVICES,G0148,TOTAL,527,10712.56,10500.05,
PROCEDURES/PROFESSIONAL SERVICES,G0151,GLOBL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0151,TOTAL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0152,GLOBL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0152,TOTAL,N/A,0,0,
PROCEDURES/PROFESSIONAL SERVICES,G0153,GLOBL,N/A,0,0,
