CPT only copyright 2015 American Medical Association. All rights reserved.,,,,,,
"""2015 Part B National Summary Data File
Code Range: 25) National Codes Assigned by CMS on Temporary Basis (Q0000 - Q9999)"" ",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-419 ,,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0035,,N/A,101.02,79.19,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0035,TOTAL,N/A,101.02,79.19,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0081,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0081,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0083,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0083,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0084,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0084,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0085,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0085,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0091,,664657.1,28764180.969999999,28180439.690000001,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0091,TOTAL,664657.1,28764180.969999999,28180439.690000001,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0092,,1805246.3,45492729.719999999,34436659.119999997,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0092,TOTAL,1805246.3,45492729.719999999,34436659.119999997,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0111,,33615,192785.22,187779.66,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0111,TOTAL,33615,192785.22,187779.66,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0112,,29109,162545.4,158416.79,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0112,TOTAL,29109,162545.4,158416.79,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0113,,N/A,14.72,14.42,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0113,TOTAL,N/A,14.72,14.42,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0114,,22,214.28,200.55,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0114,TOTAL,22,214.28,200.55,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0115,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0115,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0138,,30908819,24575061.280000001,19058866.93,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0138,TOTAL,30908819,24575061.280000001,19058866.93,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0139,,166289,132277.96,103286.84,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0139,TOTAL,166289,132277.96,103286.84,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0144,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0144,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0161,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0161,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0162,,105632,5894.15,4581.83,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0162,TOTAL,105632,5894.15,4581.83,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0163,,1323,326.13,254.19,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0163,TOTAL,1323,326.13,254.19,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0164,,2606,95.3,74.260000000000005,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0164,TOTAL,2606,95.3,74.260000000000005,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0166,,2718,3725.33,2893.92,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0166,TOTAL,2718,3725.33,2893.92,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0167,,2556,8836.23,6927.53,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0167,TOTAL,2556,8836.23,6927.53,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0169,,157,6.44,5.1100000000000003,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0169,TOTAL,157,6.44,5.1100000000000003,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0173,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0173,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0177,,304,48.58,39.17,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0177,TOTAL,304,48.58,39.17,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0179,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0179,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0180,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0180,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0181,,24,11830.26,9274.91,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0181,TOTAL,24,11830.26,9274.91,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0478,,22,4349.7700000000004,3410.26,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0478,TOTAL,22,4349.7700000000004,3410.26,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0479,,35,409041.85,320688.78000000003,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0479,TOTAL,35,409041.85,320688.78000000003,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0481,,57,786312.86,605570.42000000004,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0481,TOTAL,57,786312.86,605570.42000000004,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0483,,N/A,18076.96,14172.34,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0483,TOTAL,N/A,18076.96,14172.34,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0484,,N/A,3408.21,2672.04,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0484,TOTAL,N/A,3408.21,2672.04,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0486,,N/A,5368.6,4208.96,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0486,TOTAL,N/A,5368.6,4208.96,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0489,,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0489,TOTAL,N/A,0,0,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0495,,34,151940.79,118996.01,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0495,TOTAL,34,151940.79,118996.01,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0496,,79,108819.65,85314.8,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0496,TOTAL,79,108819.65,85314.8,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0497,,76,35848.480000000003,27978.16,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0497,TOTAL,76,35848.480000000003,27978.16,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0498,,75,38494.1,30179.69,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0498,TOTAL,75,38494.1,30179.69,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0499,,78,12952.75,9924.68,
NATIONAL CODES ASSIGNED BY CMS ON A TEMPORARY BASIS,Q0499,TOTAL,78,12952.75,9924.68,
