Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Ranges 10040 - 19499,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
10040,OTHER,INTEGUMENTARY,"23,840","$1,676,903","$1,230,469"
,TOTAL,,"23,840","$1,676,903","$1,230,469"
10060,OTHER,,"614,732","$44,759,077","$32,669,578"
,TOTAL,,"614,732","$44,759,077","$32,669,578"
10061,SG,,1,$127,$102
,80'S,,3,$41,$33
,OTHER,,"122,938","$16,214,244","$12,290,802"
,TOTAL,,"122,942","$16,214,413","$12,290,937"
10080,OTHER,,"1,908","$151,774","$107,373"
,TOTAL,,"1,908","$151,774","$107,373"
10081,OTHER,,713,"$102,211","$77,338"
,TOTAL,,713,"$102,211","$77,338"
10120,OTHER,,"36,504","$2,844,874","$2,034,361"
,TOTAL,,"36,504","$2,844,874","$2,034,361"
10121,OTHER,,"7,154","$1,054,174","$804,097"
,TOTAL,,"7,154","$1,054,174","$804,097"
10140,80'S,,8,$83,$66
,OTHER,,"73,697","$6,193,440","$4,684,025"
,TOTAL,,"73,705","$6,193,523","$4,684,091"
10160,OTHER,,"57,918","$4,310,082","$3,248,437"
,TOTAL,,"57,918","$4,310,082","$3,248,437"
10180,SG,,185,"$74,806","$59,318"
,80'S,,8,$122,$98
,OTHER,,"12,473","$1,445,932","$1,138,123"
,TOTAL,,"12,666","$1,520,860","$1,197,538"
11000,80'S,,4,$90,$72
,OTHER,,"250,707","$9,580,631","$7,114,469"
,TOTAL,,"250,711","$9,580,721","$7,114,541"
11001,OTHER,,"3,320","$69,766","$53,665"
,TOTAL,,"3,320","$69,766","$53,665"
11010,80'S,,10,$421,$337
,OTHER,,"3,459","$668,877","$527,278"
,TOTAL,,"3,469","$669,298","$527,615"
11011,80'S,,14,$633,$507
,OTHER,,"4,544","$1,280,092","$1,014,843"
,TOTAL,,"4,558","$1,280,725","$1,015,350"
11012,80'S,,26,"$1,415","$1,132"
,OTHER,,"5,509","$1,937,748","$1,532,342"
,TOTAL,,"5,535","$1,939,163","$1,533,474"
11040,80'S,,3,$9,$7
,OTHER,,"1,167,167","$36,820,655","$27,478,067"
,TOTAL,,"1,167,170","$36,820,664","$27,478,074"
11041,80'S,,3,$11,$9
,OTHER,,"528,487","$25,461,206","$19,349,315"
,TOTAL,,"528,490","$25,461,217","$19,349,323"
11042,SG,,"1,164","$433,979","$344,799"
,80'S,,18,$105,$84
,OTHER,,"562,516","$33,504,583","$26,078,648"
,TOTAL,,"563,698","$33,938,666","$26,423,531"
11043,SG,,367,"$132,365","$105,166"
,80'S,,24,$409,$328
,OTHER,,"131,646","$18,753,458","$14,842,188"
,TOTAL,,"132,037","$18,886,232","$14,947,681"
11044,SG,,332,"$115,599","$92,310"
,80'S,,14,$323,$258
,OTHER,,"43,369","$8,046,827","$6,374,228"
,TOTAL,,"43,715","$8,162,750","$6,466,796"
11055,OTHER,,"431,529","$9,090,139","$6,608,420"
,TOTAL,,"431,529","$9,090,139","$6,608,420"
11056,OTHER,,"882,581","$25,383,222","$18,495,955"
,TOTAL,,"882,581","$25,383,222","$18,495,955"
11057,OTHER,,"182,714","$5,801,021","$4,201,031"
,TOTAL,,"182,714","$5,801,021","$4,201,031"
11100,80'S,,1,$4,$3
,OTHER,,"1,417,541","$91,380,247","$67,022,171"
,TOTAL,,"1,417,542","$91,380,250","$67,022,174"
11101,OTHER,,"556,173","$18,485,814","$14,427,817"
,TOTAL,,"556,173","$18,485,814","$14,427,817"
11200,SG,,9,"$2,955","$2,313"
,80'S,,1,$3,$3
,OTHER,,"113,939","$5,698,640","$3,965,201"
,TOTAL,,"113,949","$5,701,598","$3,967,516"
11201,OTHER,,"14,340","$281,910","$212,579"
,TOTAL,,"14,340","$281,910","$212,579"
11300,OTHER,,"81,497","$2,576,610","$1,880,580"
,TOTAL,,"81,497","$2,576,610","$1,880,580"
11301,OTHER,,"146,486","$7,366,950","$5,446,996"
,TOTAL,,"146,486","$7,366,950","$5,446,996"
11302,OTHER,,"89,255","$6,022,015","$4,506,964"
,TOTAL,,"89,255","$6,022,015","$4,506,964"
11303,OTHER,,"15,268","$1,340,070","$1,004,528"
,TOTAL,,"15,268","$1,340,070","$1,004,528"
11305,80'S,,1,$3,$2
,OTHER,,"92,309","$3,788,325","$2,744,935"
,TOTAL,,"92,310","$3,788,328","$2,744,938"
11306,OTHER,,"81,482","$4,780,222","$3,534,372"
,TOTAL,,"81,482","$4,780,222","$3,534,372"
11307,OTHER,,"37,698","$2,675,101","$2,007,957"
,TOTAL,,"37,698","$2,675,101","$2,007,957"
11308,80'S,,1,$5,$4
,OTHER,,"8,234","$761,159","$574,681"
,TOTAL,,"8,235","$761,164","$574,685"
11310,OTHER,,"98,117","$4,480,116","$3,273,528"
,TOTAL,,"98,117","$4,480,116","$3,273,528"
11311,OTHER,,"121,255","$7,767,056","$5,748,516"
,TOTAL,,"121,255","$7,767,056","$5,748,516"
11312,OTHER,,"51,565","$4,071,265","$3,047,876"
,TOTAL,,"51,565","$4,071,265","$3,047,876"
11313,OTHER,,"7,259","$776,475","$587,794"
,TOTAL,,"7,259","$776,475","$587,794"
11400,80'S,,1,$9,$8
,OTHER,,"65,091","$4,456,252","$3,292,633"
,TOTAL,,"65,092","$4,456,262","$3,292,640"
11401,SG,,1,$159,$127
,OTHER,,"104,676","$8,713,846","$6,522,550"
,TOTAL,,"104,677","$8,714,005","$6,522,677"
11402,SG,,18,"$4,739","$3,711"
,80'S,,1,$7,$6
,OTHER,,"110,654","$10,733,141","$8,108,874"
,TOTAL,,"110,673","$10,737,888","$8,112,591"
11403,SG,,11,"$2,821","$2,257"
,OTHER,,"49,363","$5,778,352","$4,393,369"
,TOTAL,,"49,374","$5,781,173","$4,395,627"
11404,SG,,982,"$265,580","$210,249"
,OTHER,,"19,723","$2,523,526","$1,932,813"
,TOTAL,,"20,705","$2,789,107","$2,143,063"
11406,SG,,"1,164","$444,071","$351,079"
,OTHER,,"21,296","$3,552,531","$2,761,067"
,TOTAL,,"22,460","$3,996,602","$3,112,146"
11420,SG,,1,$309,$248
,80'S,,1,$5,$4
,OTHER,,"40,777","$2,783,737","$2,059,098"
,TOTAL,,"40,779","$2,784,052","$2,059,350"
11421,SG,,7,"$1,935","$1,548"
,OTHER,,"50,120","$4,511,028","$3,372,451"
,TOTAL,,"50,127","$4,512,963","$3,374,000"
11422,SG,,5,"$1,634","$1,308"
,OTHER,,"48,549","$5,057,741","$3,812,983"
,TOTAL,,"48,554","$5,059,376","$3,814,290"
11423,SG,,13,"$3,342","$2,594"
,OTHER,,"19,653","$2,520,984","$1,918,021"
,TOTAL,,"19,666","$2,524,327","$1,920,615"
11424,SG,,588,"$218,617","$172,655"
,OTHER,,"6,560","$977,922","$752,328"
,TOTAL,,"7,148","$1,196,539","$924,984"
11426,SG,,347,"$131,492","$104,351"
,80'S,,1,$37,$29
,OTHER,,"5,247","$1,098,144","$854,455"
,TOTAL,,"5,595","$1,229,672","$958,836"
11440,SG,,1,$58,$47
,OTHER,,"82,406","$6,559,244","$4,875,316"
,TOTAL,,"82,407","$6,559,302","$4,875,362"
11441,SG,,1,$71,$57
,OTHER,,"83,298","$8,321,052","$6,273,470"
,TOTAL,,"83,299","$8,321,123","$6,273,526"
11442,SG,,14,"$2,956","$2,285"
,OTHER,,"57,226","$6,396,773","$4,859,568"
,TOTAL,,"57,240","$6,399,729","$4,861,853"
11443,SG,,16,"$5,006","$4,005"
,OTHER,,"16,076","$2,359,043","$1,821,068"
,TOTAL,,"16,092","$2,364,049","$1,825,072"
11444,SG,,538,"$139,147","$110,191"
,OTHER,,"4,578","$857,520","$667,016"
,TOTAL,,"5,116","$996,667","$777,207"
11446,SG,,224,"$82,371","$65,531"
,80'S,,1,$47,$38
,OTHER,,"3,332","$822,921","$644,476"
,TOTAL,,"3,557","$905,339","$710,045"
11450,SG,,40,"$16,509","$13,127"
,OTHER,,610,"$105,953","$82,051"
,TOTAL,,650,"$122,462","$95,178"
11451,SG,,7,"$2,895","$2,316"
,OTHER,,275,"$42,960","$33,563"
,TOTAL,,282,"$45,855","$35,879"
11462,SG,,8,"$3,249","$2,600"
,OTHER,,270,"$40,136","$31,685"
,TOTAL,,278,"$43,386","$34,284"
11463,SG,,2,$648,$519
,OTHER,,97,"$18,604","$14,666"
,TOTAL,,99,"$19,253","$15,185"
11470,SG,,11,"$4,011","$3,209"
,OTHER,,367,"$71,887","$55,727"
,TOTAL,,378,"$75,898","$58,936"
11471,SG,,34,"$13,991","$10,938"
,80'S,,1,$22,$18
,OTHER,,134,"$30,695","$23,800"
,TOTAL,,169,"$44,709","$34,756"
11600,OTHER,,"12,635","$1,165,179","$885,503"
,TOTAL,,"12,635","$1,165,179","$885,503"
11601,SG,,3,$464,$371
,OTHER,,"54,504","$6,053,823","$4,662,243"
,TOTAL,,"54,507","$6,054,287","$4,662,615"
11602,SG,,12,"$2,642","$1,987"
,80'S,,1,$11,$9
,OTHER,,"89,383","$10,853,933","$8,398,572"
,TOTAL,,"89,396","$10,856,586","$8,400,568"
11603,SG,,14,"$3,530","$2,824"
,80'S,,1,$12,$10
,OTHER,,"36,612","$5,488,120","$4,272,877"
,TOTAL,,"36,627","$5,491,662","$4,275,711"
11604,SG,,525,"$177,169","$140,381"
,80'S,,3,$39,$21
,OTHER,,"15,218","$2,470,055","$1,931,758"
,TOTAL,,"15,746","$2,647,263","$2,072,160"
11606,SG,,600,"$215,887","$171,573"
,80'S,,5,$136,$109
,OTHER,,"14,949","$3,199,550","$2,523,346"
,TOTAL,,"15,554","$3,415,574","$2,695,028"
11620,SG,,4,$623,$498
,OTHER,,"7,506","$684,301","$519,984"
,TOTAL,,"7,510","$684,924","$520,482"
11621,OTHER,,"29,344","$3,367,491","$2,595,504"
,TOTAL,,"29,344","$3,367,491","$2,595,504"
11622,SG,,12,"$2,541","$1,699"
,OTHER,,"40,846","$6,012,600","$4,664,470"
,TOTAL,,"40,858","$6,015,140","$4,666,169"
11623,SG,,7,"$1,688","$1,350"
,OTHER,,"15,470","$2,644,322","$2,061,023"
,TOTAL,,"15,477","$2,646,010","$2,062,373"
11624,SG,,327,"$113,220","$89,540"
,OTHER,,"5,887","$1,146,381","$899,564"
,TOTAL,,"6,214","$1,259,601","$989,104"
11626,SG,,227,"$74,096","$58,937"
,80'S,,5,$116,$93
,OTHER,,"4,750","$1,119,559","$883,628"
,TOTAL,,"4,982","$1,193,772","$942,658"
11640,SG,,8,"$1,908","$1,526"
,OTHER,,"45,514","$4,722,863","$3,604,638"
,TOTAL,,"45,522","$4,724,770","$3,606,164"
11641,SG,,18,"$3,444","$2,755"
,OTHER,,"120,935","$17,826,728","$13,802,506"
,TOTAL,,"120,953","$17,830,172","$13,805,261"
11642,SG,,32,"$7,258","$5,763"
,80'S,,1,$14,$12
,OTHER,,"118,076","$20,459,189","$15,933,953"
,TOTAL,,"118,109","$20,466,462","$15,939,728"
11643,SG,,13,"$2,853","$2,166"
,80'S,,1,$19,$15
,OTHER,,"36,343","$7,181,350","$5,628,813"
,TOTAL,,"36,357","$7,184,222","$5,630,994"
11644,SG,,934,"$313,357","$248,354"
,OTHER,,"12,502","$2,992,266","$2,353,504"
,TOTAL,,"13,436","$3,305,623","$2,601,858"
11646,SG,,453,"$144,680","$114,917"
,OTHER,,"7,870","$2,562,626","$2,028,487"
,TOTAL,,"8,323","$2,707,306","$2,143,404"
11719,OTHER,,"1,052,767","$13,323,129","$9,766,143"
,TOTAL,,"1,052,767","$13,323,129","$9,766,143"
11720,OTHER,,"1,289,155","$33,558,520","$24,327,348"
,TOTAL,,"1,289,155","$33,558,520","$24,327,348"
11721,80'S,,1,$23,$18
,OTHER,,"5,621,626","$228,025,838","$163,320,405"
,TOTAL,,"5,621,627","$228,025,860","$163,320,423"
11730,OTHER,,"744,987","$48,366,556","$35,471,343"
,TOTAL,,"744,987","$48,366,556","$35,471,343"
11732,OTHER,,"109,367","$3,714,791","$2,854,797"
,TOTAL,,"109,367","$3,714,791","$2,854,797"
11740,OTHER,,"21,717","$668,455","$499,086"
,TOTAL,,"21,717","$668,455","$499,086"
11750,SG,,3,$585,$428
,OTHER,,"232,843","$29,079,041","$21,942,158"
,TOTAL,,"232,846","$29,079,626","$21,942,586"
11752,SG,,9,"$2,433","$1,947"
,80'S,,1,$14,$11
,OTHER,,"2,612","$370,731","$286,129"
,TOTAL,,"2,622","$373,178","$288,087"
11755,OTHER,,"4,406","$366,724","$281,483"
,TOTAL,,"4,406","$366,724","$281,483"
11760,OTHER,,"4,739","$355,110","$269,670"
,TOTAL,,"4,739","$355,110","$269,670"
11762,OTHER,,771,"$123,683","$95,263"
,TOTAL,,771,"$123,683","$95,263"
11765,OTHER,,"73,064","$3,433,090","$2,532,995"
,TOTAL,,"73,064","$3,433,090","$2,532,995"
11770,SG,,37,"$17,154","$13,678"
,OTHER,,507,"$86,985","$67,310"
,TOTAL,,544,"$104,138","$80,989"
11771,SG,,27,"$13,048","$10,391"
,80'S,,1,$66,$53
,OTHER,,519,"$187,232","$144,598"
,TOTAL,,547,"$200,346","$155,042"
11772,SG,,13,"$6,417","$5,133"
,OTHER,,360,"$157,930","$125,246"
,TOTAL,,373,"$164,346","$130,380"
11900,OTHER,,"96,014","$3,122,603","$2,247,140"
,TOTAL,,"96,014","$3,122,603","$2,247,140"
11901,OTHER,,"50,676","$2,654,925","$1,949,286"
,TOTAL,,"50,676","$2,654,925","$1,949,286"
11920,OTHER,,94,"$9,867","$7,789"
,TOTAL,,94,"$9,867","$7,789"
11921,OTHER,,122,"$14,998","$11,335"
,TOTAL,,122,"$14,998","$11,335"
11922,OTHER,,2,$69,$55
,TOTAL,,2,$69,$55
11950,OTHER,,24,"$1,467","$1,121"
,TOTAL,,24,"$1,467","$1,121"
11951,OTHER,,16,"$1,421",$963
,TOTAL,,16,"$1,421",$963
11952,80'S,,1,$18,$15
,OTHER,,88,"$2,062","$1,650"
,TOTAL,,89,"$2,080","$1,664"
11954,OTHER,,112,"$6,912","$5,529"
,TOTAL,,112,"$6,912","$5,529"
11960,SG,,7,"$2,459","$1,967"
,OTHER,,293,"$161,679","$128,803"
,TOTAL,,300,"$164,138","$130,771"
11970,SG,,75,"$29,154","$22,502"
,80'S,,1,$46,$37
,OTHER,,826,"$289,838","$227,443"
,TOTAL,,902,"$319,038","$249,981"
11971,SG,,32,"$7,521","$5,964"
,OTHER,,306,"$41,875","$32,928"
,TOTAL,,338,"$49,397","$38,893"
11976,OTHER,,20,"$2,157","$1,339"
,TOTAL,,20,"$2,157","$1,339"
11980,OTHER,,"1,243","$122,003","$89,931"
,TOTAL,,"1,243","$122,003","$89,931"
12001,OTHER,,"151,897","$14,005,416","$10,425,912"
,TOTAL,,"151,897","$14,005,416","$10,425,912"
12002,OTHER,,"112,042","$11,611,875","$8,707,391"
,TOTAL,,"112,042","$11,611,875","$8,707,391"
12004,OTHER,,"15,164","$1,904,833","$1,459,955"
,TOTAL,,"15,164","$1,904,833","$1,459,955"
12005,SG,,4,"$1,650","$1,320"
,OTHER,,"4,021","$625,171","$484,975"
,TOTAL,,"4,025","$626,821","$486,295"
12006,SG,,1,$207,$166
,80'S,,1,$32,$26
,OTHER,,749,"$149,089","$116,292"
,TOTAL,,751,"$149,328","$116,484"
12007,OTHER,,298,"$61,740","$48,818"
,TOTAL,,298,"$61,740","$48,818"
12011,OTHER,,"72,988","$7,038,719","$5,378,439"
,TOTAL,,"72,988","$7,038,719","$5,378,439"
12013,OTHER,,"41,133","$4,633,707","$3,559,353"
,TOTAL,,"41,133","$4,633,707","$3,559,353"
12014,OTHER,,"5,397","$721,628","$556,782"
,TOTAL,,"5,397","$721,628","$556,782"
12015,80'S,,1,$30,$24
,OTHER,,"2,472","$425,511","$330,872"
,TOTAL,,"2,473","$425,541","$330,896"
12016,SG,,4,"$1,410","$1,128"
,OTHER,,357,"$77,280","$60,319"
,TOTAL,,361,"$78,690","$61,447"
12017,OTHER,,68,"$18,324","$14,429"
,TOTAL,,68,"$18,324","$14,429"
12018,OTHER,,26,"$7,886","$6,145"
,TOTAL,,26,"$7,886","$6,145"
12020,SG,,99,"$28,594","$22,832"
,OTHER,,"3,820","$549,810","$429,611"
,TOTAL,,"3,919","$578,403","$452,443"
12021,SG,,38,"$12,159","$9,727"
,OTHER,,"2,624","$259,820","$203,999"
,TOTAL,,"2,662","$271,979","$213,726"
12031,80'S,,4,$47,$38
,OTHER,,"34,106","$3,494,841","$2,723,192"
,TOTAL,,"34,110","$3,494,888","$2,723,230"
12032,OTHER,,"83,009","$10,834,015","$8,481,669"
,TOTAL,,"83,009","$10,834,015","$8,481,669"
12034,SG,,222,"$72,898","$58,179"
,OTHER,,"12,003","$1,834,202","$1,434,719"
,TOTAL,,"12,225","$1,907,100","$1,492,898"
12035,SG,,43,"$14,900","$11,920"
,OTHER,,"3,261","$583,749","$457,620"
,TOTAL,,"3,304","$598,649","$469,540"
12036,SG,,11,"$3,585","$2,868"
,OTHER,,817,"$179,838","$142,278"
,TOTAL,,828,"$183,423","$145,146"
12037,SG,,6,"$1,958","$1,567"
,80'S,,5,$314,$251
,OTHER,,424,"$104,993","$82,955"
,TOTAL,,435,"$107,265","$84,773"
12041,OTHER,,"13,598","$1,670,861","$1,289,046"
,TOTAL,,"13,598","$1,670,861","$1,289,046"
12042,OTHER,,"23,333","$3,087,632","$2,404,974"
,TOTAL,,"23,333","$3,087,632","$2,404,974"
12044,SG,,34,"$10,388","$7,989"
,80'S,,1,$24,$20
,OTHER,,"1,877","$296,896","$230,845"
,TOTAL,,"1,912","$307,308","$238,854"
12045,SG,,4,"$1,084",$867
,OTHER,,422,"$77,994","$60,644"
,TOTAL,,426,"$79,078","$61,511"
12046,SG,,2,$804,$643
,OTHER,,110,"$24,906","$19,760"
,TOTAL,,112,"$25,711","$20,403"
12047,80'S,,1,$20,$16
