Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 59000 - 59899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
59000,OTHER,MATERNITY,699,"$61,848","$46,005"
,TOTAL,,699,"$61,848","$46,005"
59012,OTHER,,7,"$1,286","$1,028"
,TOTAL,,7,"$1,286","$1,028"
59015,OTHER,,12,"$1,739","$1,391"
,TOTAL,,12,"$1,739","$1,391"
59020,OTHER,,31,"$1,496","$1,154"
,TOTAL,,31,"$1,496","$1,154"
59025,OTHER,,"7,301","$262,926","$197,612"
,TOTAL,,"7,301","$262,926","$197,612"
59030,OTHER,,3,$333,$186
,TOTAL,,3,$333,$186
59050,OTHER,,19,"$1,053",$843
,TOTAL,,19,"$1,053",$843
59051,OTHER,,64,"$3,042","$2,428"
,TOTAL,,64,"$3,042","$2,428"
59100,OTHER,,40,"$12,731","$10,009"
,TOTAL,,40,"$12,731","$10,009"
59120,80'S,,6,$680,$544
,OTHER,,46,"$30,378","$23,925"
,TOTAL,,52,"$31,058","$24,469"
59121,80'S,,1,$112,$89
,OTHER,,6,"$3,963","$3,170"
,TOTAL,,7,"$4,074","$3,260"
59135,OTHER,,1,$929,$743
,TOTAL,,1,$929,$743
59136,OTHER,,1,$902,$722
,TOTAL,,1,$902,$722
59140,OTHER,,1,$398,$318
,TOTAL,,1,$398,$318
59150,80'S,,3,$195,$156
,OTHER,,32,"$12,925","$10,011"
,TOTAL,,35,"$13,121","$10,167"
59151,80'S,,8,$698,$559
,OTHER,,61,"$32,578","$25,971"
,TOTAL,,69,"$33,277","$26,529"
59160,OTHER,,82,"$13,516","$10,656"
,TOTAL,,82,"$13,516","$10,656"
59200,OTHER,,403,"$21,872","$17,042"
,TOTAL,,403,"$21,872","$17,042"
59300,80'S,,1,$9,$7
,OTHER,,77,"$6,393","$4,785"
,TOTAL,,78,"$6,403","$4,793"
59320,OTHER,,63,"$9,652","$7,488"
,TOTAL,,63,"$9,652","$7,488"
59325,OTHER,,1,$241,$193
,TOTAL,,1,$241,$193
59350,80'S,,1,$47,$38
,OTHER,,5,"$1,170",$899
,TOTAL,,6,"$1,217",$936
59400,OTHER,,"2,539","$3,640,243","$2,810,813"
,TOTAL,,"2,539","$3,640,243","$2,810,813"
59409,OTHER,,859,"$691,148","$545,138"
,TOTAL,,859,"$691,148","$545,138"
59410,OTHER,,"1,579","$826,933","$650,477"
,TOTAL,,"1,579","$826,933","$650,477"
59412,OTHER,,29,"$3,041","$2,323"
,TOTAL,,29,"$3,041","$2,323"
59414,OTHER,,25,"$2,420","$1,766"
,TOTAL,,25,"$2,420","$1,766"
59425,OTHER,,"1,409","$145,123","$110,510"
,TOTAL,,"1,409","$145,123","$110,510"
59426,OTHER,,"1,509","$283,468","$221,026"
,TOTAL,,"1,509","$283,468","$221,026"
59430,OTHER,,651,"$57,535","$41,907"
,TOTAL,,651,"$57,535","$41,907"
59510,80'S,,6,"$1,679","$1,343"
,OTHER,,"1,209","$1,986,914","$1,527,149"
,TOTAL,,"1,215","$1,988,593","$1,528,493"
59514,80'S,,456,"$70,598","$54,167"
,OTHER,,452,"$418,360","$332,085"
,TOTAL,,908,"$488,959","$386,252"
59515,80'S,,4,$714,$571
,OTHER,,510,"$534,851","$425,196"
,TOTAL,,514,"$535,565","$425,767"
59525,OTHER,,4,"$1,856","$1,417"
,TOTAL,,4,"$1,856","$1,417"
59610,80'S,,1,$227,$182
,OTHER,,66,"$91,812","$69,143"
,TOTAL,,67,"$92,039","$69,325"
59612,OTHER,,26,"$24,415","$19,506"
,TOTAL,,26,"$24,415","$19,506"
59614,OTHER,,20,"$19,908","$15,898"
,TOTAL,,20,"$19,908","$15,898"
59618,OTHER,,20,"$32,306","$24,332"
,TOTAL,,20,"$32,306","$24,332"
59620,80'S,,3,$480,$384
,OTHER,,7,"$7,171","$5,640"
,TOTAL,,10,"$7,651","$6,024"
59622,OTHER,,13,"$10,186","$7,459"
,TOTAL,,13,"$10,186","$7,459"
59812,OTHER,,462,"$82,121","$64,028"
,TOTAL,,462,"$82,121","$64,028"
59820,OTHER,,372,"$104,337","$80,883"
,TOTAL,,372,"$104,337","$80,883"
59821,OTHER,,18,"$5,202","$3,957"
,TOTAL,,18,"$5,202","$3,957"
59840,OTHER,,18,"$4,385","$3,447"
,TOTAL,,18,"$4,385","$3,447"
59841,OTHER,,12,"$4,089","$3,192"
,TOTAL,,12,"$4,089","$3,192"
59851,OTHER,,1,$301,$241
,TOTAL,,1,$301,$241
59852,OTHER,,1,$287,$230
,TOTAL,,1,$287,$230
59855,OTHER,,3,"$1,186",$949
,TOTAL,,3,"$1,186",$949
59870,OTHER,,11,"$2,799","$2,159"
,TOTAL,,11,"$2,799","$2,159"
59871,OTHER,,16,"$1,981","$1,585"
,TOTAL,,16,"$1,981","$1,585"
59898,OTHER,,1,$947,$758
,TOTAL,,1,$947,$758
59899,OTHER,,1,$876,$701
,TOTAL,,1,$876,$701
