Medicare Part B Physician/Supplier BESS Data,,,,,
For Calendar Year 2000,,,,,
Code Range 65091 - 68899,,,,,
,,,,,
HCPCS,MODIFIER,DESCRIPTION,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
,,,,,
65091,SG,EYE,19,"$8,669","$6,935"
,80'S,,1,$42,$33
,OTHER,,145,"$75,259","$59,783"
,TOTAL,,165,"$83,970","$66,752"
65093,SG,,75,"$33,733","$26,986"
,80'S,,1,$92,$74
,OTHER,,863,"$351,767","$279,011"
,TOTAL,,939,"$385,593","$306,071"
65101,SG,,30,"$13,881","$10,881"
,OTHER,,203,"$111,669","$88,673"
,TOTAL,,233,"$125,550","$99,554"
65103,SG,,42,"$19,397","$15,492"
,OTHER,,394,"$235,361","$187,164"
,TOTAL,,436,"$254,758","$202,656"
65105,SG,,106,"$60,759","$48,527"
,80'S,,49,"$5,491","$4,393"
,OTHER,,"1,113","$743,373","$587,304"
,TOTAL,,"1,268","$809,624","$640,225"
65110,SG,,5,"$3,415","$2,732"
,80'S,,7,"$1,181",$944
,OTHER,,110,"$112,113","$89,530"
,TOTAL,,122,"$116,708","$93,207"
65112,SG,,2,"$1,886","$1,508"
,80'S,,2,$342,$274
,OTHER,,42,"$44,672","$35,714"
,TOTAL,,46,"$46,900","$37,496"
65114,SG,,1,$950,$760
,80'S,,3,$501,$401
,OTHER,,23,"$22,329","$17,863"
,TOTAL,,27,"$23,780","$19,024"
65125,OTHER,,48,"$8,529","$6,575"
,TOTAL,,48,"$8,529","$6,575"
65130,SG,,9,"$4,266","$3,413"
,OTHER,,31,"$15,720","$12,537"
,TOTAL,,40,"$19,987","$15,950"
65135,SG,,9,"$2,915","$2,332"
,OTHER,,40,"$19,550","$15,560"
,TOTAL,,49,"$22,464","$17,892"
65140,SG,,9,"$3,674","$2,940"
,OTHER,,42,"$21,114","$16,811"
,TOTAL,,51,"$24,788","$19,751"
65150,SG,,8,"$2,740","$2,137"
,OTHER,,47,"$21,138","$16,671"
,TOTAL,,55,"$23,877","$18,809"
65155,SG,,22,"$8,841","$6,974"
,OTHER,,105,"$65,233","$51,287"
,TOTAL,,127,"$74,074","$58,260"
65175,SG,,25,"$5,455","$4,364"
,OTHER,,157,"$61,122","$48,639"
,TOTAL,,182,"$66,576","$53,003"
65205,OTHER,,"16,849","$1,695,482","$1,230,021"
,TOTAL,,"16,849","$1,695,482","$1,230,021"
65210,OTHER,,"18,410","$2,258,505","$1,680,291"
,TOTAL,,"18,410","$2,258,505","$1,680,291"
65220,OTHER,,"2,811","$241,575","$171,733"
,TOTAL,,"2,811","$241,575","$171,733"
65222,OTHER,,"29,033","$3,660,982","$2,679,926"
,TOTAL,,"29,033","$3,660,982","$2,679,926"
65235,SG,,86,"$34,659","$27,522"
,80'S,,2,$124,$99
,OTHER,,201,"$73,652","$57,989"
,TOTAL,,289,"$108,435","$85,611"
65260,SG,,1,$258,$207
,80'S,,3,$193,$155
,OTHER,,27,"$9,993","$7,994"
,TOTAL,,31,"$10,445","$8,356"
65265,SG,,9,"$3,659","$2,927"
,80'S,,9,$970,$776
,OTHER,,205,"$141,382","$111,050"
,TOTAL,,223,"$146,011","$114,753"
65270,SG,,21,"$8,591","$6,873"
